[ 2044.973737] healthd: battery l=100 v=4326 t=34.8 h=2 st=5 c=-164 fc=2789000 cc=8 chg=u
[ 2048.177460] google_charger: usbchg=USB typec=C usbv=4879 usbc=488 usbMv=5000 usbMc=500
[ 2048.177598] sm8150_bms: MSC_PCS chg_state=1f410e403010015 [0x15:3:1:4324:500] chg=u
[ 2048.177622] google_battery: MSC_DIN chg_state=1f410e403010015 f=0x15 chg_s=Charging chg_t=Fast vchg=4324 icl=500
[ 2048.181563] google_battery: MSC_LAST vbatt=4312968 ibatt=-84687 fv_uv=4400000
[ 2048.181589] google_battery: MSC_LOGIC cv_cnt=0 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[ 2048.181600] google_battery: MSC_VOTE fv_uv=4400000 cc_max=1400000 update_interval=30000
[ 2048.181660] google_charger: MSC_CHG fv_uv=4400000, cc_max=1400000, rerun in 30000 ms (0)
[ 2056.619568] before: swapin tgid 16333 pid 16333 name "main" vma 7fbe1fb000
[ 2056.619575] before: swapin tgid 16333 pid 16333 name "main" vma 7fbe1d4000
[ 2056.619689] before: swapin tgid 16333 pid 16333 name "main" vma 7fbcda0000
[ 2056.619701] before: swapin tgid 16333 pid 16333 name "main" vma 7fbcd9d000
[ 2056.619754] before: swapin tgid 16333 pid 16333 name "main" vma 7f28ac0000
[ 2056.619758] before: swapin tgid 16333 pid 16333 name "main" vma 7fbe1ca000
[ 2056.619761] before: swapin tgid 16333 pid 16333 name "main" vma 7f28a22000
[ 2056.619765] before: swapin tgid 16333 pid 16333 name "main" vma 7f28ac1000
[ 2056.619773] before: swapin tgid 16333 pid 16333 name "main" vma 7fffffa000
[ 2056.621205] before: swapin tgid 16333 pid 16333 name "main" vma 7fbf5e4000
[ 2056.621582] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7fb9ae0000
[ 2056.622068] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7fbe176000
[ 2056.622077] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7fffff9000
[ 2056.622108] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7fbe180000
[ 2056.622162] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7fbe25b000
[ 2056.622199] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7f289bd000
[ 2056.622215] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7f289be000
[ 2056.622263] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7f28a02000
[ 2056.623397] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7fbe210000
[ 2056.624932] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7f28b5c000
[ 2056.624943] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7f28abf000
[ 2056.624954] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7f28b51000
[ 2056.624961] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7f28b4e000
[ 2056.635491] before: swapin tgid 16333 pid 16343 name "com.rovio.baba" vma 7fbe1c0000
[ 2056.635501] before: swapin tgid 16333 pid 16343 name "com.rovio.baba" vma 7fbe1c1000
[ 2056.635561] before: swapin tgid 16333 pid 16342 name "com.rovio.baba" vma 7fbe1c2000
[ 2056.635684] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7fbe22e000
[ 2056.636682] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 72a40000
[ 2056.636834] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 70c52000
[ 2056.643204] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7fffffe000
[ 2056.643223] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 72a86000
[ 2056.644467] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 70860000
[ 2056.644512] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 70abf000
[ 2056.644522] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 72a2e000
[ 2056.644592] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 70887000
[ 2056.644623] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 72a2f000
[ 2056.644686] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7293a000
[ 2056.644694] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7293f000
[ 2056.644696] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 72940000
[ 2056.645052] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 70c77000
[ 2056.645068] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7fbd5ae000
[ 2056.645435] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 70ca0000
[ 2056.645440] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7f28b3a000
[ 2056.645444] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 70c5b000
[ 2056.645468] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 714c0000
[ 2056.645513] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 714c1000
[ 2056.645569] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 714c2000
[ 2056.646642] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 714bb000
[ 2056.646669] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 70abb000
[ 2056.646694] before: swapin tgid 16333 pid 16351 name "Binder:16333_1" vma 7f289fc000
[ 2056.646733] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 70c6f000
[ 2056.646747] before: swapin tgid 16333 pid 16351 name "Binder:16333_1" vma 7f28969000
[ 2056.646751] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 70c68000
[ 2056.646765] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7298d000
[ 2056.646785] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 714bd000
[ 2056.646792] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7fbc6ed000
[ 2056.646826] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7fbc827000
[ 2056.646838] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7fbc825000
[ 2056.646926] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7fbc824000
[ 2056.646936] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7fbc6ef000
[ 2056.646940] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7292a000
[ 2056.647077] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7fbe243000
[ 2056.647088] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7fbe172000
[ 2056.647189] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7fbc82a000
[ 2056.647263] before: swapin tgid 16333 pid 16333 name "com.rovio.baba" vma 7fbc826000
[ 2056.647478] before: swapin tgid 16333 pid 16333 name "re-initialized>" vma 72931000
[ 2056.647665] before: swapin tgid 16333 pid 16333 name "re-initialized>" vma 70c6a000
[ 2056.647673] before: swapin tgid 16333 pid 16333 name "re-initialized>" vma 70c50000
[ 2056.647681] before: swapin tgid 16333 pid 16333 name "re-initialized>" vma 70c79000
[ 2056.647700] before: swapin tgid 16333 pid 16333 name "re-initialized>" vma 70c51000
[ 2056.647783] before: swapin tgid 16333 pid 16333 name "re-initialized>" vma 7f28a4e000
[ 2056.648070] before: swapin tgid 16333 pid 16333 name "re-initialized>" vma 70d35000
[ 2056.648115] before: swapin tgid 16333 pid 16333 name "re-initialized>" vma 7293c000
[ 2056.648138] before: swapin tgid 16333 pid 16333 name "re-initialized>" vma 70d36000
[ 2056.648189] before: swapin tgid 16333 pid 16333 name "re-initialized>" vma 70cea000
[ 2056.648245] before: swapin tgid 16333 pid 16333 name "re-initialized>" vma 7fbe242000
[ 2056.648265] before: swapin tgid 16333 pid 16333 name "re-initialized>" vma 7f28b2c000
[ 2056.648289] before: swapin tgid 16333 pid 16333 name "re-initialized>" vma 714cc000
[ 2056.656423] before: swapin tgid 16333 pid 16333 name "re-initialized>" vma 72923000
[ 2056.656445] before: swapin tgid 16333 pid 16333 name "re-initialized>" vma 714bf000
[ 2056.656516] before: swapin tgid 16333 pid 16333 name "re-initialized>" vma 7fbe177000
