[ 2563.915498] google_charger: usbchg=USB typec=C usbv=4971 usbc=217 usbMv=5000 usbMc=500
[ 2563.915642] sm8150_bms: MSC_PCS chg_state=1f410ea04030009 [0x9:4:3:4330:500] chg=u
[ 2563.915670] google_battery: MSC_DIN chg_state=1f410ea04030009 f=0x9 chg_s=Not Charging chg_t=Taper vchg=4330 icl=500
[ 2563.920594] google_battery: MSC_DSG vbatt_idx:2->2 vbatt=4333281 ibatt=2187 fv_uv=4400000 cv_cnt=0 ov_cnt=0
[ 2563.920616] google_battery: MSC_LOGIC cv_cnt=0 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[ 2563.920627] google_battery: MSC_VOTE fv_uv=4400000 cc_max=0 update_interval=-1
[ 2563.920686] google_charger: MSC_CHG fv_uv=4400000, cc_max=0, rerun in 2000 ms (0)
[ 2565.922998] google_charger: usbchg=USB typec=C usbv=4977 usbc=190 usbMv=5000 usbMc=500
[ 2565.923143] sm8150_bms: MSC_PCS chg_state=1f410f104030009 [0x9:4:3:4337:500] chg=u
[ 2565.923171] google_battery: MSC_DIN chg_state=1f410f104030009 f=0x9 chg_s=Not Charging chg_t=Taper vchg=4337 icl=500
[ 2565.928115] google_battery: MSC_DSG vbatt_idx:2->2 vbatt=4333281 ibatt=2187 fv_uv=4400000 cv_cnt=0 ov_cnt=0
[ 2565.928138] google_battery: MSC_LOGIC cv_cnt=0 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[ 2565.928148] google_battery: MSC_VOTE fv_uv=4400000 cc_max=0 update_interval=-1
[ 2565.928209] google_charger: MSC_CHG fv_uv=4400000, cc_max=0, rerun in 2000 ms (0)
[ 2567.930375] google_charger: usbchg=USB typec=C usbv=4966 usbc=249 usbMv=5000 usbMc=500
[ 2567.930520] sm8150_bms: MSC_PCS chg_state=1f410f104030009 [0x9:4:3:4337:500] chg=u
[ 2567.930549] google_battery: MSC_DIN chg_state=1f410f104030009 f=0x9 chg_s=Not Charging chg_t=Taper vchg=4337 icl=500
[ 2567.934323] google_battery: MSC_DSG vbatt_idx:2->2 vbatt=4330156 ibatt=3750 fv_uv=4400000 cv_cnt=0 ov_cnt=0
[ 2567.934344] google_battery: MSC_LOGIC cv_cnt=0 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[ 2567.934355] google_battery: MSC_VOTE fv_uv=4400000 cc_max=0 update_interval=-1
[ 2567.934411] google_charger: MSC_CHG fv_uv=4400000, cc_max=0, rerun in 2000 ms (0)
[ 2569.936556] google_charger: usbchg=USB typec=C usbv=4966 usbc=210 usbMv=5000 usbMc=500
[ 2569.936696] sm8150_bms: MSC_PCS chg_state=1f410f004030009 [0x9:4:3:4336:500] chg=u
[ 2569.936724] google_battery: MSC_DIN chg_state=1f410f004030009 f=0x9 chg_s=Not Charging chg_t=Taper vchg=4336 icl=500
[ 2569.940601] google_battery: MSC_DSG vbatt_idx:2->2 vbatt=4330156 ibatt=3750 fv_uv=4400000 cv_cnt=0 ov_cnt=0
[ 2569.940619] google_battery: MSC_LOGIC cv_cnt=0 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[ 2569.940629] google_battery: MSC_VOTE fv_uv=4400000 cc_max=0 update_interval=-1
[ 2569.940677] google_charger: MSC_CHG fv_uv=4400000, cc_max=0, rerun in 2000 ms (0)
[ 2571.942744] google_charger: usbchg=USB typec=C usbv=4978 usbc=191 usbMv=5000 usbMc=500
[ 2571.942994] sm8150_bms: MSC_PCS chg_state=1f410f104030009 [0x9:4:3:4337:500] chg=u
[ 2571.943030] google_battery: MSC_DIN chg_state=1f410f104030009 f=0x9 chg_s=Not Charging chg_t=Taper vchg=4337 icl=500
[ 2571.947378] google_battery: MSC_DSG vbatt_idx:2->2 vbatt=4331562 ibatt=5312 fv_uv=4400000 cv_cnt=0 ov_cnt=0
[ 2571.947400] google_battery: MSC_LOGIC cv_cnt=0 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[ 2571.947410] google_battery: MSC_VOTE fv_uv=4400000 cc_max=0 update_interval=-1
[ 2571.947470] google_charger: MSC_CHG fv_uv=4400000, cc_max=0, rerun in 2000 ms (0)
[ 2573.305971] before: swapin tgid 24246 pid 24246 name "main" vma 7fbe1fb000
[ 2573.305979] before: swapin tgid 24246 pid 24246 name "main" vma 7fbe1d4000
[ 2573.306064] before: swapin tgid 24246 pid 24246 name "main" vma 7fbc9de000
[ 2573.306075] before: swapin tgid 24246 pid 24246 name "main" vma 7fbc9db000
[ 2573.306126] before: swapin tgid 24246 pid 24246 name "main" vma 7f28b24000
[ 2573.306129] before: swapin tgid 24246 pid 24246 name "main" vma 7f28ac0000
[ 2573.306132] before: swapin tgid 24246 pid 24246 name "main" vma 7f28b39000
[ 2573.306134] before: swapin tgid 24246 pid 24246 name "main" vma 7fbe1ca000
[ 2573.306138] before: swapin tgid 24246 pid 24246 name "main" vma 7f28a22000
[ 2573.306142] before: swapin tgid 24246 pid 24246 name "main" vma 7f28ac1000
[ 2573.306149] before: swapin tgid 24246 pid 24246 name "main" vma 7fffffa000
[ 2573.308056] before: swapin tgid 24246 pid 24246 name "main" vma 7fbf5e4000
[ 2573.308322] before: swapin tgid 24246 pid 24246 name "m.pubg.krmobil" vma 7fbcae9000
[ 2573.308441] before: swapin tgid 24246 pid 24246 name "m.pubg.krmobil" vma 7fbe260000
[ 2573.308775] before: swapin tgid 24246 pid 24246 name "m.pubg.krmobil" vma 7fbe176000
[ 2573.308784] before: swapin tgid 24246 pid 24246 name "m.pubg.krmobil" vma 7fffff9000
[ 2573.308821] before: swapin tgid 24246 pid 24246 name "m.pubg.krmobil" vma 7fbe180000
[ 2573.308839] before: swapin tgid 24246 pid 24246 name "m.pubg.krmobil" vma 7fbe349000
[ 2573.308846] before: swapin tgid 24246 pid 24246 name "m.pubg.krmobil" vma 7fbe35b000
[ 2573.308863] before: swapin tgid 24246 pid 24246 name "m.pubg.krmobil" vma 7f289b6000
[ 2573.308872] before: swapin tgid 24246 pid 24246 name "m.pubg.krmobil" vma 7f289b7000
[ 2573.308880] before: swapin tgid 24246 pid 24246 name "m.pubg.krmobil" vma 7fbe25b000
[ 2573.308892] before: swapin tgid 24246 pid 24246 name "m.pubg.krmobil" vma 7f289bd000
[ 2573.308915] before: swapin tgid 24246 pid 24246 name "m.pubg.krmobil" vma 7f289be000
[ 2573.308962] before: swapin tgid 24246 pid 24246 name "m.pubg.krmobil" vma 7f28a02000
[ 2573.308999] before: swapin tgid 24246 pid 24246 name "m.pubg.krmobil" vma 7f28b4a000
[ 2573.309032] before: swapin tgid 24246 pid 24246 name "m.pubg.krmobil" vma 7fbe25f000
[ 2573.309294] before: swapin tgid 24246 pid 24246 name "m.pubg.krmobil" vma 7fbe210000
[ 2573.309538] before: swapin tgid 24246 pid 24246 name "m.pubg.krmobil" vma 7fbe1af000
[ 2573.309593] before: swapin tgid 24246 pid 24253 name "m.pubg.krmobil" vma 7fbe235000
[ 2573.309604] before: swapin tgid 24246 pid 24253 name "m.pubg.krmobil" vma 7fbe236000
[ 2573.309964] before: swapin tgid 24246 pid 24246 name "m.pubg.krmobil" vma 7f28b5c000
[ 2573.309971] before: swapin tgid 24246 pid 24255 name "m.pubg.krmobil" vma 7fbe237000
[ 2573.309995] before: swapin tgid 24246 pid 24255 name "m.pubg.krmobil" vma 7fbe238000
[ 2573.310023] before: swapin tgid 24246 pid 24246 name "m.pubg.krmobil" vma 7f28abf000
[ 2573.310035] before: swapin tgid 24246 pid 24246 name "m.pubg.krmobil" vma 7f28b51000
[ 2573.310044] before: swapin tgid 24246 pid 24246 name "m.pubg.krmobil" vma 7f28b4e000
[ 2573.310057] before: swapin tgid 24246 pid 24246 name "m.pubg.krmobil" vma 7fbe1cb000
[ 2573.310445] before: swapin tgid 24246 pid 24254 name "m.pubg.krmobil" vma 7fbe239000
[ 2573.310455] before: swapin tgid 24246 pid 24254 name "m.pubg.krmobil" vma 7fbe23d000
[ 2573.310460] before: swapin tgid 24246 pid 24254 name "m.pubg.krmobil" vma 7fbe23e000
[ 2573.310499] before: swapin tgid 24246 pid 24256 name "m.pubg.krmobil" vma 7fbe23f000
[ 2573.310508] before: swapin tgid 24246 pid 24256 name "m.pubg.krmobil" vma 7fbe240000
[ 2573.310549] before: swapin tgid 24246 pid 24257 name "m.pubg.krmobil" vma 7fbe241000
[ 2573.310627] before: swapin tgid 24246 pid 24246 name "m.pubg.krmobil" vma 7fbe22e000
