[ 2570.871885] google_charger: usbchg=USB typec=C usbv=4871 usbc=488 usbMv=5000 usbMc=500
[ 2570.872025] sm8150_bms: MSC_PCS chg_state=1f40f5603010015 [0x15:3:1:3926:500] chg=u
[ 2570.872047] google_battery: MSC_DIN chg_state=1f40f5603010015 f=0x15 chg_s=Charging chg_t=Fast vchg=3926 icl=500
[ 2570.876085] google_battery: MSC_ROUND: fv_uv=4205532 vtier=4200000 fv_uv_max=4284000 -> 4200000
[ 2570.876099] google_battery: MSC_FAST vt=4200000 vb=3920468 fv_uv=4200000->4200000 vchrg=3926 cv_cnt=1
[ 2570.876114] google_battery: MSC_WAIT vt=4200000 vb=3920468 fv_uv=4200000 ibatt=-290937 cv_cnt=0 ov_cnt=0
[ 2570.876131] google_battery: MSC_LOGIC cv_cnt=0 ov_cnt=0 temp_idx:2->2, vbatt_idx:0->0, fv=4200000->4200000, cc_max=2825000
[ 2570.876141] google_battery: MSC_VOTE fv_uv=4200000 cc_max=2825000 update_interval=30000
[ 2570.876332] google_charger: MSC_CHG fv_uv=4200000, cc_max=2800000, rerun in 30000 ms (0)
[ 2580.187624] before: swapin tgid 25409 pid 25409 name "main" vma 7fbe1fb000
[ 2580.187629] before: swapin tgid 25409 pid 25409 name "main" vma 7fbe342000
[ 2580.187650] before: swapin tgid 25409 pid 25409 name "main" vma 7fbe346000
[ 2580.187731] before: swapin tgid 25409 pid 25409 name "main" vma 7fbb167000
[ 2580.187744] before: swapin tgid 25409 pid 25409 name "main" vma 7fbb164000
[ 2580.187790] before: swapin tgid 25409 pid 25409 name "main" vma 7f28ac0000
[ 2580.187794] before: swapin tgid 25409 pid 25409 name "main" vma 7f28b39000
[ 2580.187798] before: swapin tgid 25409 pid 25409 name "main" vma 7f28a22000
[ 2580.187807] before: swapin tgid 25409 pid 25409 name "main" vma 7fffffa000
[ 2580.192596] before: swapin tgid 25409 pid 25409 name "main" vma 7fbf5e4000
[ 2580.193456] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobil" vma 7fb9b5e000
[ 2580.196406] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobil" vma 7fbe176000
[ 2580.196414] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobil" vma 7fffff9000
[ 2580.196445] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobil" vma 7fbe180000
[ 2580.196474] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobil" vma 7fbe349000
[ 2580.196487] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobil" vma 7fbe35b000
[ 2580.196498] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobil" vma 7fbe25b000
[ 2580.196507] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobil" vma 7f289b6000
[ 2580.196528] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobil" vma 7f289b7000
[ 2580.196534] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobil" vma 7f289bd000
[ 2580.196579] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobil" vma 7f28a02000
[ 2580.196596] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobil" vma 7fbe25f000
[ 2580.197170] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobil" vma 7fbe210000
[ 2580.197390] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobil" vma 7fbe266000
[ 2580.198158] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobil" vma 7f28b5c000
[ 2580.198203] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobil" vma 7f28abf000
[ 2580.198226] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobil" vma 7f28b51000
[ 2580.198236] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobil" vma 7f28b4e000
[ 2580.198245] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobil" vma 7f2d623000
[ 2580.198250] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobil" vma 7f2d624000
[ 2580.198265] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobil" vma 7f2d611000
