12c00000-12d00000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
12d00000-13140000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
13140000-13540000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
13540000-14340000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
14340000-16340000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
16340000-16380000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
16380000-2ac00000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
704ee000-70775000 rw-p 00000000 fd:00 1369                               /system/framework/arm64/boot.art
70775000-70864000 rw-p 00000000 fd:00 1348                               /system/framework/arm64/boot-core-libart.art
70864000-7089a000 rw-p 00000000 fd:00 1360                               /system/framework/arm64/boot-okhttp.art
7089a000-708db000 rw-p 00000000 fd:00 1345                               /system/framework/arm64/boot-bouncycastle.art
708db000-708eb000 rw-p 00000000 fd:00 1342                               /system/framework/arm64/boot-apache-xml.art
708eb000-711ab000 rw-p 00000000 fd:00 1354                               /system/framework/arm64/boot-framework.art
711ab000-711de000 rw-p 00000000 fd:00 1351                               /system/framework/arm64/boot-ext.art
711de000-712d5000 rw-p 00000000 fd:00 1363                               /system/framework/arm64/boot-telephony-common.art
712d5000-712e3000 rw-p 00000000 fd:00 1366                               /system/framework/arm64/boot-voip-common.art
712e3000-712f8000 rw-p 00000000 fd:00 1357                               /system/framework/arm64/boot-ims-common.art
712f8000-712fb000 rw-p 00000000 fd:00 1339                               /system/framework/arm64/boot-android.test.base.art
712fb000-713b4000 r--p 00000000 fd:00 1370                               /system/framework/arm64/boot.oat
713b4000-7164a000 r-xp 000b9000 fd:00 1370                               /system/framework/arm64/boot.oat
7164a000-7164b000 rw-p 00000000 00:00 0                                  [anon:.bss]
7164b000-7164d000 r--s 00000000 fd:00 1383                               /system/framework/boot.vdex
7164d000-7164e000 r--p 0034f000 fd:00 1370                               /system/framework/arm64/boot.oat
7164e000-7164f000 rw-p 00350000 fd:00 1370                               /system/framework/arm64/boot.oat
7164f000-71698000 r--p 00000000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
71698000-7179d000 r-xp 00049000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
7179d000-7179e000 rw-p 00000000 00:00 0                                  [anon:.bss]
7179e000-7179f000 r--s 00000000 fd:00 1376                               /system/framework/boot-core-libart.vdex
7179f000-717a0000 r--p 0014e000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
717a0000-717a1000 rw-p 0014f000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
717a1000-717b0000 r--p 00000000 fd:00 1361                               /system/framework/arm64/boot-okhttp.oat
717b0000-717dd000 r-xp 0000f000 fd:00 1361                               /system/framework/arm64/boot-okhttp.oat
717dd000-717de000 rw-p 00000000 00:00 0                                  [anon:.bss]
717de000-717df000 r--s 00000000 fd:00 1380                               /system/framework/boot-okhttp.vdex
717df000-717e0000 r--p 0003c000 fd:00 1361                               /system/framework/arm64/boot-okhttp.oat
717e0000-717e1000 rw-p 0003d000 fd:00 1361                               /system/framework/arm64/boot-okhttp.oat
717e1000-717ee000 r--p 00000000 fd:00 1346                               /system/framework/arm64/boot-bouncycastle.oat
717ee000-71805000 r-xp 0000d000 fd:00 1346                               /system/framework/arm64/boot-bouncycastle.oat
71805000-71806000 rw-p 00000000 00:00 0                                  [anon:.bss]
71806000-71807000 r--s 00000000 fd:00 1375                               /system/framework/boot-bouncycastle.vdex
71807000-71808000 r--p 00024000 fd:00 1346                               /system/framework/arm64/boot-bouncycastle.oat
71808000-71809000 rw-p 00025000 fd:00 1346                               /system/framework/arm64/boot-bouncycastle.oat
