PID TGID CMD TOTAL SWAP NUM
PID   0-0
1  1  init 3862 0 0-0
2  2  [kthreadd] 0 0 0-0
3  3  [rcu_gp] 0 0 0-0
4  4  [kworker/0:0] 0 0 0-0
5  5  [kworker/0:0H] 0 0 0-0
6  6  [kworker/u16:0] 0 0 0-0
7  7  [mm_percpu_wq] 0 0 0-0
8  8  [ksoftirqd/0] 0 0 0-0
9  9  [rcu_preempt] 0 0 0-0
10  10  [rcu_sched] 0 0 0-0
11  11  [rcu_bh] 0 0 0-0
12  12  [rcuop/0] 0 0 0-0
13  13  [rcuos/0] 0 0 0-0
14  14  [rcuob/0] 0 0 0-0
15  15  [migration/0] 0 0 0-0
16  16  [cpuhp/0] 0 0 0-0
17  17  [cpuhp/1] 0 0 0-0
18  18  [migration/1] 0 0 0-0
19  19  [ksoftirqd/1] 0 0 0-0
20  20  [kworker/1:0] 0 0 0-0
21  21  [kworker/1:0H] 0 0 0-0
22  22  [rcuop/1] 0 0 0-0
23  23  [rcuos/1] 0 0 0-0
24  24  [rcuob/1] 0 0 0-0
25  25  [cpuhp/2] 0 0 0-0
26  26  [migration/2] 0 0 0-0
27  27  [ksoftirqd/2] 0 0 0-0
28  28  [kworker/2:0] 0 0 0-0
29  29  [kworker/2:0H] 0 0 0-0
30  30  [rcuop/2] 0 0 0-0
31  31  [rcuos/2] 0 0 0-0
32  32  [rcuob/2] 0 0 0-0
33  33  [cpuhp/3] 0 0 0-0
34  34  [migration/3] 0 0 0-0
35  35  [ksoftirqd/3] 0 0 0-0
36  36  [kworker/3:0] 0 0 0-0
37  37  [kworker/3:0H] 0 0 0-0
38  38  [rcuop/3] 0 0 0-0
39  39  [rcuos/3] 0 0 0-0
40  40  [rcuob/3] 0 0 0-0
41  41  [cpuhp/4] 0 0 0-0
42  42  [migration/4] 0 0 0-0
43  43  [ksoftirqd/4] 0 0 0-0
44  44  [kworker/4:0] 0 0 0-0
45  45  [kworker/4:0H] 0 0 0-0
46  46  [rcuop/4] 0 0 0-0
47  47  [rcuos/4] 0 0 0-0
48  48  [rcuob/4] 0 0 0-0
49  49  [cpuhp/5] 0 0 0-0
50  50  [migration/5] 0 0 0-0
51  51  [ksoftirqd/5] 0 0 0-0
52  52  [kworker/5:0] 0 0 0-0
53  53  [kworker/5:0H] 0 0 0-0
