12c00000-12d00000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
12d00000-12d40000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
12d40000-13100000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
13100000-13500000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
13500000-13540000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
13540000-14c00000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
14c00000-16000000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
16000000-162c0000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
162c0000-2ac00000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
7027d000-70504000 rw-p 00000000 fd:00 1369                               /system/framework/arm64/boot.art
70504000-705f3000 rw-p 00000000 fd:00 1348                               /system/framework/arm64/boot-core-libart.art
705f3000-70629000 rw-p 00000000 fd:00 1360                               /system/framework/arm64/boot-okhttp.art
70629000-7066a000 rw-p 00000000 fd:00 1345                               /system/framework/arm64/boot-bouncycastle.art
7066a000-7067a000 rw-p 00000000 fd:00 1342                               /system/framework/arm64/boot-apache-xml.art
7067a000-70f3a000 rw-p 00000000 fd:00 1354                               /system/framework/arm64/boot-framework.art
70f3a000-70f6d000 rw-p 00000000 fd:00 1351                               /system/framework/arm64/boot-ext.art
70f6d000-71064000 rw-p 00000000 fd:00 1363                               /system/framework/arm64/boot-telephony-common.art
71064000-71072000 rw-p 00000000 fd:00 1366                               /system/framework/arm64/boot-voip-common.art
71072000-71087000 rw-p 00000000 fd:00 1357                               /system/framework/arm64/boot-ims-common.art
71087000-7108a000 rw-p 00000000 fd:00 1339                               /system/framework/arm64/boot-android.test.base.art
7108a000-71143000 r--p 00000000 fd:00 1370                               /system/framework/arm64/boot.oat
71143000-713d9000 r-xp 000b9000 fd:00 1370                               /system/framework/arm64/boot.oat
713d9000-713da000 rw-p 00000000 00:00 0                                  [anon:.bss]
713da000-713dc000 r--s 00000000 fd:00 1383                               /system/framework/boot.vdex
