[21038.024009] google_charger: usbchg=USB typec=C usbv=4884 usbc=488 usbMv=5000 usbMc=500
[21038.024093] sm8150_bms: MSC_PCS chg_state=1f4108403010015 [0x15:3:1:4228:500] chg=u
[21038.024099] google_battery: MSC_DIN chg_state=1f4108403010015 f=0x15 chg_s=Charging chg_t=Fast vchg=4228 icl=500
[21038.026829] google_battery: MSC_DSG vbatt_idx:2->1 vbatt=4225000 ibatt=86562 fv_uv=4400000 cv_cnt=0 ov_cnt=0
[21038.026834] google_battery: MSC_LOGIC cv_cnt=0 ov_cnt=0 temp_idx:2->2, vbatt_idx:1->1, fv=4300000->4300000, cc_max=1975000
[21038.026837] google_battery: MSC_VOTE fv_uv=4300000 cc_max=1975000 update_interval=30000
[21038.026881] sm8150_bms: CONSTANT_CHARGE_CURRENT_MAX : ivalue=901875, val=18 pause=0 (0)
[21038.026891] sm8150_bms: CONSTANT_CHARGE_VOLTAGE_MAX : ivalue=4300000, val=70 (0)
[21038.026892] google_charger: MSC_CHG fv_uv=4400000->4300000 cc_max=925000->925000 rc=0
[21038.026896] google_charger: MSC_CHG fv_uv=4300000, cc_max=925000, rerun in 30000 ms (0)
[21051.735227] after: swapin tgid 3939 pid 3939 name "adbd" vma 7fbd03f000
[21051.735962] after: swapin tgid 3939 pid 3939 name "adbd" vma 7fbd03f000
[21051.818148] after: swapin tgid 3939 pid 3939 name "adbd" vma 7fbcdb7000
[21051.818881] after: swapin tgid 3939 pid 3939 name "adbd" vma 7fbcdb7000
[21052.977618] after: swapin tgid 3939 pid 4108 name "UsbFfs-worker" vma 7fba6fd000
[21052.978302] after: swapin tgid 3939 pid 4108 name "UsbFfs-worker" vma 7fba6fd000
[21056.842052] swapout tgid 918 pid 918 name "storaged" vma 7fbba46000
[21056.842078] swapout tgid 918 pid 918 name "storaged" vma 7fbba47000
[21056.842086] swapout tgid 918 pid 918 name "storaged" vma 7fbba34000
[21057.546241] swapout tgid 815 pid 815 name "power@1.3-servi" vma 7fbd93a000
[21057.546257] swapout tgid 815 pid 815 name "power@1.3-servi" vma 7fbd938000
[21057.550157] swapout tgid 815 pid 815 name "power@1.3-servi" vma 7fbf5e3000
[21060.533807] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fba0a9000
[21060.557766] swapout tgid 888 pid 888 name "thermal-engine" vma 7fbd051000
[21060.557774] swapout tgid 888 pid 888 name "thermal-engine" vma 7fbcdd3000
[21060.561468] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fba037000
[21061.786975] swapout tgid 839 pid 839 name "msm_irqbalance" vma 7fbd619000
[21062.428994] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fba0a3000
[21063.870180] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fb8eff000
[21063.870193] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fb8efe000
[21063.870198] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fbcca3000
[21063.870203] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fbccd7000
[21063.870207] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fbccd9000
[21063.870211] swapout tgid 785 pid 785 name "Binder:785_3" vma 55555d8000
[21063.870215] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fbccb3000
[21063.870219] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fbdcf8000
[21063.870222] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fbdcf9000
[21063.870233] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fbd2e5000
[21063.870237] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fbdcfb000
[21063.870240] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fba097000
[21063.870297] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fb8efd000
[21063.870301] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fbd99a000
[21063.870305] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fbd999000
[21063.870308] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fbd993000
[21063.870309] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fbd994000
[21063.870311] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fbcc26000
