12c00000-12cc0000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
12cc0000-12d40000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
12d40000-12d80000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
12d80000-13140000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
13140000-13500000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
13500000-14100000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
14100000-16300000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
16300000-16380000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
16380000-2ac00000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
6f779000-6fa00000 rw-p 00000000 fd:00 1369                               /system/framework/arm64/boot.art
6fa00000-6faef000 rw-p 00000000 fd:00 1348                               /system/framework/arm64/boot-core-libart.art
6faef000-6fb25000 rw-p 00000000 fd:00 1360                               /system/framework/arm64/boot-okhttp.art
6fb25000-6fb66000 rw-p 00000000 fd:00 1345                               /system/framework/arm64/boot-bouncycastle.art
6fb66000-6fb76000 rw-p 00000000 fd:00 1342                               /system/framework/arm64/boot-apache-xml.art
6fb76000-70436000 rw-p 00000000 fd:00 1354                               /system/framework/arm64/boot-framework.art
70436000-70469000 rw-p 00000000 fd:00 1351                               /system/framework/arm64/boot-ext.art
70469000-70560000 rw-p 00000000 fd:00 1363                               /system/framework/arm64/boot-telephony-common.art
70560000-7056e000 rw-p 00000000 fd:00 1366                               /system/framework/arm64/boot-voip-common.art
7056e000-70583000 rw-p 00000000 fd:00 1357                               /system/framework/arm64/boot-ims-common.art
70583000-70586000 rw-p 00000000 fd:00 1339                               /system/framework/arm64/boot-android.test.base.art
70586000-7063f000 r--p 00000000 fd:00 1370                               /system/framework/arm64/boot.oat
7063f000-708d5000 r-xp 000b9000 fd:00 1370                               /system/framework/arm64/boot.oat
708d5000-708d6000 rw-p 00000000 00:00 0                                  [anon:.bss]
708d6000-708d8000 r--s 00000000 fd:00 1383                               /system/framework/boot.vdex
708d8000-708d9000 r--p 0034f000 fd:00 1370                               /system/framework/arm64/boot.oat
708d9000-708da000 rw-p 00350000 fd:00 1370                               /system/framework/arm64/boot.oat
708da000-70923000 r--p 00000000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
70923000-70a28000 r-xp 00049000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
70a28000-70a29000 rw-p 00000000 00:00 0                                  [anon:.bss]
70a29000-70a2a000 r--s 00000000 fd:00 1376                               /system/framework/boot-core-libart.vdex
70a2a000-70a2b000 r--p 0014e000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
70a2b000-70a2c000 rw-p 0014f000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
70a2c000-70a3b000 r--p 00000000 fd:00 1361                               /system/framework/arm64/boot-okhttp.oat
70a3b000-70a68000 r-xp 0000f000 fd:00 1361                               /system/framework/arm64/boot-okhttp.oat
70a68000-70a69000 rw-p 00000000 00:00 0                                  [anon:.bss]
70a69000-70a6a000 r--s 00000000 fd:00 1380                               /system/framework/boot-okhttp.vdex
70a6a000-70a6b000 r--p 0003c000 fd:00 1361                               /system/framework/arm64/boot-okhttp.oat
70a6b000-70a6c000 rw-p 0003d000 fd:00 1361                               /system/framework/arm64/boot-okhttp.oat
70a6c000-70a79000 r--p 00000000 fd:00 1346                               /system/framework/arm64/boot-bouncycastle.oat
70a79000-70a90000 r-xp 0000d000 fd:00 1346                               /system/framework/arm64/boot-bouncycastle.oat
70a90000-70a91000 rw-p 00000000 00:00 0                                  [anon:.bss]
70a91000-70a92000 r--s 00000000 fd:00 1375                               /system/framework/boot-bouncycastle.vdex
70a92000-70a93000 r--p 00024000 fd:00 1346                               /system/framework/arm64/boot-bouncycastle.oat
70a93000-70a94000 rw-p 00025000 fd:00 1346                               /system/framework/arm64/boot-bouncycastle.oat
70a94000-70a99000 r--p 00000000 fd:00 1343                               /system/framework/arm64/boot-apache-xml.oat
70a99000-70a9a000 r--s 00000000 fd:00 1374                               /system/framework/boot-apache-xml.vdex
70a9a000-70a9b000 r--p 00005000 fd:00 1343                               /system/framework/arm64/boot-apache-xml.oat
70a9b000-70a9c000 rw-p 00006000 fd:00 1343                               /system/framework/arm64/boot-apache-xml.oat
70a9c000-70d24000 r--p 00000000 fd:00 1355                               /system/framework/arm64/boot-framework.oat
70d24000-71631000 r-xp 00288000 fd:00 1355                               /system/framework/arm64/boot-framework.oat
71631000-71634000 rw-p 00000000 00:00 0                                  [anon:.bss]
71634000-7163d000 r--s 00000000 fd:00 1378                               /system/framework/boot-framework.vdex
7163d000-7163e000 r--p 00b95000 fd:00 1355                               /system/framework/arm64/boot-framework.oat
7163e000-7163f000 rw-p 00b96000 fd:00 1355                               /system/framework/arm64/boot-framework.oat
7163f000-71648000 r--p 00000000 fd:00 1352                               /system/framework/arm64/boot-ext.oat
71648000-7165f000 r-xp 00009000 fd:00 1352                               /system/framework/arm64/boot-ext.oat
7165f000-71660000 rw-p 00000000 00:00 0                                  [anon:.bss]
71660000-71661000 r--s 00000000 fd:00 1377                               /system/framework/boot-ext.vdex
71661000-71662000 r--p 00020000 fd:00 1352                               /system/framework/arm64/boot-ext.oat
71662000-71663000 rw-p 00021000 fd:00 1352                               /system/framework/arm64/boot-ext.oat
71663000-716c6000 r--p 00000000 fd:00 1364                               /system/framework/arm64/boot-telephony-common.oat
716c6000-71824000 r-xp 00063000 fd:00 1364                               /system/framework/arm64/boot-telephony-common.oat
71824000-71825000 rw-p 00000000 00:00 0                                  [anon:.bss]
71825000-71826000 r--s 00000000 fd:00 1381                               /system/framework/boot-telephony-common.vdex
71826000-71827000 r--p 001c1000 fd:00 1364                               /system/framework/arm64/boot-telephony-common.oat
71827000-71828000 rw-p 001c2000 fd:00 1364                               /system/framework/arm64/boot-telephony-common.oat
71828000-7182a000 r--p 00000000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
7182a000-7182b000 r-xp 00002000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
7182b000-7182c000 rw-p 00000000 00:00 0                                  [anon:.bss]
7182c000-7182d000 r--s 00000000 fd:00 1382                               /system/framework/boot-voip-common.vdex
7182d000-7182e000 r--p 00003000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
7182e000-7182f000 rw-p 00004000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
7182f000-71834000 r--p 00000000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
71834000-7183f000 r-xp 00005000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
7183f000-71840000 rw-p 00000000 00:00 0                                  [anon:.bss]
71840000-71841000 r--s 00000000 fd:00 1379                               /system/framework/boot-ims-common.vdex
71841000-71842000 r--p 00010000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
71842000-71843000 rw-p 00011000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
71843000-71845000 r--p 00000000 fd:00 1340                               /system/framework/arm64/boot-android.test.base.oat
71845000-71846000 r--s 00000000 fd:00 1373                               /system/framework/boot-android.test.base.vdex
71846000-71847000 r--p 00002000 fd:00 1340                               /system/framework/arm64/boot-android.test.base.oat
71847000-71848000 rw-p 00003000 fd:00 1340                               /system/framework/arm64/boot-android.test.base.oat
71848000-719b7000 rw-p 00000000 00:00 0                                  [anon:dalvik-zygote space]
719b7000-719b8000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
719b8000-719e6000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
719e6000-75049000 ---p 00000000 00:00 0                                  [anon:dalvik-non moving space]
75049000-75848000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
75848000-95848000 rw-p 00000000 00:00 0                                  [anon:dalvik-free list large object space]
95848000-97848000 rw-p 00000000 00:00 0                                  [anon:dalvik-zygote-data-code-cache]
97848000-99848000 r--p 00000000 00:00 0                                  [anon:dalvik-zygote-jit-code-cache]
99848000-9b848000 rw-s 00000000 00:01 124766                             /memfd:/jit-cache (deleted)
9b848000-9d848000 r-xs 02000000 00:01 124766                             /memfd:/jit-cache (deleted)
