[12834.533216] google_charger: usbchg=USB typec=C usbv=4870 usbc=489 usbMv=5000 usbMc=500
[12834.533324] sm8150_bms: MSC_PCS chg_state=1f4112303010015 [0x15:3:1:4387:500] chg=u
[12834.533336] google_battery: MSC_DIN chg_state=1f4112303010015 f=0x15 chg_s=Charging chg_t=Fast vchg=4387 icl=500
[12834.536839] google_battery: MSC_LAST vbatt=4373750 ibatt=-287500 fv_uv=4400000
[12834.536848] google_battery: MSC_LOGIC cv_cnt=3 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[12834.536853] google_battery: MSC_VOTE fv_uv=4400000 cc_max=1400000 update_interval=30000
[12834.536872] google_charger: MSC_CHG fv_uv=4400000, cc_max=1400000, rerun in 30000 ms (0)
[12835.848010] after: swapin tgid 788 pid 15891 name "netd" vma 7fbcf21000
[12835.949109] after: swapin tgid 788 pid 15891 name "netd" vma 7fba20b000
[12835.949216] after: swapin tgid 788 pid 15891 name "netd" vma 7fbc9af000
[12835.949245] after: swapin tgid 788 pid 15891 name "netd" vma 7fbc9ae000
[12835.949257] after: swapin tgid 788 pid 15891 name "netd" vma 7fbc9ac000
[12835.949271] after: swapin tgid 788 pid 15891 name "netd" vma 7fbc9b1000
[12835.949289] after: swapin tgid 788 pid 15891 name "netd" vma 7fbc9a9000
[12835.949312] after: swapin tgid 788 pid 15891 name "netd" vma 7fbc9aa000
[12835.949345] after: swapin tgid 788 pid 15891 name "netd" vma 7fba23f000
[12835.949496] after: swapin tgid 788 pid 15891 name "netd" vma 7fba24a000
[12835.949758] after: swapin tgid 788 pid 15891 name "netd" vma 7fbc9b0000
[12835.949785] after: swapin tgid 788 pid 15891 name "netd" vma 7fbc9ab000
[12835.949800] after: swapin tgid 788 pid 15891 name "netd" vma 7fbc9ad000
[12835.952205] after: swapin tgid 788 pid 15891 name "netd" vma 7fbcbd2000
[12835.952278] after: swapin tgid 788 pid 15891 name "netd" vma 7fba20c000
[12835.952462] after: swapin tgid 788 pid 15891 name "netd" vma 7fba2f2000
[12835.953026] after: swapin tgid 788 pid 15891 name "netd" vma 7fba24b000
[12835.989594] after: swapin tgid 788 pid 15892 name "netd" vma 7fbcef6000
[12844.539670] max1720x 2-0036: Capacity primed to 2713 on Full
[12844.540062] max1720x 2-0036: QH primed to 1955 on Full
[12844.540069] max1720x 2-0036: s=1->4 c=-241562 avg_c=-2500 ichgt=140000 vfsoc=97 soc=99 fullsocthr=90
[12844.545858] healthd: battery l=99 v=4376 t=36.8 h=2 st=4 c=-241 fc=2755000 cc=9 chg=u
[12844.561681] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbe033000
[12844.562438] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbf6ef000
[12844.562500] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fba701000
[12844.576796] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbd22d000
[12844.576829] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba36000
[12844.576862] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba40000
[12844.576903] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba6a000
[12844.576922] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba6b000
[12844.576949] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba57000
[12844.576977] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba58000
[12844.577048] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbbad0000
[12844.577079] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba90000
[12844.577180] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba0c000
[12844.577212] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba46000
[12844.577243] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbbc04000
[12844.577265] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbbc08000
[12844.577294] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbbc06000
[12844.577349] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbbc00000
[12844.577373] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba47000
[12844.577399] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbbc07000
[12844.577437] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbbab9000
[12844.577459] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba96000
[12844.577549] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba2a000
[12844.577629] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba2b000
[12844.577647] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbbc09000
[12844.577711] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbdc72000
