[ 6841.297856] after: swapin tgid 3935 pid 3935 name "adbd" vma 7fbd23b000
[ 6842.334044] google_charger: usbchg=USB typec=C usbv=4873 usbc=489 usbMv=5000 usbMc=500
[ 6842.334126] sm8150_bms: MSC_PCS chg_state=1f410ca03010015 [0x15:3:1:4298:500] chg=u
[ 6842.334131] google_battery: MSC_DIN chg_state=1f410ca03010015 f=0x15 chg_s=Charging chg_t=Fast vchg=4298 icl=500
[ 6842.336811] google_battery: MSC_DSG vbatt_idx:2->2 vbatt=4298125 ibatt=122812 fv_uv=4400000 cv_cnt=3 ov_cnt=0
[ 6842.336818] google_battery: MSC_LOGIC cv_cnt=3 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[ 6842.336821] google_battery: MSC_VOTE fv_uv=4400000 cc_max=1400000 update_interval=30000
[ 6842.336839] google_charger: MSC_CHG fv_uv=4400000, cc_max=1400000, rerun in 30000 ms (0)
[ 6844.525707] healthd: battery l=100 v=4274 t=35.2 h=2 st=5 c=210 fc=2755000 cc=9 chg=u
[ 6845.643606] after: swapin tgid 19839 pid 19839 name "ps" vma 7fe9832000
[ 6845.643690] after: swapin tgid 19839 pid 19839 name "ps" vma 7fde5d6000
[ 6845.644288] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.644492] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.644579] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.644645] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.644720] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.644794] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.644866] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.644974] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.645119] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.645189] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.645299] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.645397] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.646412] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.646634] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.647650] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.647878] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.647943] after: swapin tgid 19839 pid 19839 name "ps" vma fffef000
[ 6845.648976] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.649192] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.649265] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.649341] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.649415] after: swapin tgid 19839 pid 19839 name "ps" vma fffef000
[ 6845.649493] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.649575] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.649643] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.649716] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.649781] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.649851] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.650041] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.650116] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.650183] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.650264] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.650333] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.650460] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.650591] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.650671] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.650740] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.650807] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.650927] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.650994] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.651875] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.651941] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.652015] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.652099] after: swapin tgid 19839 pid 19839 name "ps" vma fffef000
[ 6845.652335] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.652396] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.652451] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.652516] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.652590] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.652657] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.652791] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.652927] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.652990] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.653229] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.653332] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.653590] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.653662] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.653736] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.653804] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.653857] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.653920] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.653989] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.654067] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.654143] after: swapin tgid 19839 pid 19839 name "ps" vma fffef000
[ 6845.654287] after: swapin tgid 19839 pid 19839 name "ps" vma fffef000
[ 6845.654358] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.654426] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.654572] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.654640] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.654705] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.654813] after: swapin tgid 19839 pid 19839 name "ps" vma fffef000
[ 6845.654921] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.654991] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.655124] after: swapin tgid 19839 pid 19839 name "ps" vma fffef000
[ 6845.655235] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.655406] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.655487] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.655610] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.655679] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.655746] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.655819] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.655893] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.655947] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.656282] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.656344] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.656399] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.656455] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.656508] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.656640] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.657256] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.657514] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.657589] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.657658] after: swapin tgid 19839 pid 19839 name "ps" vma fffef000
[ 6845.657742] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.657811] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.657869] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.657949] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.658018] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.658085] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.658255] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.658329] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.658399] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.658455] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.658535] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.658616] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.658775] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.658911] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.658983] after: swapin tgid 19839 pid 19839 name "ps" vma fffef000
[ 6845.659051] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.659117] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.659173] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.659275] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.659327] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.659546] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.659608] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.659667] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.659776] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.659858] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.659937] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.659999] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.660089] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.660153] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.660384] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.660842] after: swapin tgid 19839 pid 19839 name "ps" vma fffef000
[ 6845.660978] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.661122] after: swapin tgid 19839 pid 19839 name "ps" vma fffef000
[ 6845.661644] after: swapin tgid 19839 pid 19839 name "ps" vma fffef000
[ 6845.661716] after: swapin tgid 19839 pid 19839 name "ps" vma fffef000
[ 6845.661779] after: swapin tgid 19839 pid 19839 name "ps" vma fffef000
[ 6845.661871] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.662037] after: swapin tgid 19839 pid 19839 name "ps" vma 7ffffff000
[ 6845.662222] after: swapin tgid 19839 pid 19839 name "ps" vma fffef000
[ 6848.401309] max1720x 2-0036: s=4->2 c=349062 avg_c=1250 ichgt=140000 vfsoc=98 soc=99 fullsocthr=90
[ 6848.407603] google_charger: usbchg=USB typec=C usbv=4886 usbc=488 usbMv=5000 usbMc=500
[ 6848.407696] sm8150_bms: MSC_PCS chg_state=1f4109b03010015 [0x15:3:1:4251:500] chg=u
[ 6848.407704] google_battery: MSC_DIN chg_state=1f4109b03010015 f=0x15 chg_s=Charging chg_t=Fast vchg=4251 icl=500
[ 6848.414022] google_battery: MSC_DSG vbatt_idx:2->2 vbatt=4250625 ibatt=349062 fv_uv=4400000 cv_cnt=3 ov_cnt=0
[ 6848.414032] google_battery: MSC_LOGIC cv_cnt=3 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[ 6848.414035] google_battery: MSC_VOTE fv_uv=4400000 cc_max=1400000 update_interval=30000
[ 6848.414064] google_charger: MSC_CHG fv_uv=4400000, cc_max=1400000, rerun in 30000 ms (0)
[ 6848.417223] after: swapin tgid 575 pid 591 name "Binder:575_2" vma 7fbcc1a000
[ 6848.417253] after: swapin tgid 575 pid 591 name "Binder:575_2" vma 7fbce08000
[ 6848.427635] healthd: battery l=99 v=4250 t=35.2 h=2 st=4 c=349 fc=2755000 cc=9 chg=u
[ 6848.441229] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbe033000
[ 6848.441736] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbf6ef000
[ 6848.447580] healthd: battery l=99 v=4250 t=35.2 h=2 st=4 c=349 fc=2755000 cc=9 chg=u
[ 6848.448584] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbd22d000
[ 6848.448620] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba36000
[ 6848.448651] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba40000
[ 6848.448721] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba6a000
[ 6848.448744] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba6b000
