[ 9877.989706] google_charger: usbchg=USB typec=C usbv=4883 usbc=489 usbMv=5000 usbMc=500
[ 9877.989803] sm8150_bms: MSC_PCS chg_state=1f410d503010015 [0x15:3:1:4309:500] chg=u
[ 9877.989815] google_battery: MSC_DIN chg_state=1f410d503010015 f=0x15 chg_s=Charging chg_t=Fast vchg=4309 icl=500
[ 9877.993290] google_battery: MSC_LAST vbatt=4311562 ibatt=-45000 fv_uv=4400000
[ 9877.993300] google_battery: MSC_LOGIC cv_cnt=3 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[ 9877.993304] google_battery: MSC_VOTE fv_uv=4400000 cc_max=1400000 update_interval=30000
[ 9877.993332] google_charger: MSC_CHG fv_uv=4400000, cc_max=1400000, rerun in 30000 ms (0)
[ 9884.058961] after: swapin tgid 3935 pid 4099 name "UsbFfs-worker" vma 7fbde8f000
[ 9884.059054] after: swapin tgid 3935 pid 4099 name "UsbFfs-worker" vma 7fba6fd000
[ 9884.059084] after: swapin tgid 3935 pid 4099 name "UsbFfs-worker" vma 7fbcfcb000
[ 9885.071486] swapout tgid 818 pid 818 name "power@1.3-servi" vma 7fba6ff000
[ 9885.071498] swapout tgid 818 pid 818 name "power@1.3-servi" vma 7fba6fe000
[ 9885.726352] swapout tgid 1032 pid 1032 name "ip6tables-resto" vma 7fbe04b000
[ 9885.726389] swapout tgid 1032 pid 1032 name "ip6tables-resto" vma 7fbda09000
[ 9885.726419] swapout tgid 1032 pid 1032 name "ip6tables-resto" vma 7fbe260000
[ 9888.375927] swapout tgid 818 pid 818 name "power@1.3-servi" vma 7fbd26b000
[ 9888.375941] swapout tgid 818 pid 818 name "power@1.3-servi" vma 7fbd26c000
[ 9889.001267] after: swapin tgid 18093 pid 18093 name "ps" vma 7fc687c000
[ 9889.018781] after: swapin tgid 18093 pid 18093 name "ps" vma 7fe9832000
[ 9889.018849] after: swapin tgid 18093 pid 18093 name "ps" vma 7fde5d6000
[ 9889.018926] after: swapin tgid 18093 pid 18093 name "ps" vma 7fcc465000
[ 9889.019344] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.019398] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.019459] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.019510] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.019670] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.019740] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
