12c00000-12e00000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
12e00000-12fc0000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
12fc0000-13200000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
13200000-14700000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
14700000-16280000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
16280000-162c0000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
162c0000-2ac00000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
709bf000-70c46000 rw-p 00000000 fd:00 1369                               /system/framework/arm64/boot.art
70c46000-70d35000 rw-p 00000000 fd:00 1348                               /system/framework/arm64/boot-core-libart.art
70d35000-70d6b000 rw-p 00000000 fd:00 1360                               /system/framework/arm64/boot-okhttp.art
70d6b000-70dac000 rw-p 00000000 fd:00 1345                               /system/framework/arm64/boot-bouncycastle.art
70dac000-70dbc000 rw-p 00000000 fd:00 1342                               /system/framework/arm64/boot-apache-xml.art
70dbc000-7167c000 rw-p 00000000 fd:00 1354                               /system/framework/arm64/boot-framework.art
7167c000-716af000 rw-p 00000000 fd:00 1351                               /system/framework/arm64/boot-ext.art
716af000-717a6000 rw-p 00000000 fd:00 1363                               /system/framework/arm64/boot-telephony-common.art
717a6000-717b4000 rw-p 00000000 fd:00 1366                               /system/framework/arm64/boot-voip-common.art
717b4000-717c9000 rw-p 00000000 fd:00 1357                               /system/framework/arm64/boot-ims-common.art
717c9000-717cc000 rw-p 00000000 fd:00 1339                               /system/framework/arm64/boot-android.test.base.art
717cc000-71885000 r--p 00000000 fd:00 1370                               /system/framework/arm64/boot.oat
71885000-71b1b000 r-xp 000b9000 fd:00 1370                               /system/framework/arm64/boot.oat
71b1b000-71b1c000 rw-p 00000000 00:00 0                                  [anon:.bss]
71b1c000-71b1e000 r--s 00000000 fd:00 1383                               /system/framework/boot.vdex
71b1e000-71b1f000 r--p 0034f000 fd:00 1370                               /system/framework/arm64/boot.oat
71b1f000-71b20000 rw-p 00350000 fd:00 1370                               /system/framework/arm64/boot.oat
71b20000-71b69000 r--p 00000000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
71b69000-71c6e000 r-xp 00049000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
71c6e000-71c6f000 rw-p 00000000 00:00 0                                  [anon:.bss]
71c6f000-71c70000 r--s 00000000 fd:00 1376                               /system/framework/boot-core-libart.vdex
71c70000-71c71000 r--p 0014e000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
71c71000-71c72000 rw-p 0014f000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
71c72000-71c81000 r--p 00000000 fd:00 1361                               /system/framework/arm64/boot-okhttp.oat
71c81000-71cae000 r-xp 0000f000 fd:00 1361                               /system/framework/arm64/boot-okhttp.oat
71cae000-71caf000 rw-p 00000000 00:00 0                                  [anon:.bss]
71caf000-71cb0000 r--s 00000000 fd:00 1380                               /system/framework/boot-okhttp.vdex
71cb0000-71cb1000 r--p 0003c000 fd:00 1361                               /system/framework/arm64/boot-okhttp.oat
71cb1000-71cb2000 rw-p 0003d000 fd:00 1361                               /system/framework/arm64/boot-okhttp.oat
71cb2000-71cbf000 r--p 00000000 fd:00 1346                               /system/framework/arm64/boot-bouncycastle.oat
71cbf000-71cd6000 r-xp 0000d000 fd:00 1346                               /system/framework/arm64/boot-bouncycastle.oat
71cd6000-71cd7000 rw-p 00000000 00:00 0                                  [anon:.bss]
71cd7000-71cd8000 r--s 00000000 fd:00 1375                               /system/framework/boot-bouncycastle.vdex
71cd8000-71cd9000 r--p 00024000 fd:00 1346                               /system/framework/arm64/boot-bouncycastle.oat
71cd9000-71cda000 rw-p 00025000 fd:00 1346                               /system/framework/arm64/boot-bouncycastle.oat
71cda000-71cdf000 r--p 00000000 fd:00 1343                               /system/framework/arm64/boot-apache-xml.oat
71cdf000-71ce0000 r--s 00000000 fd:00 1374                               /system/framework/boot-apache-xml.vdex
71ce0000-71ce1000 r--p 00005000 fd:00 1343                               /system/framework/arm64/boot-apache-xml.oat
71ce1000-71ce2000 rw-p 00006000 fd:00 1343                               /system/framework/arm64/boot-apache-xml.oat
71ce2000-71f6a000 r--p 00000000 fd:00 1355                               /system/framework/arm64/boot-framework.oat
71f6a000-72877000 r-xp 00288000 fd:00 1355                               /system/framework/arm64/boot-framework.oat
72877000-7287a000 rw-p 00000000 00:00 0                                  [anon:.bss]
7287a000-72883000 r--s 00000000 fd:00 1378                               /system/framework/boot-framework.vdex
72883000-72884000 r--p 00b95000 fd:00 1355                               /system/framework/arm64/boot-framework.oat
72884000-72885000 rw-p 00b96000 fd:00 1355                               /system/framework/arm64/boot-framework.oat
72885000-7288e000 r--p 00000000 fd:00 1352                               /system/framework/arm64/boot-ext.oat
7288e000-728a5000 r-xp 00009000 fd:00 1352                               /system/framework/arm64/boot-ext.oat
728a5000-728a6000 rw-p 00000000 00:00 0                                  [anon:.bss]
728a6000-728a7000 r--s 00000000 fd:00 1377                               /system/framework/boot-ext.vdex
728a7000-728a8000 r--p 00020000 fd:00 1352                               /system/framework/arm64/boot-ext.oat
728a8000-728a9000 rw-p 00021000 fd:00 1352                               /system/framework/arm64/boot-ext.oat
728a9000-7290c000 r--p 00000000 fd:00 1364                               /system/framework/arm64/boot-telephony-common.oat
7290c000-72a6a000 r-xp 00063000 fd:00 1364                               /system/framework/arm64/boot-telephony-common.oat
72a6a000-72a6b000 rw-p 00000000 00:00 0                                  [anon:.bss]
72a6b000-72a6c000 r--s 00000000 fd:00 1381                               /system/framework/boot-telephony-common.vdex
72a6c000-72a6d000 r--p 001c1000 fd:00 1364                               /system/framework/arm64/boot-telephony-common.oat
72a6d000-72a6e000 rw-p 001c2000 fd:00 1364                               /system/framework/arm64/boot-telephony-common.oat
72a6e000-72a70000 r--p 00000000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
72a70000-72a71000 r-xp 00002000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
72a71000-72a72000 rw-p 00000000 00:00 0                                  [anon:.bss]
72a72000-72a73000 r--s 00000000 fd:00 1382                               /system/framework/boot-voip-common.vdex
72a73000-72a74000 r--p 00003000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
72a74000-72a75000 rw-p 00004000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
72a75000-72a7a000 r--p 00000000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
72a7a000-72a85000 r-xp 00005000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
72a85000-72a86000 rw-p 00000000 00:00 0                                  [anon:.bss]
72a86000-72a87000 r--s 00000000 fd:00 1379                               /system/framework/boot-ims-common.vdex
72a87000-72a88000 r--p 00010000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
72a88000-72a89000 rw-p 00011000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
72a89000-72a8b000 r--p 00000000 fd:00 1340                               /system/framework/arm64/boot-android.test.base.oat
72a8b000-72a8c000 r--s 00000000 fd:00 1373                               /system/framework/boot-android.test.base.vdex
