# tracer: nop
#
# entries-in-buffer/entries-written: 38827/38827   #P:1
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-11969 [004] ....  1981.083791: do_swap_page: swapin tgid 2264 11969 "-Executor] idle" 7fbe29e000 1dc22c 1 1
           <...>-11969 [004] d..2  1981.083797: free_swap_slot: swapfree cache 1dc22c
           <...>-11969 [004] ....  1981.083817: do_swap_page: swapin tgid 2264 11969 "-Executor] idle" 7f34f7e000 1c0559 1 1
           <...>-11969 [004] d..2  1981.083818: free_swap_slot: swapfree cache 1c0559
           <...>-11969 [004] d..2  1981.083825: free_swap_slot: swapfree cache 1a852c
           <...>-11969 [004] ....  1981.083828: do_swap_page: swapin tgid 2264 11969 "-Executor] idle" 12e3d000 14827f 0 1
           <...>-11969 [004] ....  1981.084396: do_swap_page: swapin tgid 2264 11969 "-Executor] idle" 12e3d000 14827f 1 1
           <...>-11969 [004] d..2  1981.084401: free_swap_slot: swapfree cache 14827f
           <...>-11969 [004] ....  1981.084405: do_swap_page: swapin tgid 2264 11969 "-Executor] idle" 138c0000 1a451c 1 1
           <...>-11969 [004] d..2  1981.084407: free_swap_slot: swapfree cache 1a451c
           <...>-11969 [004] ....  1981.084411: do_swap_page: swapin tgid 2264 11969 "-Executor] idle" 13b94000 15c208 0 1
           <...>-11969 [004] ....  1981.084571: do_swap_page: swapin tgid 2264 11969 "-Executor] idle" 13b94000 15c208 1 1
           <...>-11969 [004] d..2  1981.084575: free_swap_slot: swapfree cache 15c208
           <...>-11969 [004] ....  1981.084578: do_swap_page: swapin tgid 2264 11969 "-Executor] idle" 1389e000 1542d2 0 1
           <...>-11969 [004] ....  1981.084693: do_swap_page: swapin tgid 2264 11969 "-Executor] idle" 1389e000 1542d2 1 1
           <...>-11969 [004] d..2  1981.084697: free_swap_slot: swapfree cache 1542d2
           <...>-11969 [004] d..2  1981.084700: free_swap_slot: swapfree cache 15c245
           <...>-11969 [004] ....  1981.084705: do_swap_page: swapin tgid 2264 11969 "-Executor] idle" 13740000 1a4508 1 1
           <...>-11969 [004] d..2  1981.084707: free_swap_slot: swapfree cache 1a4508
           <...>-11969 [004] ....  1981.084711: do_swap_page: swapin tgid 2264 11969 "-Executor] idle" 1427a000 1a856a 1 1
           <...>-11969 [004] d..2  1981.084713: free_swap_slot: swapfree cache 1a856a
           <...>-11969 [004] ....  1981.084721: do_swap_page: swapin tgid 2264 11969 "-Executor] idle" 14d0a000 1742c2 0 1
           <...>-11969 [004] ....  1981.084824: do_swap_page: swapin tgid 2264 11969 "-Executor] idle" 14d0a000 1742c2 1 1
           <...>-11969 [004] d..2  1981.084828: free_swap_slot: swapfree cache 1742c2
           <...>-11969 [004] ....  1981.084832: do_swap_page: swapin tgid 2264 11969 "-Executor] idle" 155de000 178216 0 1
           <...>-11969 [004] ....  1981.084939: do_swap_page: swapin tgid 2264 11969 "-Executor] idle" 155de000 178216 1 1
           <...>-11969 [004] d..2  1981.084943: free_swap_slot: swapfree cache 178216
           <...>-11969 [004] ....  1981.084950: do_swap_page: swapin tgid 2264 11969 "-Executor] idle" 7f34f82000 1d4253 1 1
           <...>-11969 [004] d..2  1981.084952: swapcache_free_entries: swapfree direct 2005e
           <...>-11969 [004] d..3  1981.084954: swapcache_free_entries: swapfree direct 2808c
           <...>-11969 [004] d..3  1981.084955: swapcache_free_entries: swapfree direct 1b4510
           <...>-11969 [004] d..3  1981.084956: swapcache_free_entries: swapfree direct 1ac57e
           <...>-11969 [004] d..3  1981.084957: swapcache_free_entries: swapfree direct 1a859c
           <...>-11969 [004] d..3  1981.084958: swapcache_free_entries: swapfree direct 1a85a0
           <...>-11969 [004] d..3  1981.084959: swapcache_free_entries: swapfree direct 1ac5ff
           <...>-11969 [004] d..3  1981.084959: swapcache_free_entries: swapfree direct 1bc5d3
           <...>-11969 [004] d..3  1981.084960: swapcache_free_entries: swapfree direct 1ac5d8
           <...>-11969 [004] d..3  1981.084961: swapcache_free_entries: swapfree direct 1ac529
           <...>-11969 [004] d..3  1981.084961: swapcache_free_entries: swapfree direct 1bc5b4
           <...>-11969 [004] d..3  1981.084963: swapcache_free_entries: swapfree direct 1ac559
           <...>-11969 [004] d..3  1981.084963: swapcache_free_entries: swapfree direct 1ac55a
           <...>-11969 [004] d..3  1981.084964: swapcache_free_entries: swapfree direct 124500
           <...>-11969 [004] d..3  1981.084965: swapcache_free_entries: swapfree direct 1d8117
           <...>-11969 [004] d..3  1981.084966: swapcache_free_entries: swapfree direct 1bc509
           <...>-11969 [004] d..3  1981.084966: swapcache_free_entries: swapfree direct 1b05ce
           <...>-11969 [004] d..3  1981.084967: swapcache_free_entries: swapfree direct 1a854b
           <...>-11969 [004] d..3  1981.084968: swapcache_free_entries: swapfree direct 1a8579
           <...>-11969 [004] d..3  1981.084968: swapcache_free_entries: swapfree direct 1a4507
           <...>-11969 [004] d..3  1981.084969: swapcache_free_entries: swapfree direct 1bc564
           <...>-11969 [004] d..3  1981.084970: swapcache_free_entries: swapfree direct 1bc530
           <...>-11969 [004] d..3  1981.084970: swapcache_free_entries: swapfree direct 1bc531
           <...>-11969 [004] d..3  1981.084971: swapcache_free_entries: swapfree direct 1ac55c
           <...>-11969 [004] d..3  1981.084971: swapcache_free_entries: swapfree direct 1c05cd
           <...>-11969 [004] d..3  1981.084972: swapcache_free_entries: swapfree direct 1b0554
           <...>-11969 [004] d..3  1981.084973: swapcache_free_entries: swapfree direct 1c05d9
           <...>-11969 [004] d..3  1981.084974: swapcache_free_entries: swapfree direct 1c05da
           <...>-11969 [004] d..3  1981.084974: swapcache_free_entries: swapfree direct 1b45ad
           <...>-11969 [004] d..3  1981.084975: swapcache_free_entries: swapfree direct 1b45ac
           <...>-11969 [004] d..3  1981.084975: swapcache_free_entries: swapfree direct 1c0545
           <...>-11969 [004] d..3  1981.084976: swapcache_free_entries: swapfree direct 1b8557
           <...>-11969 [004] d..3  1981.084977: swapcache_free_entries: swapfree direct 1bc59d
           <...>-11969 [004] d..3  1981.084978: swapcache_free_entries: swapfree direct 1b855e
           <...>-11969 [004] d..3  1981.084978: swapcache_free_entries: swapfree direct 1bc5a0
           <...>-11969 [004] d..3  1981.084978: swapcache_free_entries: swapfree direct 1ac580
           <...>-11969 [004] d..3  1981.084979: swapcache_free_entries: swapfree direct 1bc5b6
           <...>-11969 [004] d..3  1981.084979: swapcache_free_entries: swapfree direct 1bc5d5
           <...>-11969 [004] d..3  1981.084980: swapcache_free_entries: swapfree direct 1bc5ca
           <...>-11969 [004] d..3  1981.084980: swapcache_free_entries: swapfree direct 1bc5c3
           <...>-11969 [004] d..3  1981.084981: swapcache_free_entries: swapfree direct 1bc5b0
           <...>-11969 [004] d..3  1981.084981: swapcache_free_entries: swapfree direct 1bc5c5
           <...>-11969 [004] d..3  1981.084981: swapcache_free_entries: swapfree direct 1bc5c6
           <...>-11969 [004] d..3  1981.084982: swapcache_free_entries: swapfree direct 1bc5b9
           <...>-11969 [004] d..3  1981.084982: swapcache_free_entries: swapfree direct 1b059c
           <...>-11969 [004] d..3  1981.084983: swapcache_free_entries: swapfree direct 1a8531
           <...>-11969 [004] d..3  1981.084984: swapcache_free_entries: swapfree direct 1782b6
           <...>-11969 [004] d..3  1981.084985: swapcache_free_entries: swapfree direct 1782b2
           <...>-11969 [004] d..3  1981.084985: swapcache_free_entries: swapfree direct 1b8558
           <...>-11969 [004] d..3  1981.084986: swapcache_free_entries: swapfree direct 1a8547
           <...>-11969 [004] d..3  1981.084986: swapcache_free_entries: swapfree direct 1b45ae
           <...>-11969 [004] d..3  1981.084986: swapcache_free_entries: swapfree direct 1bc565
           <...>-11969 [004] d..3  1981.084987: swapcache_free_entries: swapfree direct 1dc22c
           <...>-11969 [004] d..3  1981.084988: swapcache_free_entries: swapfree direct 1c0559
           <...>-11969 [004] d..3  1981.084988: swapcache_free_entries: swapfree direct 1a852c
           <...>-11969 [004] d..3  1981.084989: swapcache_free_entries: swapfree direct 14827f
           <...>-11969 [004] d..3  1981.084989: swapcache_free_entries: swapfree direct 1a451c
           <...>-11969 [004] d..3  1981.084990: swapcache_free_entries: swapfree direct 15c208
           <...>-11969 [004] d..3  1981.084990: swapcache_free_entries: swapfree direct 1542d2
           <...>-11969 [004] d..3  1981.084990: swapcache_free_entries: swapfree direct 15c245
           <...>-11969 [004] d..3  1981.084991: swapcache_free_entries: swapfree direct 1a4508
           <...>-11969 [004] d..3  1981.084991: swapcache_free_entries: swapfree direct 1a856a
           <...>-11969 [004] d..3  1981.084991: swapcache_free_entries: swapfree direct 1742c2
           <...>-11969 [004] d..3  1981.084992: swapcache_free_entries: swapfree direct 178216
           <...>-11969 [004] d..2  1981.084992: free_swap_slot: swapfree cache 1d4253
           <...>-11969 [004] d..2  1981.084996: free_swap_slot: swapfree cache 1542d3
           <...>-11969 [004] ....  1981.085000: do_swap_page: swapin tgid 2264 11969 "-Executor] idle" 13780000 1a4511 1 1
           <...>-11969 [004] d..2  1981.085001: free_swap_slot: swapfree cache 1a4511
           <...>-11969 [004] ....  1981.085006: do_swap_page: swapin tgid 2264 11969 "-Executor] idle" 14049000 1a855d 1 1
           <...>-11969 [004] d..2  1981.085009: free_swap_slot: swapfree cache 1a855d
           <...>-11969 [004] ....  1981.085015: do_swap_page: swapin tgid 2264 11969 "-Executor] idle" 13800000 1a4516 1 1
           <...>-11969 [004] d..2  1981.085017: free_swap_slot: swapfree cache 1a4516
           <...>-11969 [004] ....  1981.085020: do_swap_page: swapin tgid 2264 11969 "-Executor] idle" 155df000 178217 0 1
           <...>-11969 [004] ....  1981.085128: do_swap_page: swapin tgid 2264 11969 "-Executor] idle" 155df000 178217 1 1
           <...>-11969 [004] d..2  1981.085131: free_swap_slot: swapfree cache 178217
           <...>-11969 [004] ....  1981.085138: do_swap_page: swapin tgid 2264 11969 "-Executor] idle" 7f233a3000 1c425f 0 1
