tgid 5598  "adbd"  7fbd039000 0
tgid 828  "wifi_ext@1.0-se"  7fb9faf000 0
tgid 1340  "ClientModeImpl"  7e66cd1000 0
tgid 1340  "ClientModeImpl"  7e66cd2000 0
tgid 828  "wifi_ext@1.0-se"  7fb9fe1000 0
tgid 828  "wifi_ext@1.0-se"  7fb9a43000 0
tgid 828  "wifi_ext@1.0-se"  7fb9a33000 0
tgid 828  "wifi_ext@1.0-se"  7fba12d000 0
tgid 828  "wifi_ext@1.0-se"  7fba1b4000 0
tgid 828  "wifi_ext@1.0-se"  7fba03f000 0
tgid 828  "wifi_ext@1.0-se"  7fbb56e000 0
tgid 828  "wifi_ext@1.0-se"  7fba04d000 0
tgid 828  "wifi_ext@1.0-se"  7fba0de000 0
tgid 1340  "ClientModeImpl"  7ed0ddd000 0
tgid 1340  "Binder:1340_19"  14073000 0
tgid 1340  "ClientModeImpl"  7e66cd3000 0
tgid 828  "wifi_ext@1.0-se"  7fb9fb9000 0
tgid 828  "wifi_ext@1.0-se"  7fb9aa4000 0
tgid 828  "wifi_ext@1.0-se"  7fbb499000 0
tgid 828  "wifi_ext@1.0-se"  7fbb5c4000 0
tgid 828  "wifi_ext@1.0-se"  7fbb5e6000 0
tgid 828  "wifi_ext@1.0-se"  7fbb4f0000 0
tgid 828  "wifi_ext@1.0-se"  7fba0c3000 0
tgid 828  "wifi_ext@1.0-se"  7fba028000 0
tgid 828  "wifi_ext@1.0-se"  7fbb4da000 0
tgid 1340  "ClientModeImpl"  7e66cd4000 0
tgid 828  "wifi_ext@1.0-se"  7fba12b000 0
tgid 828  "wifi_ext@1.0-se"  7fba0c1000 0
tgid 828  "wifi_ext@1.0-se"  7fba106000 0
tgid 828  "wifi_ext@1.0-se"  7fbb59f000 0
tgid 828  "wifi_ext@1.0-se"  7fbb5af000 0
tgid 828  "wifi_ext@1.0-se"  7fba1bd000 0
tgid 828  "wifi_ext@1.0-se"  7fba0fa000 0
tgid 828  "wifi_ext@1.0-se"  7fbb5d5000 0
tgid 828  "wifi_ext@1.0-se"  7fb9fa4000 0
tgid 828  "wifi_ext@1.0-se"  7fb9ead000 0
tgid 828  "wifi_ext@1.0-se"  7fb9faa000 0
tgid 828  "wifi_ext@1.0-se"  7fbb5bb000 0
tgid 1340  "ClientModeImpl"  7eb701f000 0
tgid 828  "wifi_ext@1.0-se"  7fb9f8b000 0
tgid 828  "wifi_ext@1.0-se"  7fb9fdf000 0
tgid 1340  "Binder:1340_19"  14685000 0
tgid 1340  "Binder:1340_19"  142d8000 0
tgid 1340  "Binder:1340_19"  1464c000 0
tgid 1340  "Binder:1340_19"  14651000 0
tgid 1340  "Binder:1340_19"  1441a000 0
tgid 1340  "Binder:1340_19"  7f3980d000 0
tgid 1340  "Binder:1340_19"  7f3980e000 0
tgid 1340  "Binder:1340_19"  139e1000 0
tgid 1340  "Binder:1340_19"  13f81000 0
tgid 1340  "ClientModeImpl"  7e66cd5000 0
tgid 828  "wifi_ext@1.0-se"  7fb9f8a000 0
tgid 828  "wifi_ext@1.0-se"  7fba121000 0
tgid 828  "wifi_ext@1.0-se"  7fba2ea000 0
tgid 828  "wifi_ext@1.0-se"  7fb9db2000 0
tgid 828  "wifi_ext@1.0-se"  7fbb491000 0
tgid 828  "wifi_ext@1.0-se"  7fb9a77000 0
tgid 828  "wifi_ext@1.0-se"  7fb9fa8000 0
tgid 6125  "mdxSsdp22-3"  7fbe29d000 0
tgid 6125  "mdxSsdp22-3"  7fbe29c000 0
tgid 6125  "mdxSsdp22-3"  7fbe29e000 0
tgid 828  "wifi_ext@1.0-se"  7fba02a000 0
tgid 828  "wifi_ext@1.0-se"  7fbb5a7000 0
tgid 828  "wifi_ext@1.0-se"  7fba033000 0
tgid 828  "wifi_ext@1.0-se"  7fbb4f4000 0
tgid 828  "wifi_ext@1.0-se"  7fb9ac6000 0
tgid 828  "wifi_ext@1.0-se"  7fbb49d000 0
tgid 828  "wifi_ext@1.0-se"  7fba135000 0
tgid 828  "wifi_ext@1.0-se"  7fb9fa6000 0
tgid 828  "wifi_ext@1.0-se"  7fb9a44000 0
tgid 1340  "Binder:1340_19"  7ed1bac000 0
tgid 1340  "Binder:1340_19"  9ecad000 0
tgid 1340  "Binder:1340_19"  9edf6000 0
tgid 1340  "Binder:1340_19"  9ebc3000 0
tgid 1340  "Binder:1340_19"  9ee32000 0
tgid 1340  "Binder:1340_19"  9ecb1000 0
tgid 1340  "Binder:1340_19"  9edfa000 0
tgid 1340  "Binder:1340_19"  9eda1000 0
tgid 1340  "Binder:1340_19"  13920000 0
tgid 1340  "Binder:1340_19"  9eeb7000 0
tgid 1340  "Binder:1340_19"  1462a000 0
tgid 1340  "Binder:1340_19"  9ee31000 0
tgid 1340  "Binder:1340_19"  9ee2e000 0
tgid 1340  "InputDispatcher"  7ec8eba000 0
tgid 1340  "InputDispatcher"  7eb70cd000 0
tgid 1340  "InputDispatcher"  7ec8dd8000 0
tgid 1340  "InputDispatcher"  7eb6e8f000 0
tgid 1340  "InputDispatcher"  7e813c1000 0
tgid 1340  "InputDispatcher"  7e811b7000 0
tgid 1340  "InputDispatcher"  7ed0d96000 0
tgid 1340  "InputDispatcher"  7f2d80b000 0
tgid 1340  "InputDispatcher"  7e812a5000 0
tgid 828  "wifi_ext@1.0-se"  7fb9db4000 0
tgid 828  "wifi_ext@1.0-se"  7fba1c6000 0
tgid 828  "wifi_ext@1.0-se"  7fbb5c9000 0
tgid 828  "wifi_ext@1.0-se"  7fb9fe3000 0
tgid 828  "wifi_ext@1.0-se"  7fbb5b7000 0
tgid 828  "wifi_ext@1.0-se"  7fb9aa3000 0
tgid 828  "wifi_ext@1.0-se"  7fbb544000 0
tgid 828  "wifi_ext@1.0-se"  7fb9a76000 0
tgid 1340  "Binder:1340_19"  7f20ca5000 0
tgid 1340  "Binder:1340_19"  7e66d00000 0
tgid 1340  "Binder:1340_19"  7eb6ebf000 0
tgid 1340  "Binder:1340_19"  7f28b4a000 0
tgid 1340  "Binder:1340_19"  7ed0df2000 0
tgid 1340  "Binder:1340_19"  7f28b3f000 0
tgid 1340  "Binder:1340_19"  7e66bc7000 0
tgid 1340  "Binder:1340_19"  7e66bc8000 0
tgid 1340  "Binder:1340_19"  7eb6ebd000 0
tgid 1340  "Binder:1340_19"  7fbe310000 0
tgid 1340  "Binder:1340_19"  7fbe304000 0
tgid 1340  "Binder:1340_19"  7fbe311000 0
tgid 1340  "Binder:1340_19"  7ed0c80000 0
tgid 1340  "Binder:1340_19"  7f2d68c000 0
tgid 1340  "Binder:1340_19"  7eb7efe000 0
tgid 1340  "InputDispatcher"  7f2d750000 0
tgid 1340  "InputDispatcher"  7ec8dd1000 0
tgid 1340  "InputDispatcher"  7f2d751000 0
tgid 1340  "InputDispatcher"  7ec8e2d000 0
tgid 1340  "InputDispatcher"  7f2d616000 0
tgid 1340  "InputDispatcher"  7f2d7a2000 0
tgid 1340  "InputDispatcher"  7ec8da3000 0
tgid 1340  "InputDispatcher"  7eb4e02000 0
tgid 1340  "InputDispatcher"  7eb70f4000 0
tgid 1340  "InputDispatcher"  7f2d7b5000 0
tgid 1340  "InputDispatcher"  7ec903a000 0
tgid 1340  "InputDispatcher"  7ec8db6000 0
tgid 1340  "InputDispatcher"  7ed0dae000 0
tgid 1340  "InputDispatcher"  7e6f97d000 0
tgid 1340  "InputDispatcher"  7e66d9f000 0
tgid 1340  "InputDispatcher"  7ec8da1000 0
tgid 1340  "InputDispatcher"  7eb7dfa000 0
tgid 1340  "InputDispatcher"  7eb7fee000 0
tgid 1340  "InputDispatcher"  7e66d4e000 0
tgid 1340  "InputDispatcher"  7e66d1d000 0
tgid 1340  "InputDispatcher"  7e66ca7000 0
tgid 1340  "InputDispatcher"  7eb7e73000 0
tgid 1340  "InputDispatcher"  7eb4d08000 0
tgid 1340  "InputDispatcher"  7eb5132000 0
tgid 1340  "InputDispatcher"  7eb7d7b000 0
tgid 1340  "InputDispatcher"  7eb67a8000 0
tgid 1340  "InputDispatcher"  7ed103f000 0
tgid 1340  "InputDispatcher"  7ea95fa000 0
tgid 1340  "InputDispatcher"  7ea95f9000 0
tgid 1340  "InputDispatcher"  7ec8fd3000 0
tgid 1340  "InputDispatcher"  7ec8fd4000 0
tgid 1340  "InputDispatcher"  7eb7ff1000 0
tgid 1340  "InputDispatcher"  7eb7ff2000 0
tgid 1340  "InputDispatcher"  7ec8f7c000 0
tgid 1340  "InputDispatcher"  7f2d7ab000 0
tgid 818  "power@1.3-servi"  7fbd22b000 0
tgid 818  "power@1.3-servi"  7ffffff000 0
tgid 818  "power@1.3-servi"  7fbe422000 0
tgid 1340  "InputDispatcher"  7fbb12b000 0
tgid 1340  "InputDispatcher"  7f2d7b0000 0
tgid 1340  "InputDispatcher"  7fbe175000 0
tgid 1653  "ndroid.systemui"  7f28ec5000 0
tgid 818  "power@1.3-servi"  7fbd226000 0
tgid 818  "power@1.3-servi"  7fbd21e000 0
tgid 818  "power@1.3-servi"  7fbf700000 0
tgid 818  "power@1.3-servi"  7fbd206000 0
tgid 818  "power@1.3-servi"  7fbd209000 0
tgid 818  "power@1.3-servi"  7fbd24e000 0
tgid 818  "power@1.3-servi"  7fbdc7d000 0
tgid 818  "power@1.3-servi"  7fbd20d000 0
tgid 818  "power@1.3-servi"  7fbd221000 0
tgid 1653  "ndroid.systemui"  7f350cf000 0
tgid 1653  "ndroid.systemui"  7eb46d2000 0
tgid 1653  "ndroid.systemui"  7f28a21000 0
tgid 1653  "ndroid.systemui"  13e3b000 0
tgid 1653  "ndroid.systemui"  13e3d000 0
tgid 818  "power@1.3-servi"  7fbdbb9000 0
tgid 1653  "ndroid.systemui"  9ebd8000 0
tgid 1653  "ndroid.systemui"  9ee10000 0
tgid 818  "power@1.3-servi"  7fbd219000 0
