# tracer: nop
#
# entries-in-buffer/entries-written: 11063/11063   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-6807  [000] ....  1452.606382: read_swap_cache_async: remote readpage 6503 "Chrome_InProcGp" 7e9ae92000 3721bf
 send_target_man-200   [002] d..2  1452.853115: send_target_manager: send target manager - id, which_table : 4, 1
 send_target_man-200   [002] d..2  1452.853808: send_target_manager: send target manager - id, which_table : 5, 0
 send_target_man-200   [001] d..2  1462.879901: send_target_manager: send target manager - id, which_table : 4, 1
 send_target_man-200   [001] d..2  1462.880404: send_target_manager: send target manager - id, which_table : 5, 0
 send_target_man-200   [001] d..2  1472.906501: send_target_manager: send target manager - id, which_table : 4, 1
 send_target_man-200   [001] ...1  1472.909501: send_zram_to_nbd: target sent: 6503 7e9a194000 8a1f2
 send_target_man-200   [001] ...1  1472.911832: send_zram_to_nbd: target sent: 6503 7e9a213000 8a1f3
 send_target_man-200   [002] ...1  1472.914280: send_zram_to_nbd: target sent: 6503 7e9a13d000 8a1f4
 send_target_man-200   [002] ...1  1472.916872: send_zram_to_nbd: target sent: 6503 7e9a215000 8e1ea
 send_target_man-200   [002] ...1  1472.919232: send_zram_to_nbd: target sent: 6503 7e9a8e5000 8e1eb
 send_target_man-200   [001] ...1  1472.921102: send_zram_to_nbd: target sent: 6503 7f39858000 8e1ec
 send_target_man-200   [001] ...1  1472.923047: send_zram_to_nbd: target sent: 6503 7eb027a000 8a1f5
 send_target_man-200   [001] ...1  1472.925019: send_zram_to_nbd: target sent: 6503 7e9a29f000 8a1f6
 send_target_man-200   [000] ...1  1472.927975: send_zram_to_nbd: target sent: 6503 7e9a6a8000 8a1f7
 send_target_man-200   [000] ...1  1472.930793: send_zram_to_nbd: target sent: 6503 7e9ae81000 5fe136
 send_target_man-200   [000] ...1  1472.933689: send_zram_to_nbd: target sent: 6503 7ea2d53000 5fe138
 send_target_man-200   [002] ...1  1472.935809: send_zram_to_nbd: target sent: 6503 7ea35f3000 5fe13a
 send_target_man-200   [001] ...1  1472.938124: send_zram_to_nbd: target sent: 6503 7ea33e2000 8e1ed
 send_target_man-200   [001] ...1  1472.940705: send_zram_to_nbd: target sent: 6503 7eac71b000 8a1f8
 send_target_man-200   [001] ...1  1472.943330: send_zram_to_nbd: target sent: 6503 7ea2d52000 8a1f9
 send_target_man-200   [003] ...1  1472.945586: send_zram_to_nbd: target sent: 6503 7f2916c000 8a1fa
 send_target_man-200   [003] ...1  1472.947801: send_zram_to_nbd: target sent: 6503 7e763d4000 fa116
 send_target_man-200   [003] ...1  1472.950625: send_zram_to_nbd: target sent: 6503 9d6c6000 fa117
 send_target_man-200   [003] .n.1  1472.953167: send_zram_to_nbd: target sent: 6503 7fbe23d000 fa118
 send_target_man-200   [001] ...1  1472.956919: send_zram_to_nbd: target sent: 6503 7f28b29000 fa119
 send_target_man-200   [001] ...1  1472.959453: send_zram_to_nbd: target sent: 6503 7fbe238000 8a1fb
 send_target_man-200   [001] ...1  1472.961753: send_zram_to_nbd: target sent: 6503 7ec8004000 8a1fc
 send_target_man-200   [001] ...1  1472.963843: send_zram_to_nbd: target sent: 6503 7ea3106000 8a1fd
 send_target_man-200   [001] ...1  1472.967939: send_zram_to_nbd: target sent: 6503 7eaea59000 8a1fe
 send_target_man-200   [001] ...1  1472.970064: send_zram_to_nbd: target sent: 6503 7eb02c4000 8a1ff
 send_target_man-200   [001] ...1  1472.972325: send_zram_to_nbd: target sent: 6503 7eaddf2000 602100
 send_target_man-200   [001] ...1  1472.974189: send_zram_to_nbd: target sent: 6503 7eaddf1000 602101
 send_target_man-200   [001] ...1  1472.975896: send_zram_to_nbd: target sent: 6503 7eb05ce000 602102
 send_target_man-200   [002] ...1  1472.978124: send_zram_to_nbd: target sent: 6503 7eb05cf000 602103
 send_target_man-200   [002] ...1  1472.980059: send_zram_to_nbd: target sent: 6503 7eb05d0000 8e1ee
 send_target_man-200   [002] ...1  1472.981789: send_zram_to_nbd: target sent: 6503 7ed0c85000 8e1ef
 send_target_man-200   [002] ...1  1472.984160: send_zram_to_nbd: target sent: 6503 7e9a717000 8e1f0
 send_target_man-200   [002] ...1  1472.985781: send_zram_to_nbd: target sent: 6503 7eaddf0000 8e1f1
 send_target_man-200   [003] ...1  1472.988337: send_zram_to_nbd: target sent: 6503 7eb01b6000 8e1f2
 send_target_man-200   [003] ...1  1472.990558: send_zram_to_nbd: target sent: 6503 7eb016a000 fa11a
 send_target_man-200   [003] ...1  1472.992685: send_zram_to_nbd: target sent: 6503 7eb029f000 fa11b
 send_target_man-200   [001] ...1  1472.995761: send_zram_to_nbd: target sent: 6503 7eb03b9000 fa11c
 send_target_man-200   [001] ...1  1472.997913: send_zram_to_nbd: target sent: 6503 7eb01d5000 602104
 send_target_man-200   [001] ...1  1473.000981: send_zram_to_nbd: target sent: 6503 7eb03bd000 602105
 send_target_man-200   [001] ...1  1473.003891: send_zram_to_nbd: target sent: 6503 7eae48f000 602106
 send_target_man-200   [001] ...1  1473.007315: send_zram_to_nbd: target sent: 6503 7f29c95000 602107
 send_target_man-200   [001] ...1  1473.012845: send_zram_to_nbd: target sent: 6503 7eb0301000 602108
 send_target_man-200   [001] ...1  1473.016970: send_zram_to_nbd: target sent: 6503 7e8fa6e000 602109
 send_target_man-200   [001] ...1  1473.019354: send_zram_to_nbd: target sent: 6503 7ed0b5d000 60210a
 send_target_man-200   [001] ...1  1473.023445: send_zram_to_nbd: target sent: 6503 7eb02db000 60210b
 send_target_man-200   [001] ...1  1473.025459: send_zram_to_nbd: target sent: 6503 7f234fb000 60210c
 send_target_man-200   [001] ...1  1473.028255: send_zram_to_nbd: target sent: 6503 7ed0cbc000 60210d
 send_target_man-200   [003] ...1  1473.030656: send_zram_to_nbd: target sent: 6503 7ed0d35000 60210e
 send_target_man-200   [003] ...1  1473.032665: send_zram_to_nbd: target sent: 6503 7e9ac54000 fa11d
 send_target_man-200   [003] ...1  1473.034420: send_zram_to_nbd: target sent: 6503 7ed0cbe000 fa11e
 send_target_man-200   [003] ...1  1473.036154: send_zram_to_nbd: target sent: 6503 7eb03c3000 fa11f
 send_target_man-200   [003] ...1  1473.037755: send_zram_to_nbd: target sent: 6503 7ea30d3000 fa120
 send_target_man-200   [003] ...1  1473.040275: send_zram_to_nbd: target sent: 6503 7ea3391000 fa121
 send_target_man-200   [003] ...1  1473.042233: send_zram_to_nbd: target sent: 6503 7ea334a000 fa122
 send_target_man-200   [003] ...1  1473.044962: send_zram_to_nbd: target sent: 6503 7eaed79000 fa123
 send_target_man-200   [003] ...1  1473.047704: send_zram_to_nbd: target sent: 6503 7ea2d48000 fa124
 send_target_man-200   [000] ...1  1473.049995: send_zram_to_nbd: target sent: 6503 7e9a15d000 fa125
 send_target_man-200   [000] ...1  1473.052349: send_zram_to_nbd: target sent: 6503 7eaebb6000 5fe16a
 send_target_man-200   [000] ...1  1473.054288: send_zram_to_nbd: target sent: 6503 7ec8002000 5fe16c
 send_target_man-200   [003] ...1  1473.056357: send_zram_to_nbd: target sent: 6503 7eb03c5000 5fe16e
 send_target_man-200   [003] ...1  1473.058164: send_zram_to_nbd: target sent: 6503 7ea318c000 fa126
 send_target_man-200   [003] ...1  1473.060120: send_zram_to_nbd: target sent: 6503 7eae492000 fa127
 send_target_man-200   [001] ...1  1473.062214: send_zram_to_nbd: target sent: 6503 7eb02f2000 fa128
 send_target_man-200   [001] ...1  1473.064081: send_zram_to_nbd: target sent: 6503 7ec3365000 60210f
 send_target_man-200   [001] ...1  1473.065731: send_zram_to_nbd: target sent: 6503 7f28bad000 602110
 send_target_man-200   [001] ...1  1473.068184: send_zram_to_nbd: target sent: 6503 7ea2bd2000 602111
 send_target_man-200   [001] ...1  1473.069936: send_zram_to_nbd: target sent: 6503 7ed1170000 602112
 send_target_man-200   [003] ...1  1473.072184: send_zram_to_nbd: target sent: 6503 7e8fa6b000 602113
 send_target_man-200   [003] ...1  1473.074515: send_zram_to_nbd: target sent: 6503 7f234ee000 fa129
 send_target_man-200   [003] ...1  1473.076652: send_zram_to_nbd: target sent: 6503 9d67e000 fa12a
 send_target_man-200   [003] ...1  1473.078600: send_zram_to_nbd: target sent: 6503 7e8fa6d000 fa12b
 send_target_man-200   [003] ...1  1473.081142: send_zram_to_nbd: target sent: 6503 7ed0de3000 fa12c
 send_target_man-200   [003] ...1  1473.084124: send_zram_to_nbd: target sent: 6503 7ea2dcf000 fa12d
 send_target_man-200   [003] ...1  1473.086171: send_zram_to_nbd: target sent: 6503 7e9a04f000 fa12e
 send_target_man-200   [001] ...1  1473.088718: send_zram_to_nbd: target sent: 6503 7e9a711000 fa12f
 send_target_man-200   [001] ...1  1473.090616: send_zram_to_nbd: target sent: 6503 7e9ae26000 602114
 send_target_man-200   [001] ...1  1473.092899: send_zram_to_nbd: target sent: 6503 7f29ca1000 602115
 send_target_man-200   [001] ...1  1473.094860: send_zram_to_nbd: target sent: 6503 7f20d7e000 602116
 send_target_man-200   [001] ...1  1473.097009: send_zram_to_nbd: target sent: 6503 7e9a8ce000 602117
 send_target_man-200   [001] ...1  1473.099355: send_zram_to_nbd: target sent: 6503 7f20d6d000 602118
 send_target_man-200   [001] ...1  1473.101989: send_zram_to_nbd: target sent: 6503 7f20d6f000 602119
 send_target_man-200   [002] ...1  1473.104075: send_zram_to_nbd: target sent: 6503 7f20d79000 60211a
 send_target_man-200   [002] ...1  1473.106896: send_zram_to_nbd: target sent: 6503 7f20d74000 8e1f3
 send_target_man-200   [002] ...1  1473.108764: send_zram_to_nbd: target sent: 6503 7f29ca4000 8e1f4
 send_target_man-200   [003] ...1  1473.111221: send_zram_to_nbd: target sent: 6503 7ee3fd8000 8e1f5
 send_target_man-200   [002] ...1  1473.113716: send_zram_to_nbd: target sent: 6503 7e9ae58000 fa130
 send_target_man-200   [002] ...1  1473.116945: send_zram_to_nbd: target sent: 6503 7e9ae5b000 8e1f6
 send_target_man-200   [002] ...1  1473.119444: send_zram_to_nbd: target sent: 6503 7e9adc8000 8e1f7
 send_target_man-200   [002] ...1  1473.124190: send_zram_to_nbd: target sent: 6503 7e9adc7000 8e1f8
 send_target_man-200   [002] ...1  1473.127207: send_zram_to_nbd: target sent: 6503 7ec7457000 8e1f9
 send_target_man-200   [003] .n.1  1473.128961: send_zram_to_nbd: target sent: 6503 7fbe1fd000 8e1fa
 send_target_man-200   [003] ...1  1473.131292: send_zram_to_nbd: target sent: 6503 7eae4bc000 fa131
 send_target_man-200   [002] ...1  1473.134021: send_zram_to_nbd: target sent: 6503 7ea2b51000 fa132
 send_target_man-200   [002] ...1  1473.135925: send_zram_to_nbd: target sent: 6503 7eaeced000 8e1fb
 send_target_man-200   [002] ...1  1473.138524: send_zram_to_nbd: target sent: 6503 7eae4fa000 8e1fc
 send_target_man-200   [002] ...1  1473.140880: send_zram_to_nbd: target sent: 6503 7ea2cca000 8e1fd
 send_target_man-200   [002] ...1  1473.143827: send_zram_to_nbd: target sent: 6503 7eae4d4000 8e1fe
 send_target_man-200   [003] ...1  1473.145991: send_zram_to_nbd: target sent: 6503 7eb0199000 8e1ff
 send_target_man-200   [003] ...1  1473.147899: send_zram_to_nbd: target sent: 6503 7eb008f000 fa133
 send_target_man-200   [003] ...1  1473.149962: send_zram_to_nbd: target sent: 6503 7eb0090000 fa134
 send_target_man-200   [001] ...1  1473.151762: send_zram_to_nbd: target sent: 6503 7e37a0c000 fa135
 send_target_man-200   [001] ...1  1473.153943: send_zram_to_nbd: target sent: 6503 7eb02bb000 60211b
 send_target_man-200   [002] ...1  1473.157676: send_zram_to_nbd: target sent: 6503 7ead110000 60211c
 send_target_man-200   [002] .n.1  1473.159472: send_zram_to_nbd: target sent: 6503 7ec32e7000 606100
 send_target_man-200   [002] ...1  1473.161811: send_zram_to_nbd: target sent: 6503 7ed187b000 606101
 send_target_man-200   [002] ...1  1473.163977: send_zram_to_nbd: target sent: 6503 7f39879000 606102
 send_target_man-200   [002] ...1  1473.165678: send_zram_to_nbd: target sent: 6503 7eaedb8000 606103
 send_target_man-200   [001] ...1  1473.167693: send_zram_to_nbd: target sent: 6503 7ea2c5e000 606104
 send_target_man-200   [001] ...1  1473.170338: send_zram_to_nbd: target sent: 6503 7ea35f5000 60211d
 send_target_man-200   [001] ...1  1473.172177: send_zram_to_nbd: target sent: 6503 7e9c041000 60211e
 send_target_man-200   [001] ...1  1473.174163: send_zram_to_nbd: target sent: 6503 71656000 60211f
 send_target_man-200   [002] ...1  1473.177255: send_zram_to_nbd: target sent: 6503 7ee3fae000 602120
 send_target_man-200   [002] ...1  1473.181805: send_zram_to_nbd: target sent: 6503 7e9a199000 606105
 send_target_man-200   [002] ...1  1473.184294: send_zram_to_nbd: target sent: 6503 7e9a9db000 606106
 send_target_man-200   [002] ...1  1473.186929: send_zram_to_nbd: target sent: 6503 7e9add8000 606107
 send_target_man-200   [002] ...1  1473.189922: send_zram_to_nbd: target sent: 6503 7e9ad9d000 606108
 send_target_man-200   [002] ...1  1473.191740: send_zram_to_nbd: target sent: 6503 7e9ad9e000 606109
 send_target_man-200   [002] ...1  1473.193638: send_zram_to_nbd: target sent: 6503 7f28aed000 60610a
 send_target_man-200   [002] ...1  1473.195622: send_zram_to_nbd: target sent: 6503 7e9add9000 60610b
 send_target_man-200   [002] ...1  1473.197560: send_zram_to_nbd: target sent: 6503 7ee3fad000 60610c
 send_target_man-200   [002] .n.1  1473.199769: send_zram_to_nbd: target sent: 6503 7e9a1b3000 60610d
 send_target_man-200   [002] ...1  1473.202533: send_zram_to_nbd: target sent: 6503 7e9ae5a000 60610e
 send_target_man-200   [002] ...1  1473.204548: send_zram_to_nbd: target sent: 6503 7f31831000 60610f
 send_target_man-200   [001] ...1  1473.206778: send_zram_to_nbd: target sent: 6503 7ee3fa8000 606110
 send_target_man-200   [001] ...1  1473.209122: send_zram_to_nbd: target sent: 6503 7f29c94000 602121
 send_target_man-200   [002] ...1  1473.211607: send_zram_to_nbd: target sent: 6503 7e8fa6c000 602122
 send_target_man-200   [001] ...1  1473.213584: send_zram_to_nbd: target sent: 6503 7e9adc5000 606111
 send_target_man-200   [001] ...1  1473.215316: send_zram_to_nbd: target sent: 6503 7e9a9dc000 602123
 send_target_man-200   [002] ...1  1473.217658: send_zram_to_nbd: target sent: 6503 7e9a19a000 602124
 send_target_man-200   [002] ...1  1473.219500: send_zram_to_nbd: target sent: 6503 7e9a9f9000 606112
 send_target_man-200   [002] ...1  1473.222240: send_zram_to_nbd: target sent: 6503 7fbe1c3000 606113
 send_target_man-200   [002] ...1  1473.224249: send_zram_to_nbd: target sent: 6503 7f28ba5000 606114
 send_target_man-200   [002] ...1  1473.226291: send_zram_to_nbd: target sent: 6503 7eaedcc000 606115
 send_target_man-200   [002] ...1  1473.228050: send_zram_to_nbd: target sent: 6503 7e99d2f000 606116
 send_target_man-200   [002] ...1  1473.230556: send_zram_to_nbd: target sent: 6503 7e99cee000 606117
 send_target_man-200   [003] ...1  1473.232905: send_zram_to_nbd: target sent: 6503 7e9a663000 606118
 send_target_man-200   [003] .n.1  1473.235523: send_zram_to_nbd: target sent: 6503 7e8a984000 fa136
 send_target_man-200   [003] ...1  1473.237146: send_zram_to_nbd: target sent: 6503 7ee3fcd000 fa137
 send_target_man-200   [003] ...1  1473.240837: send_zram_to_nbd: target sent: 6503 7e8a985000 fa138
 send_target_man-200   [003] ...1  1473.243225: send_zram_to_nbd: target sent: 6503 7eacf31000 fa139
 send_target_man-200   [002] ...1  1473.245724: send_zram_to_nbd: target sent: 6503 7f2909c000 fa13a
 send_target_man-200   [002] ...1  1473.248194: send_zram_to_nbd: target sent: 6503 7e99f02000 606119
 send_target_man-200   [005] ...1  1473.250080: send_zram_to_nbd: target sent: 6503 7e9ae60000 60611a
 send_target_man-200   [001] ...1  1473.251771: send_zram_to_nbd: target sent: 6503 7ed0b59000 60a100
 send_target_man-200   [005] ...1  1473.254507: send_zram_to_nbd: target sent: 6503 7ee3fb2000 602125
 send_target_man-200   [005] ...1  1473.256336: send_zram_to_nbd: target sent: 6503 7fbf5e4000 60a101
 send_target_man-200   [005] ...1  1473.258271: send_zram_to_nbd: target sent: 6503 7e9a257000 60a102
