# tracer: nop
#
# entries-in-buffer/entries-written: 8468/8468   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-5987  [005] d..4   660.537598: __free_cluster: [REMOTE __free_cluster] free cluster 975
 send_target_man-200   [002] d..2   662.666715: send_target_manager: send target manager - id, which_table : 4, 1
 send_target_man-200   [002] d..2   662.667557: send_target_manager: send target manager - id, which_table : 5, 0
 send_target_man-200   [002] d..2   672.693290: send_target_manager: send target manager - id, which_table : 4, 1
 send_target_man-200   [002] d..2   672.693712: send_target_manager: send target manager - id, which_table : 5, 0
       UnityMain-6037  [006] d..4   674.140617: __free_cluster: [REMOTE __free_cluster] free cluster 590
 send_target_man-200   [002] d..2   682.719978: send_target_manager: send target manager - id, which_table : 4, 1
 send_target_man-200   [002] ...1   682.720064: scan_swap_map_try_cluster_id: [REMOTE scan_swap_map_try_cluster_id] id 4: alloc new cluster 84
 send_target_man-200   [001] ...1   682.735803: send_zram_to_nbd: target sent: 6475 7e9ce86000 5400
 send_target_man-200   [001] ...1   682.738945: send_zram_to_nbd: target sent: 6475 7e9cfd2000 5401
 send_target_man-200   [001] ...1   682.741316: send_zram_to_nbd: target sent: 6475 7e99c5e000 5402
 send_target_man-200   [000] ...1   682.743418: send_zram_to_nbd: target sent: 6475 7eaf514000 5403
 send_target_man-200   [000] ...1   682.746060: send_zram_to_nbd: target sent: 6475 7ed1267000 5404
 send_target_man-200   [002] ...1   682.749135: send_zram_to_nbd: target sent: 6475 7e9c6de000 5405
 send_target_man-200   [002] ...1   682.751107: send_zram_to_nbd: target sent: 6475 7e9aaa0000 5406
 send_target_man-200   [002] ...1   682.753175: send_zram_to_nbd: target sent: 6475 7fbe179000 5407
 send_target_man-200   [002] ...1   682.755283: send_zram_to_nbd: target sent: 6475 7f28a38000 5408
 send_target_man-200   [002] ...1   682.757276: send_zram_to_nbd: target sent: 6475 7e99b62000 5409
 send_target_man-200   [003] ...1   682.759468: send_zram_to_nbd: target sent: 6475 7f39839000 540a
 send_target_man-200   [002] ...1   682.761659: send_zram_to_nbd: target sent: 6475 7ec74e1000 540b
 send_target_man-200   [002] ...1   682.763841: send_zram_to_nbd: target sent: 6475 7fbd4ee000 540c
 send_target_man-200   [002] ...1   682.765540: send_zram_to_nbd: target sent: 6475 7f28ab4000 540d
 send_target_man-200   [002] ...1   682.770670: send_zram_to_nbd: target sent: 6475 7fba3dc000 540e
 send_target_man-200   [002] ...1   682.772831: send_zram_to_nbd: target sent: 6475 7fbb3b3000 540f
 send_target_man-200   [002] ...1   682.774985: send_zram_to_nbd: target sent: 6475 7f20bda000 5410
 send_target_man-200   [001] ...1   682.777094: send_zram_to_nbd: target sent: 6475 7f1fafe000 5411
 send_target_man-200   [001] ...1   682.779198: send_zram_to_nbd: target sent: 6475 7ec74e2000 5412
 send_target_man-200   [001] ...1   682.781390: send_zram_to_nbd: target sent: 6475 7f28c83000 5413
 send_target_man-200   [001] ...1   682.783141: send_zram_to_nbd: target sent: 6475 7ec7466000 5414
 send_target_man-200   [000] ...1   682.785296: send_zram_to_nbd: target sent: 6475 7f28965000 5415
 send_target_man-200   [000] ...1   682.787084: send_zram_to_nbd: target sent: 6475 7fbe264000 5416
 send_target_man-200   [000] ...1   682.788849: send_zram_to_nbd: target sent: 6475 7f28a20000 5417
 send_target_man-200   [000] ...1   682.790804: send_zram_to_nbd: target sent: 6475 7e9cf2f000 5418
 send_target_man-200   [000] ...1   682.792726: send_zram_to_nbd: target sent: 6475 7ec74d9000 5419
 send_target_man-200   [000] ...1   682.794734: send_zram_to_nbd: target sent: 6475 7f28a42000 541a
 send_target_man-200   [000] ...1   682.796689: send_zram_to_nbd: target sent: 6475 7e74da8000 541b
 send_target_man-200   [000] ...1   682.798972: send_zram_to_nbd: target sent: 6475 7ec7429000 541c
 send_target_man-200   [000] ...1   682.801094: send_zram_to_nbd: target sent: 6475 7ec742c000 541d
 send_target_man-200   [003] ...1   682.803590: send_zram_to_nbd: target sent: 6475 9d21e000 541e
 send_target_man-200   [003] ...1   682.805640: send_zram_to_nbd: target sent: 6475 7ec7a38000 541f
 send_target_man-200   [003] ...1   682.807850: send_zram_to_nbd: target sent: 6475 7f28988000 5420
 send_target_man-200   [003] ...1   682.810004: send_zram_to_nbd: target sent: 6475 7ec6c31000 5421
 send_target_man-200   [003] ...1   682.812110: send_zram_to_nbd: target sent: 6475 7e3c034000 5422
 send_target_man-200   [001] ...1   682.814353: send_zram_to_nbd: target sent: 6475 7fbe349000 5423
 send_target_man-200   [001] ...1   682.816400: send_zram_to_nbd: target sent: 6475 7e9c77e000 5424
 send_target_man-200   [001] ...1   682.818626: send_zram_to_nbd: target sent: 6475 7e9d057000 5425
 send_target_man-200   [001] ...1   682.820490: send_zram_to_nbd: target sent: 6475 7f28a95000 5426
 send_target_man-200   [001] ...1   682.822405: send_zram_to_nbd: target sent: 6475 7e74e00000 5427
 send_target_man-200   [001] ...1   682.824795: send_zram_to_nbd: target sent: 6475 7e74e01000 5428
 send_target_man-200   [003] ...1   682.827681: send_zram_to_nbd: target sent: 6475 7e9aa81000 5429
 send_target_man-200   [003] ...1   682.831086: send_zram_to_nbd: target sent: 6475 7eaf51c000 542a
 send_target_man-200   [003] ...1   682.832992: send_zram_to_nbd: target sent: 6475 7ec7400000 542b
 send_target_man-200   [003] ...1   682.834648: send_zram_to_nbd: target sent: 6475 7f291c8000 542c
 send_target_man-200   [003] ...1   682.836521: send_zram_to_nbd: target sent: 6475 7ec74e8000 542d
 send_target_man-200   [003] ...1   682.838591: send_zram_to_nbd: target sent: 6475 7f28a96000 542e
 send_target_man-200   [003] ...1   682.840700: send_zram_to_nbd: target sent: 6475 7eaf3da000 542f
 send_target_man-200   [003] ...1   682.842852: send_zram_to_nbd: target sent: 6475 7e3bf28000 5430
 send_target_man-200   [003] ...1   682.844964: send_zram_to_nbd: target sent: 6475 7f291c7000 5431
 send_target_man-200   [003] ...1   682.847235: send_zram_to_nbd: target sent: 6475 7fbe263000 5432
 send_target_man-200   [003] ...1   682.849712: send_zram_to_nbd: target sent: 6475 7f2898e000 5433
 send_target_man-200   [003] ...1   682.851670: send_zram_to_nbd: target sent: 6475 7f28d90000 5434
 send_target_man-200   [003] ...1   682.853888: send_zram_to_nbd: target sent: 6475 7e3bd39000 5435
 send_target_man-200   [003] ...1   682.855771: send_zram_to_nbd: target sent: 6475 7ed126e000 5436
 send_target_man-200   [003] ...1   682.857660: send_zram_to_nbd: target sent: 6475 7ec73fd000 5437
 send_target_man-200   [003] .n.1   682.859573: send_zram_to_nbd: target sent: 6475 7f28a36000 5438
 send_target_man-200   [003] ...1   682.861579: send_zram_to_nbd: target sent: 6475 7f28d8e000 5439
 send_target_man-200   [002] ...1   682.863558: send_zram_to_nbd: target sent: 6475 7ed1a4a000 543a
 send_target_man-200   [002] ...1   682.865733: send_zram_to_nbd: target sent: 6475 7ed1a46000 543b
 send_target_man-200   [002] ...1   682.868080: send_zram_to_nbd: target sent: 6475 9d1a1000 543c
 send_target_man-200   [003] ...1   682.872263: send_zram_to_nbd: target sent: 6475 7eaf31f000 543d
 send_target_man-200   [003] ...1   682.874464: send_zram_to_nbd: target sent: 6475 7e9c51a000 543e
 send_target_man-200   [003] ...1   682.877732: send_zram_to_nbd: target sent: 6475 7e9c519000 543f
