# tracer: nop
#
# entries-in-buffer/entries-written: 11966/11966   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
       UnityMain-6014  [006] d..4  1677.122764: __free_cluster: [REMOTE __free_cluster] free cluster 1774
 send_target_man-200   [001] d..2  1677.706474: send_target_manager: send target manager - id, which_table : 4, 0
 send_target_man-200   [001] d..2  1677.706820: send_target_manager: send target manager - id, which_table : 5, 1
 UnityGfxDeviceW-6041  [006] ....  1687.379063: read_swap_cache_async: remote readpage 5960 "UnityGfxDeviceW" 7eb6071000 57685d
 send_target_man-200   [001] d..2  1687.733157: send_target_manager: send target manager - id, which_table : 4, 0
 send_target_man-200   [001] ...1  1687.748165: send_zram_to_nbd: target sent: 6467 7ea1567000 60288e
 send_target_man-200   [001] ...1  1687.750332: send_zram_to_nbd: target sent: 6467 7ea153c000 60288f
 send_target_man-200   [001] ...1  1687.752119: send_zram_to_nbd: target sent: 6467 7ea153d000 602890
 send_target_man-200   [001] ...1  1687.754238: send_zram_to_nbd: target sent: 6467 7ea1568000 602891
 send_target_man-200   [001] ...1  1687.756239: send_zram_to_nbd: target sent: 6467 7ea153e000 602892
 send_target_man-200   [001] ...1  1687.763306: send_zram_to_nbd: target sent: 6467 7ea1572000 602893
 send_target_man-200   [000] ...1  1687.765461: send_zram_to_nbd: target sent: 6467 7ea1576000 602894
 send_target_man-200   [000] ...1  1687.767499: send_zram_to_nbd: target sent: 6467 7ea1974000 602895
 send_target_man-200   [001] ...1  1687.770081: send_zram_to_nbd: target sent: 6467 7eabfdb000 602896
 send_target_man-200   [003] ...1  1687.772182: send_zram_to_nbd: target sent: 6467 7e9b572000 602897
 send_target_man-200   [002] ...1  1687.775906: send_zram_to_nbd: target sent: 6467 7e9b737000 602898
 send_target_man-200   [003] ...1  1687.778398: send_zram_to_nbd: target sent: 6467 7e9b48f000 602899
 send_target_man-200   [003] ...1  1687.780857: send_zram_to_nbd: target sent: 6467 7ea15e4000 60289a
 send_target_man-200   [003] ...1  1687.782579: send_zram_to_nbd: target sent: 6467 7ea1598000 60289b
 send_target_man-200   [003] ...1  1687.784437: send_zram_to_nbd: target sent: 6467 7ea15a5000 60289c
 send_target_man-200   [003] ...1  1687.786287: send_zram_to_nbd: target sent: 6467 7e9b7e4000 60289d
 send_target_man-200   [003] ...1  1687.788106: send_zram_to_nbd: target sent: 6467 7e9b7e5000 60289e
 send_target_man-200   [003] ...1  1687.790193: send_zram_to_nbd: target sent: 6467 7e9b7e6000 60289f
 send_target_man-200   [001] ...1  1687.792077: send_zram_to_nbd: target sent: 6467 7e9b7e7000 6028a0
 send_target_man-200   [001] ...1  1687.794191: send_zram_to_nbd: target sent: 6467 7ea15aa000 6028a1
 send_target_man-200   [001] ...1  1687.796554: send_zram_to_nbd: target sent: 6467 7e9b7e8000 6028a2
 send_target_man-200   [000] ...1  1687.798691: send_zram_to_nbd: target sent: 6467 7e9b6c4000 6028a3
 send_target_man-200   [000] ...1  1687.800856: send_zram_to_nbd: target sent: 6467 7e9b6c6000 6028a4
 send_target_man-200   [002] ...1  1687.803475: send_zram_to_nbd: target sent: 6467 7e9b6c7000 6028a5
 send_target_man-200   [002] ...1  1687.805441: send_zram_to_nbd: target sent: 6467 7e9b6c8000 6028a6
 send_target_man-200   [002] ...1  1687.808071: send_zram_to_nbd: target sent: 6467 7e9b74f000 6028a7
 send_target_man-200   [002] ...1  1687.811677: send_zram_to_nbd: target sent: 6467 7e9b80d000 6028a8
 send_target_man-200   [002] ...1  1687.813945: send_zram_to_nbd: target sent: 6467 7e9b7d0000 6028a9
 send_target_man-200   [002] ...1  1687.816397: send_zram_to_nbd: target sent: 6467 7e9b80e000 6028aa
 send_target_man-200   [002] ...1  1687.818781: send_zram_to_nbd: target sent: 6467 7e9b80f000 6028ab
 send_target_man-200   [002] ...1  1687.821629: send_zram_to_nbd: target sent: 6467 7e9b810000 6028ac
 send_target_man-200   [002] ...1  1687.824190: send_zram_to_nbd: target sent: 6467 7e9b7fc000 6028ad
 send_target_man-200   [002] ...1  1687.826314: send_zram_to_nbd: target sent: 6467 7e9b811000 6028ae
 send_target_man-200   [001] ...1  1687.828757: send_zram_to_nbd: target sent: 6467 7e9b761000 6028af
 send_target_man-200   [002] ...1  1687.830707: send_zram_to_nbd: target sent: 6467 7e9b523000 6028b0
 send_target_man-200   [003] ...1  1687.833175: send_zram_to_nbd: target sent: 6467 7ea15e5000 6028b1
 send_target_man-200   [003] ...1  1687.834957: send_zram_to_nbd: target sent: 6467 7ea15e2000 6028b2
 send_target_man-200   [003] ...1  1687.836682: send_zram_to_nbd: target sent: 6467 7e9b707000 6028b3
 send_target_man-200   [003] ...1  1687.839003: send_zram_to_nbd: target sent: 6467 7ea198c000 6028b4
 send_target_man-200   [003] ...1  1687.840718: send_zram_to_nbd: target sent: 6467 7e9b715000 6028b5
 send_target_man-200   [003] ...1  1687.842573: send_zram_to_nbd: target sent: 6467 7e9b70a000 6028b6
 send_target_man-200   [003] ...1  1687.845769: send_zram_to_nbd: target sent: 6467 7e9b708000 6028b7
 send_target_man-200   [003] ...1  1687.850442: send_zram_to_nbd: target sent: 6467 7e9b524000 6028b8
 send_target_man-200   [000] ...1  1687.852530: send_zram_to_nbd: target sent: 6467 7e9b74e000 6028b9
 send_target_man-200   [000] ...1  1687.854738: send_zram_to_nbd: target sent: 6467 7ea15a9000 6028ba
 send_target_man-200   [000] ...1  1687.857327: send_zram_to_nbd: target sent: 6467 7eada80000 6028bb
 send_target_man-200   [000] ...1  1687.859618: send_zram_to_nbd: target sent: 6467 7e9b525000 6028bc
 send_target_man-200   [003] ...1  1687.862137: send_zram_to_nbd: target sent: 6467 7eabb25000 6028bd
 send_target_man-200   [003] ...1  1687.864397: send_zram_to_nbd: target sent: 6467 7e9b6c5000 6028be
 send_target_man-200   [003] ...1  1687.866573: send_zram_to_nbd: target sent: 6467 7e9b526000 6028bf
 send_target_man-200   [003] ...1  1687.868351: send_zram_to_nbd: target sent: 6467 7ea15b6000 6028c0
 send_target_man-200   [003] ...1  1687.871114: send_zram_to_nbd: target sent: 6467 7e9b6b1000 6028c1
 send_target_man-200   [003] ...1  1687.873159: send_zram_to_nbd: target sent: 6467 7ea15e6000 6028c2
