# tracer: nop
#
# entries-in-buffer/entries-written: 5137/5137   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
       UnityMain-6048  [004] d..4   864.086419: __free_cluster: [REMOTE __free_cluster] free cluster 1015
 send_target_man-200   [000] d..2   868.533357: send_target_manager: send target manager - id, which_table : 4, 0
 send_target_man-200   [000] d..2   868.534009: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [000] d..2   878.559924: send_target_manager: send target manager - id, which_table : 4, 0
 send_target_man-200   [000] ...1   878.559967: scan_swap_map_try_cluster_id: [REMOTE scan_swap_map_try_cluster_id] id 4: alloc new cluster 620
 send_target_man-200   [002] ...1   878.574802: send_zram_to_nbd: target sent id 4: 6514 7ea38ed000 26c00
 send_target_man-200   [000] ...1   878.577157: send_zram_to_nbd: target sent id 4: 6514 7f28ee3000 26c01
 send_target_man-200   [000] ...1   878.579516: send_zram_to_nbd: target sent id 4: 6514 7eaf6f5000 26c02
 send_target_man-200   [000] ...1   878.581527: send_zram_to_nbd: target sent id 4: 6514 7eaee91000 26c03
 send_target_man-200   [000] ...1   878.583483: send_zram_to_nbd: target sent id 4: 6514 7ebf0e4000 26c04
 send_target_man-200   [000] ...1   878.585513: send_zram_to_nbd: target sent id 4: 6514 7ea3b29000 26c05
 send_target_man-200   [000] ...1   878.587405: send_zram_to_nbd: target sent id 4: 6514 7e87d79000 26c06
 send_target_man-200   [000] ...1   878.589317: send_zram_to_nbd: target sent id 4: 6514 7eaee6b000 26c07
 send_target_man-200   [000] ...1   878.591354: send_zram_to_nbd: target sent id 4: 6514 7e87d7a000 26c08
 send_target_man-200   [000] ...1   878.593411: send_zram_to_nbd: target sent id 4: 6514 7eafb56000 26c09
 send_target_man-200   [000] ...1   878.595114: send_zram_to_nbd: target sent id 4: 6514 7fba0b4000 26c0a
 send_target_man-200   [000] ...1   878.596886: send_zram_to_nbd: target sent id 4: 6514 7eafa3f000 26c0b
 send_target_man-200   [001] ...1   878.598825: send_zram_to_nbd: target sent id 4: 6514 7ea85df000 26c0c
