# tracer: nop
#
# entries-in-buffer/entries-written: 5325/5325   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
       UnityMain-6063  [006] d..4  1257.556018: __free_cluster: [REMOTE __free_cluster] free cluster 1882
 send_target_man-200   [002] d..2  1259.999823: send_target_manager: send target manager - id, which_table : 4, 0
 send_target_man-200   [002] d..2  1260.000423: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [002] d..2  1270.026528: send_target_manager: send target manager - id, which_table : 4, 0
 send_target_man-200   [002] ...1  1270.026698: scan_swap_map_try_cluster_id: [REMOTE scan_swap_map_try_cluster_id] id 4: alloc new cluster 2098
 send_target_man-200   [002] ...1  1270.042887: send_zram_to_nbd: target sent id 4: 6534 7f2d80d000 83200
 send_target_man-200   [002] ...1  1270.044820: send_zram_to_nbd: target sent id 4: 6534 7f28b9c000 83201
 send_target_man-200   [002] ...1  1270.046975: send_zram_to_nbd: target sent id 4: 6534 7ea57d1000 83202
 send_target_man-200   [003] ...1  1270.049369: send_zram_to_nbd: target sent id 4: 6534 7ea5a2c000 83203
 send_target_man-200   [003] ...1  1270.051713: send_zram_to_nbd: target sent id 4: 6534 7e9f70f000 83204
 send_target_man-200   [003] ...1  1270.053609: send_zram_to_nbd: target sent id 4: 6534 7e9f8b3000 83205
 send_target_man-200   [000] ...1  1270.057950: send_zram_to_nbd: target sent id 4: 6534 7e9f8c5000 83206
 send_target_man-200   [000] ...1  1270.061122: send_zram_to_nbd: target sent id 4: 6534 7f2d7b2000 83207
 send_target_man-200   [001] ...1  1270.064333: send_zram_to_nbd: target sent id 4: 6534 7e9f1cf000 83208
 send_target_man-200   [001] ...1  1270.067014: send_zram_to_nbd: target sent id 4: 6534 7e9f1d0000 83209
 send_target_man-200   [001] ...1  1270.070294: send_zram_to_nbd: target sent id 4: 6534 7f2d810000 8320a
 send_target_man-200   [001] ...1  1270.074904: send_zram_to_nbd: target sent id 4: 6534 7e9f1d1000 8320b
 send_target_man-200   [001] ...1  1270.076990: send_zram_to_nbd: target sent id 4: 6534 7f2d815000 8320c
 send_target_man-200   [003] ...1  1270.080129: send_zram_to_nbd: target sent id 4: 6534 7fbe21e000 8320d
 send_target_man-200   [003] ...1  1270.082760: send_zram_to_nbd: target sent id 4: 6534 7f2d81d000 8320e
 send_target_man-200   [003] ...1  1270.085552: send_zram_to_nbd: target sent id 4: 6534 7f2d814000 8320f
 send_target_man-200   [003] ...1  1270.088650: send_zram_to_nbd: target sent id 4: 6534 7f2d81e000 83210
 send_target_man-200   [003] ...1  1270.092470: send_zram_to_nbd: target sent id 4: 6534 7f2d820000 83211
 send_target_man-200   [003] ...1  1270.094420: send_zram_to_nbd: target sent id 4: 6534 7f2d829000 83212
 send_target_man-200   [002] ...1  1270.097624: send_zram_to_nbd: target sent id 4: 6534 7f2d60f000 83213
 send_target_man-200   [002] ...1  1270.103260: send_zram_to_nbd: target sent id 4: 6534 7f2d610000 83214
 send_target_man-200   [002] ...1  1270.106021: send_zram_to_nbd: target sent id 4: 6534 7e9f516000 83215
 send_target_man-200   [002] ...1  1270.109045: send_zram_to_nbd: target sent id 4: 6534 7fbe19b000 83216
 send_target_man-200   [002] ...1  1270.111516: send_zram_to_nbd: target sent id 4: 6534 7fbe267000 83217
 send_target_man-200   [002] ...1  1270.115095: send_zram_to_nbd: target sent id 4: 6534 7fbe1af000 83218
 send_target_man-200   [002] ...1  1270.117985: send_zram_to_nbd: target sent id 4: 6534 7ebabec000 83219
 send_target_man-200   [000] ...1  1270.120807: send_zram_to_nbd: target sent id 4: 6534 7f2d6ac000 8321a
 send_target_man-200   [000] ...1  1270.125956: send_zram_to_nbd: target sent id 4: 6534 7e9f6a6000 8321b
 send_target_man-200   [000] ...1  1270.128716: send_zram_to_nbd: target sent id 4: 6534 7eb078c000 8321c
 send_target_man-200   [000] ...1  1270.131274: send_zram_to_nbd: target sent id 4: 6534 7f28dc4000 8321d
 send_target_man-200   [000] ...1  1270.134295: send_zram_to_nbd: target sent id 4: 6534 7ed0f75000 8321e
 send_target_man-200   [000] ...1  1270.136985: send_zram_to_nbd: target sent id 4: 6534 7f2d708000 8321f
 send_target_man-200   [000] ...1  1270.139453: send_zram_to_nbd: target sent id 4: 6534 7f2d7c4000 83220
 send_target_man-200   [000] ...1  1270.142353: send_zram_to_nbd: target sent id 4: 6534 7f2d707000 83221
