# tracer: nop
#
# entries-in-buffer/entries-written: 9745/9745   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-9940  [007] ....  1000.322354: app_switch_start_handler: ###########switch start! foreground 0#############
           <...>-200   [001] ....  1000.386697: send_target_manager: 3[REMOTE send_target_manager] target manager wake up
           <...>-200   [001] ....  1000.386707: send_target_manager: 3[REMOTE send_target_manager] target manager slept
           <...>-200   [001] ....  1064.586927: send_target_manager: 3[REMOTE send_target_manager] target manager wake up
           <...>-200   [001] ....  1064.586955: send_target_manager: 3[REMOTE send_target_manager] target manager slept
           <...>-200   [003] ....  1214.773782: send_target_manager: 3[REMOTE send_target_manager] target manager wake up
           <...>-200   [003] ....  1214.773866: send_target_manager: 3[REMOTE send_target_manager] target manager slept
           <...>-200   [003] ....  1364.960167: send_target_manager: 3[REMOTE send_target_manager] target manager wake up
           <...>-200   [003] ....  1364.960196: send_target_manager: 3[REMOTE send_target_manager] target manager slept
           <...>-200   [003] ....  1515.146795: send_target_manager: 3[REMOTE send_target_manager] target manager wake up
           <...>-200   [003] ....  1515.146822: send_target_manager: 3[REMOTE send_target_manager] target manager slept
           <...>-200   [003] ....  1665.333438: send_target_manager: 3[REMOTE send_target_manager] target manager wake up
           <...>-200   [003] ....  1665.333465: send_target_manager: 3[REMOTE send_target_manager] target manager slept
           <...>-12639 [007] ....  1792.979573: app_switch_start_handler: ###########switch start! foreground 10122#############
           <...>-5675  [005] ...1  1792.996499: do_swap_page: id 5, table 1 || 0: 1339 7f28b3a000
           <...>-5675  [005] ...1  1792.996527: do_swap_page: id 5, table 1 || 1: 1339 7f28ab0000
           <...>-5675  [005] ...1  1792.996728: do_swap_page: id 5, table 1 || 2: 1339 15110000
           <...>-5675  [005] ...1  1792.996752: do_swap_page: id 5, table 1 || 3: 1339 15104000
           <...>-5675  [005] ...1  1792.996796: do_swap_page: id 5, table 1 || 4: 1339 7ed1816000
           <...>-5675  [005] ...1  1792.996847: do_swap_page: id 5, table 1 || 5: 1339 13627000
           <...>-5675  [005] ...1  1792.996868: do_swap_page: id 5, table 1 || 6: 1339 7ed1817000
           <...>-5675  [005] ...1  1792.996921: do_swap_page: id 5, table 1 || 7: 1339 7ed1716000
           <...>-5675  [005] ...1  1792.996959: do_swap_page: id 5, table 1 || 8: 1339 718af000
           <...>-5675  [005] ...1  1792.996983: do_swap_page: id 5, table 1 || 9: 1339 7f352df000
           <...>-5675  [005] ...1  1792.997074: do_swap_page: id 5, table 1 || 10: 1339 13696000
           <...>-5675  [005] ...1  1792.997136: do_swap_page: id 5, table 1 || 11: 1339 7ed1717000
           <...>-5675  [005] ...1  1792.997257: do_swap_page: id 5, table 1 || 12: 1339 7f30873000
           <...>-5675  [005] ...1  1792.997333: do_swap_page: id 5, table 1 || 13: 1339 9d9dd000
           <...>-5675  [005] ...1  1792.997396: do_swap_page: id 5, table 1 || 14: 1339 9d9da000
           <...>-5675  [005] ...1  1792.997415: do_swap_page: id 5, table 1 || 15: 1339 9d8ff000
           <...>-5675  [005] ...1  1792.997428: do_swap_page: id 5, table 1 || 16: 1339 9d932000
           <...>-5675  [005] ...1  1792.997438: do_swap_page: id 5, table 1 || 17: 1339 9da99000
           <...>-5675  [005] ...1  1792.997446: do_swap_page: id 5, table 1 || 18: 1339 9d960000
           <...>-5675  [005] ...1  1792.997456: do_swap_page: id 5, table 1 || 19: 1339 9d947000
           <...>-5675  [005] ...1  1792.997482: do_swap_page: id 5, table 1 || 20: 1339 9d9f1000
           <...>-5675  [005] ...1  1792.997495: do_swap_page: id 5, table 1 || 21: 1339 9d76e000
           <...>-5675  [005] ...1  1792.997501: do_swap_page: id 5, table 1 || 22: 1339 9d9ee000
           <...>-5675  [005] ...1  1792.997555: do_swap_page: id 5, table 1 || 23: 1339 14a49000
           <...>-5675  [005] ...1  1792.997568: do_swap_page: id 5, table 1 || 24: 1339 136ed000
           <...>-5675  [005] ...1  1792.997611: do_swap_page: id 5, table 1 || 25: 1339 15181000
           <...>-5675  [005] ...1  1792.997621: do_swap_page: id 5, table 1 || 26: 1339 75f25000
           <...>-5675  [005] ...1  1792.997627: do_swap_page: id 5, table 1 || 27: 1339 75f27000
           <...>-5675  [005] ...1  1792.997631: do_swap_page: id 5, table 1 || 28: 1339 75f28000
           <...>-5675  [005] ...1  1792.997636: do_swap_page: id 5, table 1 || 29: 1339 15186000
           <...>-5675  [005] ...1  1792.997646: do_swap_page: id 5, table 1 || 30: 1339 14825000
           <...>-5675  [005] ...1  1792.997692: do_swap_page: id 5, table 1 || 31: 1339 9d8ab000
           <...>-5675  [005] ...1  1792.997708: do_swap_page: id 5, table 1 || 32: 1339 9d8a8000
           <...>-1364  [004] ...1  1792.997766: do_swap_page: id 5, table 1 || 33: 1339 7f21295000
           <...>-5675  [005] ...1  1792.997778: do_swap_page: id 5, table 1 || 34: 1339 7f21290000
           <...>-5675  [005] ...1  1792.997790: do_swap_page: id 5, table 1 || 35: 1339 13685000
           <...>-5675  [005] ...1  1792.997805: do_swap_page: id 5, table 1 || 36: 1339 9da81000
           <...>-5675  [005] ...1  1792.997813: do_swap_page: id 5, table 1 || 37: 1339 9dad6000
           <...>-5675  [005] ...1  1792.997821: do_swap_page: id 5, table 1 || 38: 1339 9dac3000
           <...>-5675  [005] ...1  1792.997834: do_swap_page: id 5, table 1 || 39: 1339 1361e000
           <...>-5675  [005] ...1  1792.997897: do_swap_page: id 5, table 1 || 40: 1339 136a0000
           <...>-5675  [005] ...1  1792.997909: do_swap_page: id 5, table 1 || 41: 1339 7f2af9c000
           <...>-5675  [005] ...1  1792.997917: do_swap_page: id 5, table 1 || 43: 1339 7f212b6000
     logd.writer-570   [000] ...1  1792.997918: do_swap_page: id 5, table 1 || 42: 558 7fbbf24000
           <...>-5675  [005] ...1  1792.997924: do_swap_page: id 5, table 1 || 44: 1339 13615000
           <...>-5675  [005] ...1  1792.997934: do_swap_page: id 5, table 1 || 45: 1339 7f212b7000
           <...>-5675  [005] ...1  1792.997966: do_swap_page: id 5, table 1 || 46: 1339 136a7000
           <...>-5675  [005] ...1  1792.997980: do_swap_page: id 5, table 1 || 47: 1339 15087000
           <...>-5675  [005] ...1  1792.998013: do_swap_page: id 5, table 1 || 48: 1339 151a7000
           <...>-5675  [005] ...1  1792.998061: do_swap_page: id 5, table 1 || 49: 1339 15127000
           <...>-5675  [005] ...1  1792.998085: do_swap_page: id 5, table 1 || 50: 1339 7eb6e76000
           <...>-5675  [005] ...1  1792.998095: do_swap_page: id 5, table 1 || 51: 1339 7eb5615000
           <...>-5675  [005] ...1  1792.998181: do_swap_page: id 5, table 1 || 52: 1339 7eb6d09000
           <...>-5675  [005] ...1  1792.998188: do_swap_page: id 5, table 1 || 53: 1339 7eb6d0a000
           <...>-5675  [005] ...1  1792.998193: do_swap_page: id 5, table 1 || 54: 1339 7eb6d0b000
           <...>-5675  [005] ...1  1792.998200: do_swap_page: id 5, table 1 || 55: 1339 7eb6d0c000
           <...>-5675  [005] ...1  1792.998206: do_swap_page: id 5, table 1 || 56: 1339 7eb6d0d000
           <...>-5675  [005] ...1  1792.998219: do_swap_page: id 5, table 1 || 57: 1339 7eb6d0e000
           <...>-5675  [005] ...1  1792.998224: do_swap_page: id 5, table 1 || 58: 1339 7eb6d0f000
           <...>-5675  [005] ...1  1792.998260: do_swap_page: id 5, table 1 || 59: 1339 7fba1dd000
           <...>-5675  [005] ...1  1792.998426: do_swap_page: id 5, table 1 || 60: 1339 7eb5616000
           <...>-5675  [005] ...1  1792.998445: do_swap_page: id 5, table 1 || 61: 1339 7e65b48000
           <...>-5675  [005] ...1  1792.998525: do_swap_page: id 5, table 1 || 62: 1339 7eb574d000
           <...>-5675  [005] ...1  1792.998534: do_swap_page: id 5, table 1 || 63: 1339 7eb6d5d000
           <...>-5675  [005] ...1  1792.998540: do_swap_page: id 5, table 1 || 64: 1339 7eb6d5e000
           <...>-5675  [005] ...1  1792.998555: do_swap_page: id 5, table 1 || 65: 1339 7fbe168000
