# tracer: nop
#
# entries-in-buffer/entries-written: 19077/19077   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-18320 [007] ....  3551.898860: app_switch_start_handler: ###########switch start! foreground 0#############
           <...>-2282  [006] ....  3551.946031: lookup_swap_cache: prefetch hit 2282 ".gms.persistent" 7f39848000 25d9f
           <...>-2282  [006] ....  3551.953283: lookup_swap_cache: prefetch hit 2282 ".gms.persistent" 7185d000 25d80
           <...>-2282  [003] ....  3551.991187: lookup_swap_cache: prefetch hit 2282 ".gms.persistent" 7f3984d000 31d4f
 ndroid.systemui-1788  [005] ....  3551.998988: lookup_swap_cache: prefetch hit 1788 "ndroid.systemui" 9d8b5000 21dcd
           <...>-6115  [001] ....  3552.029051: lookup_swap_cache: prefetch hit 6097 "Binder:6097_1" 7fbe2df000 29dd1
           <...>-5401  [006] ....  3552.041611: lookup_swap_cache: prefetch hit 1337 "Binder:1337_11" 7e6358e000 1dd77
 send_target_man-200   [001] d..2  3553.332746: send_target_manager: send target manager - id, which_table : 5, 1
           <...>-6527  [001] ....  3554.030304: lookup_swap_cache: prefetch hit 6521 "Jit thread pool" 7f2d473000 2ddaf
           <...>-7309  [001] ....  3554.090391: lookup_swap_cache: prefetch hit 2282 "lowpool[35]" 7ec47c6000 29d67
           <...>-6536  [000] ....  3557.243611: lookup_swap_cache: prefetch hit 6521 "FinalizerDaemon" 7f39880000 41d0f
 send_target_man-200   [002] d..2  3563.359958: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [002] d..2  3573.386112: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [002] d..2  3583.412775: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [002] d..2  3593.439465: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [002] d..2  3603.466270: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [002] d..2  3613.493038: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [003] d..2  3623.519979: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [003] d..2  3633.546350: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [003] d..2  3643.572764: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [003] d..2  3653.599477: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [003] d..2  3663.626135: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [001] d..2  3673.652735: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [002] d..2  3683.679452: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [002] d..2  3693.706098: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [002] d..2  3703.732740: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [000] d..2  3713.759722: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [000] d..2  3723.786070: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [002] d..2  3733.812994: send_target_manager: send target manager - id, which_table : 5, 1
           <...>-2295  [003] ....  3739.284572: lookup_swap_cache: prefetch hit 2282 "HeapTaskDaemon" 71871000 25d50
           <...>-2295  [003] ....  3739.320885: lookup_swap_cache: prefetch hit 2282 "HeapTaskDaemon" 71864000 21d25
           <...>-2297  [006] ....  3739.424660: lookup_swap_cache: prefetch hit 2282 "FinalizerDaemon" 7f39857000 25da1
 send_target_man-200   [002] d..2  3743.839442: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [002] d..2  3753.866298: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [002] d..2  3763.892766: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [002] d..2  3773.919655: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [001] d..2  3783.946373: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [001] d..2  3793.972728: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [003] d..2  3803.999699: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [003] d..2  3814.026313: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [003] d..2  3824.053063: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [003] d..2  3834.079450: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [003] d..2  3844.106025: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [003] d..2  3854.132729: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [003] d..2  3864.159404: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [003] d..2  3874.186034: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [003] d..2  3884.212975: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [003] d..2  3894.239414: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [003] d..2  3904.266287: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [000] d..2  3914.293327: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [001] d..2  3924.319692: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [001] d..2  3934.346046: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [003] d..2  3944.373258: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [003] d..2  3954.399389: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [003] d..2  3964.426037: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [002] d..2  3974.452948: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [002] ...1  3974.471314: send_zram_to_nbd: target sent: 605 7fba67b000 39d17
 send_target_man-200   [002] ...1  3974.473393: send_zram_to_nbd: target sent: 605 7fbdb7b000 39d18
 send_target_man-200   [002] ...1  3974.475354: send_zram_to_nbd: target sent: 605 7fbdb7a000 39d19
 send_target_man-200   [002] ...1  3974.477428: send_zram_to_nbd: target sent: 605 7fba750000 39d1a
 send_target_man-200   [002] ...1  3974.479686: send_zram_to_nbd: target sent: 605 7fba751000 39d1b
 send_target_man-200   [000] ...1  3974.481923: send_zram_to_nbd: target sent: 605 7fba78d000 39d1c
 send_target_man-200   [000] ...1  3974.485289: send_zram_to_nbd: target sent: 605 7faa728000 41d37
 send_target_man-200   [001] ...1  3974.487586: send_zram_to_nbd: target sent: 605 7faa578000 41d38
 send_target_man-200   [001] ...1  3974.489953: send_zram_to_nbd: target sent: 605 7faa587000 45d00
 send_target_man-200   [001] ...1  3974.492254: send_zram_to_nbd: target sent: 605 7fba641000 45d01
 send_target_man-200   [001] ...1  3974.494370: send_zram_to_nbd: target sent: 605 7fba642000 45d02
 send_target_man-200   [001] ...1  3974.496663: send_zram_to_nbd: target sent: 605 7faa677000 45d03
 send_target_man-200   [001] ...1  3974.498858: send_zram_to_nbd: target sent: 605 7fba6c6000 45d04
 send_target_man-200   [001] ...1  3974.500874: send_zram_to_nbd: target sent: 605 7fba643000 45d05
 send_target_man-200   [001] ...1  3974.505055: send_zram_to_nbd: target sent: 605 7faa7cf000 45d06
 send_target_man-200   [001] ...1  3974.507125: send_zram_to_nbd: target sent: 605 7fba644000 45d07
 send_target_man-200   [002] d..2  3984.692715: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [001] d..2  3994.719597: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [000] d..2  4004.746088: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [002] d..2  4014.772947: send_target_manager: send target manager - id, which_table : 5, 1
