# tracer: nop
#
# entries-in-buffer/entries-written: 5389/5389   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-9603  [007] ....   993.901817: app_switch_start_handler: ###########switch start! foreground 0#############
 send_target_man-200   [002] ....   993.933463: send_target_manager: 3[REMOTE send_target_manager] target manager wake up
 send_target_man-200   [002] ....   993.933471: send_target_manager: 3[REMOTE send_target_manager] target manager slept
 send_target_man-200   [003] ....  1064.586895: send_target_manager: 3[REMOTE send_target_manager] target manager wake up
 send_target_man-200   [003] ....  1064.586918: send_target_manager: 3[REMOTE send_target_manager] target manager slept
 send_target_man-200   [003] ....  1214.773577: send_target_manager: 3[REMOTE send_target_manager] target manager wake up
 send_target_man-200   [003] ....  1214.773605: send_target_manager: 3[REMOTE send_target_manager] target manager slept
 send_target_man-200   [003] ....  1364.960164: send_target_manager: 3[REMOTE send_target_manager] target manager wake up
 send_target_man-200   [003] ....  1364.960192: send_target_manager: 3[REMOTE send_target_manager] target manager slept
 send_target_man-200   [000] ....  1515.146924: send_target_manager: 3[REMOTE send_target_manager] target manager wake up
 send_target_man-200   [000] ....  1515.146952: send_target_manager: 3[REMOTE send_target_manager] target manager slept
 send_target_man-200   [000] ....  1665.333215: send_target_manager: 3[REMOTE send_target_manager] target manager wake up
 send_target_man-200   [000] ....  1665.333241: send_target_manager: 3[REMOTE send_target_manager] target manager slept
           <...>-12297 [007] ....  1781.757260: app_switch_start_handler: ###########switch start! foreground 10136#############
  servicemanager-559   [002] ...1  1781.775849: do_swap_page: id 7, table 1 || 0: 559 7fbd683000
           <...>-1355  [006] ...1  1781.776718: do_swap_page: id 7, table 1 || 1: 1336 7f28a43000
           <...>-1355  [006] ...1  1781.776752: do_swap_page: id 7, table 1 || 2: 1336 7f289b9000
           <...>-1355  [006] ...1  1781.777013: do_swap_page: id 7, table 1 || 3: 1336 7ed153d000
           <...>-1355  [006] ...1  1781.777040: do_swap_page: id 7, table 1 || 4: 1336 13df1000
           <...>-1355  [006] ...1  1781.777086: do_swap_page: id 7, table 1 || 5: 1336 13df4000
           <...>-1355  [006] ...1  1781.777155: do_swap_page: id 7, table 1 || 6: 1336 7ed134d000
           <...>-1355  [006] ...1  1781.777205: do_swap_page: id 7, table 1 || 7: 1336 72874000
           <...>-1355  [006] ...1  1781.777233: do_swap_page: id 7, table 1 || 8: 1336 7f3525b000
           <...>-1355  [006] ...1  1781.777259: do_swap_page: id 7, table 1 || 9: 1336 7eb906a000
           <...>-1355  [006] ...1  1781.777350: do_swap_page: id 7, table 1 || 10: 1336 7ed134e000
           <...>-1355  [006] ...1  1781.777375: do_swap_page: id 7, table 1 || 11: 1336 145ff000
           <...>-1355  [006] ...1  1781.777468: do_swap_page: id 7, table 1 || 12: 1336 13dc3000
           <...>-1355  [006] ...1  1781.777539: do_swap_page: id 7, table 1 || 13: 1336 7e9bfb9000
           <...>-1355  [006] ...1  1781.777557: do_swap_page: id 7, table 1 || 14: 1336 7e9bfba000
           <...>-1355  [006] ...1  1781.777642: do_swap_page: id 7, table 1 || 15: 1336 7f307e6000
           <...>-1355  [006] ...1  1781.777729: do_swap_page: id 7, table 1 || 16: 1336 9e9a2000
           <...>-1355  [006] ...1  1781.777791: do_swap_page: id 7, table 1 || 17: 1336 9e99f000
           <...>-1355  [006] ...1  1781.777808: do_swap_page: id 7, table 1 || 18: 1336 9e796000
           <...>-1355  [006] ...1  1781.777819: do_swap_page: id 7, table 1 || 19: 1336 9e8c4000
           <...>-1355  [006] ...1  1781.777835: do_swap_page: id 7, table 1 || 20: 1336 9e8f7000
           <...>-1355  [006] ...1  1781.777848: do_swap_page: id 7, table 1 || 21: 1336 9ea5e000
           <...>-1355  [006] ...1  1781.777857: do_swap_page: id 7, table 1 || 22: 1336 9e925000
           <...>-1355  [006] ...1  1781.777871: do_swap_page: id 7, table 1 || 23: 1336 9e90c000
           <...>-1355  [006] ...1  1781.777897: do_swap_page: id 7, table 1 || 24: 1336 9e735000
           <...>-1355  [006] ...1  1781.777909: do_swap_page: id 7, table 1 || 25: 1336 9e9b6000
           <...>-1355  [006] ...1  1781.777919: do_swap_page: id 7, table 1 || 26: 1336 9e9b3000
           <...>-1355  [006] ...1  1781.777934: do_swap_page: id 7, table 1 || 27: 1336 7f2adb8000
