# tracer: nop
#
# entries-in-buffer/entries-written: 8039/8039   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-20717 [007] ....  4394.971655: app_switch_start_handler: ###########switch start! foreground 0#############
           <...>-2481  [007] ....  4395.007819: read_swap_cache_async: remote readpage 1997 "RenderThread" 7f2d5f6000 2f9d3
           <...>-2481  [007] ....  4395.007822: do_swap_page: prefetch fault 1997 "RenderThread" 7f2d5f6000 2f9d3
           <...>-2481  [007] ....  4395.048132: read_swap_cache_async: remote readpage 1997 "RenderThread" 7eca25c000 2f9d4
           <...>-2481  [007] ....  4395.048135: do_swap_page: prefetch fault 1997 "RenderThread" 7eca25c000 2f9d4
           <...>-2481  [007] ....  4395.054318: read_swap_cache_async: remote readpage 1997 "RenderThread" 7eca329000 2f9d5
           <...>-2481  [007] ....  4395.054320: do_swap_page: prefetch fault 1997 "RenderThread" 7eca329000 2f9d5
           <...>-2481  [007] ....  4395.061161: read_swap_cache_async: remote readpage 1997 "RenderThread" 7eca32a000 2f9d6
           <...>-2481  [007] ....  4395.061162: do_swap_page: prefetch fault 1997 "RenderThread" 7eca32a000 2f9d6
           <...>-2481  [007] ....  4395.097065: read_swap_cache_async: remote readpage 1997 "RenderThread" 7fbe22c000 339a3
           <...>-2481  [007] ....  4395.097068: do_swap_page: prefetch fault 1997 "RenderThread" 7fbe22c000 339a3
 send_target_man-200   [002] d..2  4395.146078: send_target_manager: send target manager - id, which_table : 7, 0
           <...>-642   [003] ....  4395.248395: read_swap_cache_async: remote readpage 607 "HwBinder:607_2" 7fb458c000 2f99c
           <...>-642   [003] ....  4395.248410: do_swap_page: prefetch fault 607 "HwBinder:607_2" 7fb458c000 2f99c
           <...>-642   [001] ....  4395.258684: read_swap_cache_async: remote readpage 607 "HwBinder:607_2" 7fb4591000 2f99d
           <...>-642   [001] ....  4395.258697: do_swap_page: prefetch fault 607 "HwBinder:607_2" 7fb4591000 2f99d
           <...>-642   [001] ....  4395.261662: read_swap_cache_async: remote readpage 607 "HwBinder:607_2" 7fb458d000 2f99e
           <...>-642   [001] ....  4395.261668: do_swap_page: prefetch fault 607 "HwBinder:607_2" 7fb458d000 2f99e
           <...>-642   [001] ....  4395.264449: read_swap_cache_async: remote readpage 607 "HwBinder:607_2" 7fb4592000 2f99f
           <...>-642   [001] ....  4395.264459: do_swap_page: prefetch fault 607 "HwBinder:607_2" 7fb4592000 2f99f
           <...>-642   [001] ....  4395.267218: read_swap_cache_async: remote readpage 607 "HwBinder:607_2" 7fb458e000 2f9a0
           <...>-642   [001] ....  4395.267226: do_swap_page: prefetch fault 607 "HwBinder:607_2" 7fb458e000 2f9a0
           <...>-642   [001] ....  4395.270100: read_swap_cache_async: remote readpage 607 "HwBinder:607_2" 7fb4593000 2f9a1
           <...>-642   [001] ....  4395.270108: do_swap_page: prefetch fault 607 "HwBinder:607_2" 7fb4593000 2f9a1
           <...>-642   [001] ....  4395.272801: read_swap_cache_async: remote readpage 607 "HwBinder:607_2" 7fb458f000 3797d
           <...>-642   [001] ....  4395.272809: do_swap_page: prefetch fault 607 "HwBinder:607_2" 7fb458f000 3797d
           <...>-642   [003] ....  4395.275228: read_swap_cache_async: remote readpage 607 "HwBinder:607_2" 7fb4594000 3797e
           <...>-642   [003] ....  4395.275240: do_swap_page: prefetch fault 607 "HwBinder:607_2" 7fb4594000 3797e
           <...>-642   [003] ....  4395.277672: read_swap_cache_async: remote readpage 607 "HwBinder:607_2" 7fb4590000 3797f
           <...>-642   [003] ....  4395.277680: do_swap_page: prefetch fault 607 "HwBinder:607_2" 7fb4590000 3797f
           <...>-642   [001] ....  4395.280319: read_swap_cache_async: remote readpage 607 "HwBinder:607_2" 7fb4595000 37980
           <...>-642   [001] ....  4395.280326: do_swap_page: prefetch fault 607 "HwBinder:607_2" 7fb4595000 37980
           <...>-642   [000] ....  4395.282983: read_swap_cache_async: remote readpage 607 "HwBinder:607_2" 7fb4596000 37981
           <...>-642   [000] ....  4395.282996: do_swap_page: prefetch fault 607 "HwBinder:607_2" 7fb4596000 37981
 ogle.android.gm-4739  [000] ....  4395.577632: read_swap_cache_async: remote readpage 4739 "ogle.android.gm" 7ecb730000 3f905
 ogle.android.gm-4739  [000] ....  4395.577639: do_swap_page: prefetch fault 4739 "ogle.android.gm" 7ecb730000 3f905
 ogle.android.gm-4739  [000] ....  4395.589816: read_swap_cache_async: remote readpage 4739 "ogle.android.gm" 7ecb731000 3f906
 ogle.android.gm-4739  [000] ....  4395.589825: do_swap_page: prefetch fault 4739 "ogle.android.gm" 7ecb731000 3f906
 ogle.android.gm-4739  [000] ....  4395.592064: read_swap_cache_async: remote readpage 4739 "ogle.android.gm" 7ecb732000 3f907
 ogle.android.gm-4739  [000] ....  4395.592070: do_swap_page: prefetch fault 4739 "ogle.android.gm" 7ecb732000 3f907
 ogle.android.gm-4739  [000] ....  4395.594931: read_swap_cache_async: remote readpage 4739 "ogle.android.gm" 7ecb733000 3f908
 ogle.android.gm-4739  [000] ....  4395.594937: do_swap_page: prefetch fault 4739 "ogle.android.gm" 7ecb733000 3f908
 ogle.android.gm-4739  [000] ....  4395.599274: read_swap_cache_async: remote readpage 4739 "ogle.android.gm" 7ecb734000 3f909
 ogle.android.gm-4739  [000] ....  4395.599283: do_swap_page: prefetch fault 4739 "ogle.android.gm" 7ecb734000 3f909
           <...>-4782  [000] ....  4395.665071: read_swap_cache_async: remote readpage 4739 "BG Thread #2" 7f2d4f3000 1b950
           <...>-4782  [000] ....  4395.665081: do_swap_page: prefetch fault 4739 "BG Thread #2" 7f2d4f3000 1b950
 send_target_man-200   [002] d..2  4405.172700: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [002] d..2  4415.201033: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [002] d..2  4425.227675: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [002] d..2  4435.254263: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [002] d..2  4445.281006: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [002] d..2  4455.306138: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] dn.2  4465.334589: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4475.359373: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4485.387553: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4495.414265: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4505.440964: send_target_manager: send target manager - id, which_table : 7, 0
