# tracer: nop
#
# entries-in-buffer/entries-written: 8412/8412   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-15220 [007] ....  2698.945231: app_switch_start_handler: ###########switch start! foreground 0#############
    BG Thread #2-4762  [000] ....  2699.624377: lookup_swap_cache: prefetch hit 4718 "BG Thread #2" 7f2d768000 1524b
 send_target_man-201   [003] d..2  2700.212956: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-201   [003] d..2  2710.239811: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-201   [003] d..2  2720.266320: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-201   [003] d..2  2730.292883: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-201   [003] d..2  2740.321359: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-201   [001] d..2  2750.346539: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-201   [001] d..2  2760.373046: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-201   [003] d..2  2770.401499: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-201   [003] d..2  2780.427937: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-201   [003] d..2  2790.454128: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-201   [003] d..2  2800.479570: send_target_manager: send target manager - id, which_table : 7, 0
           <...>-1521  [000] ....  2807.521149: lookup_swap_cache: prefetch hit 1342 "Binder:1342_3" 7e64548000 d25a
 send_target_man-201   [003] d..2  2810.507968: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-201   [003] d..2  2820.533322: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-201   [003] d..2  2830.559635: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-201   [003] d..2  2840.586281: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-201   [003] d..2  2850.614585: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-201   [003] d..2  2860.639673: send_target_manager: send target manager - id, which_table : 7, 0
