# tracer: nop
#
# entries-in-buffer/entries-written: 12131/12131   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-29644 [007] ....  6929.206312: app_switch_start_handler: ###########switch start! foreground 0#############
     kworker/0:1-29477 [000] ....  6929.399825: cold_page_sender_work: remote: total sent cold page: 5885
     kworker/0:1-29477 [000] ....  6929.399832: cold_page_sender_work: remote: total faulted cold page: 19
           <...>-6820  [000] ....  6929.844129: read_swap_cache_async: remote readpage 4718 "Binder:4718_7" 7ecd9eb000 a12f9
 send_target_man-201   [002] d..2  6930.185450: send_target_manager: send target manager - id, which_table : 7, 1
           <...>-29724 [005] ....  6931.334908: lookup_swap_cache: prefetch hit 2535 "BOX_ENTRY_ADDED" 7f3980d000 d92c5
           <...>-2548  [000] ....  6934.768556: lookup_swap_cache: prefetch hit 2535 "HeapTaskDaemon" 72e36000 d92c4
 gle.android.gms-2535  [000] ....  6938.368250: lookup_swap_cache: prefetch hit 2535 "gle.android.gms" 7ec4877000 e1243
 send_target_man-201   [003] d..2  6940.212236: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-201   [003] d..2  6950.240488: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-201   [003] d..2  6960.267103: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-201   [003] d..2  6970.292185: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-201   [003] d..2  6980.319317: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-201   [003] d..2  6990.345515: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-201   [003] d..2  7000.373753: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-201   [003] d..2  7010.400396: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-201   [003] d..2  7020.425447: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-201   [003] d..2  7030.452208: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-201   [003] d..2  7040.480103: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-201   [003] d..2  7050.507855: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-201   [003] d..2  7060.532536: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-201   [003] d..2  7070.559146: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-201   [003] d..2  7080.587517: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-201   [003] d..2  7090.612500: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-201   [003] d..2  7100.639066: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-201   [003] d..2  7110.665467: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-201   [003] d..2  7120.692315: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-201   [003] d..2  7130.720396: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-201   [000] d..2  7140.745606: send_target_manager: send target manager - id, which_table : 7, 1
