id 8, table 0 || 0: 1338 765b2000
id 8, table 0 || 1: 1338 7f2d74f000
id 8, table 0 || 2: 1338 7f2d838000
id 8, table 0 || 3: 1338 7f2d836000
id 8, table 0 || 4: 1338 7f2d839000
id 8, table 0 || 5: 1338 7e72100000
id 8, table 0 || 6: 1338 7e72101000
id 8, table 0 || 7: 1338 7e72104000
id 8, table 0 || 8: 8617 7ec940c000
id 8, table 0 || 9: 8617 706d8000
id 8, table 0 || 10: 840 7fbe491000
id 8, table 0 || 11: 840 7fbe05d000
id 8, table 0 || 12: 840 7fbf700000
id 8, table 0 || 13: 840 7f3777e000
id 8, table 0 || 14: 840 7fffffd000
id 8, table 0 || 15: 840 7fffffc000
id 8, table 0 || 16: 840 7fbe02e000
id 8, table 0 || 17: 840 7fffffe000
id 8, table 0 || 18: 840 7fffffb000
id 8, table 0 || 19: 840 7fbe068000
id 8, table 0 || 20: 840 7fbe0d3000
id 8, table 0 || 21: 840 7f246d3000
id 8, table 0 || 22: 840 7f246d4000
id 8, table 0 || 23: 840 7f3789e000
id 8, table 0 || 24: 840 7f246d1000
id 8, table 0 || 25: 840 7f3789b000
id 8, table 0 || 26: 8617 7eb93cc000
id 8, table 0 || 27: 8617 7ec950c000
id 8, table 0 || 28: 8617 70868000
id 8, table 0 || 29: 8617 70998000
id 8, table 0 || 30: 8832 f7b08000
id 8, table 0 || 31: 8832 f7a9f000
id 8, table 0 || 32: 8832 f7b18000
id 8, table 0 || 33: 8832 f7b30000
id 8, table 0 || 34: 8832 59e01000
id 8, table 0 || 35: 8832 59e1c000
id 8, table 0 || 36: 8832 31c9d000
id 8, table 0 || 37: 8832 482b2000
id 8, table 0 || 38: 9638 f7a1b000
id 8, table 0 || 39: 9638 c3845000
id 8, table 0 || 40: 9638 f7ae1000
id 8, table 0 || 41: 9638 e2042000
id 8, table 0 || 42: 9638 f7b15000
id 8, table 0 || 43: 9638 f7b06000
id 8, table 0 || 44: 9638 f7b4a000
id 8, table 0 || 45: 9638 6fa47000
id 8, table 0 || 46: 9638 6f932000
id 8, table 0 || 47: 9606 f7ab2000
id 8, table 0 || 48: 9606 e5415000
id 8, table 0 || 49: 9606 e5459000
id 8, table 0 || 50: 9606 6fa47000
id 8, table 0 || 51: 9606 6f932000
id 8, table 0 || 52: 8962 6fe4d000
id 8, table 0 || 53: 878 f6c4d000
id 8, table 0 || 54: 878 f78e7000
id 8, table 0 || 55: 878 f619e000
id 8, table 0 || 56: 878 f7fe2000
id 8, table 0 || 57: 878 f6c53000
id 8, table 0 || 58: 878 f78e3000
id 8, table 0 || 59: 8962 7001c000
id 8, table 0 || 60: 8962 6fdf1000
id 8, table 0 || 61: 887 7fbe180000
id 8, table 0 || 62: 887 7ffffff000
id 8, table 0 || 63: 887 7fbe491000
id 8, table 0 || 64: 887 7fbe1ab000
id 8, table 0 || 65: 887 7fbf6ff000
id 8, table 0 || 66: 887 7fbf700000
id 8, table 0 || 67: 887 7fffffe000
id 8, table 0 || 68: 887 7fbe15d000
id 8, table 0 || 69: 887 7fbe15c000
id 8, table 0 || 70: 887 7fbe164000
id 8, table 0 || 71: 887 7fbdda8000
id 8, table 0 || 72: 887 7f3ba04000
id 8, table 0 || 73: 887 7f3ba06000
id 8, table 0 || 74: 887 7fbe161000
id 8, table 0 || 75: 887 7fbc94c000
id 8, table 0 || 76: 887 7fbf6ef000
id 8, table 0 || 77: 887 7f3b7f0000
id 8, table 0 || 78: 887 7f3ba02000
id 8, table 0 || 79: 887 7f3ba03000
id 8, table 0 || 80: 878 402000
id 8, table 0 || 81: 878 f6db4000
id 8, table 0 || 82: 878 f5c30000
id 8, table 0 || 83: 887 7f3ba07000
id 8, table 0 || 84: 878 f7b13000
id 8, table 0 || 85: 878 f4a09000
id 8, table 0 || 86: 878 f7b0e000
id 8, table 0 || 87: 887 7f3b600000
id 8, table 0 || 88: 887 7f3b7f1000
id 8, table 0 || 89: 878 f78dd000
id 8, table 0 || 90: 887 7fbe165000
id 8, table 0 || 91: 878 f6db5000
id 8, table 0 || 92: 878 f4d2f000
id 8, table 0 || 93: 887 7fbe16b000
id 8, table 0 || 94: 887 7fbe181000
id 8, table 0 || 95: 878 f60e2000
id 8, table 0 || 96: 887 7f3ba05000
id 8, table 0 || 97: 887 7fbe1a1000
id 8, table 0 || 98: 878 f7b02000
id 8, table 0 || 99: 878 f7b14000
id 8, table 0 || 100: 887 7fbf5e5000
id 8, table 0 || 101: 878 f4a89000
id 8, table 0 || 102: 887 7fbc95c000
id 8, table 0 || 103: 887 7fbc07b000
id 8, table 0 || 104: 887 7fbc0f7000
id 8, table 0 || 105: 887 7fbc07d000
id 8, table 0 || 106: 887 7fbc07c000
id 8, table 0 || 107: 887 7f3a031000
id 8, table 0 || 108: 887 7f3a028000
id 8, table 0 || 109: 887 7fbc1e4000
id 8, table 0 || 110: 2252 7eb511f000
id 8, table 0 || 111: 2252 7ec0e6e000
id 8, table 0 || 112: 2252 7eb5120000
id 8, table 0 || 113: 8962 70036000
id 8, table 0 || 114: 8962 6fe93000
id 8, table 0 || 115: 8962 f7547000
id 8, table 0 || 116: 8962 f6499000
id 8, table 0 || 117: 8962 f4b28000
id 8, table 0 || 118: 8962 f7a14000
id 8, table 0 || 119: 8962 6ffb7000
id 8, table 0 || 120: 8962 f52a1000
id 8, table 0 || 121: 8962 6fe92000
id 8, table 0 || 122: 8962 7003d000
id 8, table 0 || 123: 8962 6fec7000
id 8, table 0 || 124: 8962 beeb1000
id 8, table 0 || 125: 8962 70026000
id 8, table 0 || 126: 8962 6fe40000
id 8, table 0 || 127: 8962 f0ddb000
id 8, table 0 || 128: 8962 f49af000
id 8, table 0 || 129: 8962 70045000
id 8, table 0 || 130: 8962 70016000
id 8, table 0 || 131: 8962 6fe8c000
id 8, table 0 || 132: 8962 6fe70000
id 8, table 0 || 133: 2252 7eb512d000
id 8, table 0 || 134: 2252 7f21129000
id 8, table 0 || 135: 2252 7ec56f9000
id 8, table 0 || 136: 2252 7f20c98000
id 8, table 0 || 137: 2252 7f2dbb8000
id 8, table 0 || 138: 2252 7eb5143000
id 8, table 0 || 139: 2252 7ec0e78000
id 8, table 0 || 140: 2252 7eb514e000
id 8, table 0 || 141: 8962 6ff0d000
id 8, table 0 || 142: 8962 f7a53000
id 8, table 0 || 143: 8962 f7a35000
id 8, table 0 || 144: 8962 e2093000
id 8, table 0 || 145: 8962 f7a92000
id 8, table 0 || 146: 8962 cbd40000
id 8, table 0 || 147: 8962 e2118000
id 8, table 0 || 148: 8962 f0dee000
id 8, table 0 || 149: 8962 6fd4e000
id 8, table 0 || 150: 8962 6fe6f000
id 8, table 0 || 151: 8962 beeb5000
id 8, table 0 || 152: 8962 e20ea000
id 8, table 0 || 153: 8962 f7a8c000
id 8, table 0 || 154: 8962 f52a9000
id 8, table 0 || 155: 8962 bf080000
id 8, table 0 || 156: 8962 cad04000
id 8, table 0 || 157: 8962 f52ae000
id 8, table 0 || 158: 8962 befba000
id 8, table 0 || 159: 8962 f52ab000
id 8, table 0 || 160: 8962 bf03a000
id 8, table 0 || 161: 8962 cad70000
id 8, table 0 || 162: 8962 cbe52000
id 8, table 0 || 163: 8962 c7bc2000
id 8, table 0 || 164: 8962 ca463000
id 8, table 0 || 165: 8962 f52b4000
id 8, table 0 || 166: 8962 f52ac000
id 8, table 0 || 167: 8962 e2129000
id 8, table 0 || 168: 8962 cbed8000
