id 7, table 0 || 0: 1336 7e69139000
id 7, table 0 || 1: 1336 7e6913a000
id 7, table 0 || 2: 1336 7e6913b000
id 7, table 0 || 3: 1336 7eb92b3000
id 7, table 0 || 4: 1336 7eb92b4000
id 7, table 0 || 5: 1336 7eb92b5000
id 7, table 0 || 6: 1336 7f28bd2000
id 7, table 0 || 7: 1336 7f28bd1000
id 7, table 0 || 8: 14462 719d4000
id 7, table 0 || 9: 14462 717f3000
id 7, table 0 || 10: 14462 7ecda5c000
id 7, table 0 || 11: 14462 7e94161000
id 7, table 0 || 12: 14462 7e94288000
id 7, table 0 || 13: 14462 7e94157000
id 7, table 0 || 14: 14462 7e9412f000
id 7, table 0 || 15: 14462 7e6e4cd000
id 7, table 0 || 16: 14462 7e6e297000
id 7, table 0 || 17: 14462 7e94185000
id 7, table 0 || 18: 14462 7e6e421000
id 7, table 0 || 19: 14462 7e94155000
id 7, table 0 || 20: 14462 7e94156000
id 7, table 0 || 21: 14462 7e941b5000
id 7, table 0 || 22: 1740 7f28f78000
id 7, table 0 || 23: 14462 7fbe23f000
id 7, table 0 || 24: 14462 717c9000
id 7, table 0 || 25: 1740 7f29c9c000
id 7, table 0 || 26: 1740 7f29c9a000
id 7, table 0 || 27: 1740 7f29c9b000
id 7, table 0 || 28: 14462 718e7000
id 7, table 0 || 29: 14462 71877000
id 7, table 0 || 30: 14462 719e2000
id 7, table 0 || 31: 14462 7e90895000
id 7, table 0 || 32: 14462 7f2d61e000
id 7, table 0 || 33: 14462 7ea7341000
id 7, table 0 || 34: 14462 7ea7342000
id 7, table 0 || 35: 14462 71099000
id 7, table 0 || 36: 14462 7e8dfd9000
id 7, table 0 || 37: 14462 7f2d62c000
id 7, table 0 || 38: 14462 7f2d62d000
id 7, table 0 || 39: 14462 7eb8384000
id 7, table 0 || 40: 14462 7ea73b5000
id 7, table 0 || 41: 14462 7ea73b6000
id 7, table 0 || 42: 14462 7f3987d000
id 7, table 0 || 43: 14462 71053000
id 7, table 0 || 44: 14462 717c8000
id 7, table 0 || 45: 14462 717c6000
id 7, table 0 || 46: 14462 9f92f000
id 7, table 0 || 47: 14462 7ea73b7000
id 7, table 0 || 48: 14462 71949000
id 7, table 0 || 49: 14462 7e93eb9000
id 7, table 0 || 50: 14462 7e8dd55000
id 7, table 0 || 51: 14462 7e8dd56000
id 7, table 0 || 52: 14462 7e908c7000
id 7, table 0 || 53: 14462 718a4000
id 7, table 0 || 54: 14462 7f28b23000
id 7, table 0 || 55: 14462 7e8de96000
id 7, table 0 || 56: 14462 7e8de97000
id 7, table 0 || 57: 14462 7e8de98000
id 7, table 0 || 58: 14462 7ea730b000
id 7, table 0 || 59: 14462 7e8de9c000
id 7, table 0 || 60: 14462 7e8de9d000
id 7, table 0 || 61: 14462 7ecda24000
id 7, table 0 || 62: 14462 7eb9614000
id 7, table 0 || 63: 14462 7ecdad7000
id 7, table 0 || 64: 14462 7ecdabb000
id 7, table 0 || 65: 14462 7ecdad8000
id 7, table 0 || 66: 14462 7e8dec8000
id 7, table 0 || 67: 14462 7e8dec9000
id 7, table 0 || 68: 14462 7e8deca000
id 7, table 0 || 69: 14462 7ea75b3000
id 7, table 0 || 70: 14462 71a39000
id 7, table 0 || 71: 14462 7f28abe000
id 7, table 0 || 72: 14462 71965000
id 7, table 0 || 73: 14462 7ea728f000
id 7, table 0 || 74: 14462 7fba05d000
id 7, table 0 || 75: 2247 7ea709b000
id 7, table 0 || 76: 14462 7e90b5c000
id 7, table 0 || 77: 14462 7ecdb0a000
id 7, table 0 || 78: 1336 7e71067000
id 7, table 0 || 79: 1336 7e71064000
id 7, table 0 || 80: 1336 7e71065000
id 7, table 0 || 81: 1336 7e7ae8f000
id 7, table 0 || 82: 1336 7e7ae90000
id 7, table 0 || 83: 1336 7e583bb000
id 7, table 0 || 84: 14462 7e93ecc000
id 7, table 0 || 85: 14462 7ec959b000
id 7, table 0 || 86: 14462 7ec9599000
id 7, table 0 || 87: 14462 7ecda0e000
id 7, table 0 || 88: 14462 7ecda0f000
id 7, table 0 || 89: 14462 7eb8319000
id 7, table 0 || 90: 14462 7f2d7f6000
id 7, table 0 || 91: 14462 7e692d6000
id 7, table 0 || 92: 14462 7e94052000
id 7, table 0 || 93: 14462 7e692e4000
id 7, table 0 || 94: 14462 7e692d5000
id 7, table 0 || 95: 14462 7e69445000
id 7, table 0 || 96: 14462 7e6944a000
id 7, table 0 || 97: 14462 7e6944b000
id 7, table 0 || 98: 14462 7e6944c000
id 7, table 0 || 99: 14462 7e69451000
id 7, table 0 || 100: 14462 7e69452000
id 7, table 0 || 101: 14462 7e69453000
id 7, table 0 || 102: 14462 7e69455000
id 7, table 0 || 103: 14462 7e69457000
id 7, table 0 || 104: 14462 7e69459000
id 7, table 0 || 105: 14462 7e692b8000
id 7, table 0 || 106: 14462 7e692d7000
id 7, table 0 || 107: 14462 7e69458000
id 7, table 0 || 108: 14462 7f28a21000
id 7, table 0 || 109: 14462 7e6944d000
id 7, table 0 || 110: 14462 7e6976c000
id 7, table 0 || 111: 14462 7e692da000
id 7, table 0 || 112: 14462 7e69866000
id 7, table 0 || 113: 14462 7ea75aa000
id 7, table 0 || 114: 14462 7fbb0e0000
id 7, table 0 || 115: 14462 7e6944e000
id 7, table 0 || 116: 14462 7e6944f000
id 7, table 0 || 117: 14462 7e69450000
id 7, table 0 || 118: 14462 7e69394000
id 7, table 0 || 119: 14462 71802000
id 7, table 0 || 120: 14462 71780000
id 7, table 0 || 121: 14462 7f289b3000
id 7, table 0 || 122: 14462 7e692d9000
id 7, table 0 || 123: 14462 7e692dd000
id 7, table 0 || 124: 14462 7e6e677000
id 7, table 0 || 125: 14462 71a1b000
id 7, table 0 || 126: 14462 7e69454000
id 7, table 0 || 127: 14462 7e69456000
id 7, table 0 || 128: 14462 7e6945a000
id 7, table 0 || 129: 14462 718bb000
id 7, table 0 || 130: 14462 7100b000
id 7, table 0 || 131: 14462 7fbd099000
id 7, table 0 || 132: 14462 7f28b42000
id 7, table 0 || 133: 14462 7ecdca0000
id 7, table 0 || 134: 14462 71a2a000
id 7, table 0 || 135: 14462 717b8000
id 7, table 0 || 136: 14462 7e93eba000
id 7, table 0 || 137: 14462 7f289fd000
id 7, table 0 || 138: 14462 7e8df2a000
id 7, table 0 || 139: 14462 7e6e41f000
id 7, table 0 || 140: 14462 7e6e420000
id 7, table 0 || 141: 14462 7e6e52a000
id 7, table 0 || 142: 14462 7e6e275000
id 7, table 0 || 143: 14462 7e8de3d000
id 7, table 0 || 144: 14462 7e8e12f000
id 7, table 0 || 145: 14462 7e8dd6c000
id 7, table 0 || 146: 14462 7e69810000
id 7, table 0 || 147: 14462 7e8e069000
id 7, table 0 || 148: 14462 7fbbfee000
id 7, table 0 || 149: 14462 7e940c0000
id 7, table 0 || 150: 14462 7eabbbe000
id 7, table 0 || 151: 14462 7f20a5c000
id 7, table 0 || 152: 14462 7e93f10000
id 7, table 0 || 153: 14462 7e93f11000
id 7, table 0 || 154: 14462 7e9405b000
id 7, table 0 || 155: 14462 7e9405c000
id 7, table 0 || 156: 14462 7e69899000
id 7, table 0 || 157: 14462 7ecda65000
id 7, table 0 || 158: 14462 7e9405d000
id 7, table 0 || 159: 14462 7e942a7000
id 7, table 0 || 160: 14462 7e942a8000
id 7, table 0 || 161: 14462 7e942a9000
id 7, table 0 || 162: 14462 7e942aa000
id 7, table 0 || 163: 14462 7e942ab000
id 7, table 0 || 164: 14462 7e8dd23000
id 7, table 0 || 165: 14462 7e8dd24000
id 7, table 0 || 166: 14462 7e8dd25000
id 7, table 0 || 167: 14462 7e8dd26000
id 7, table 0 || 168: 14462 7e8dd27000
id 7, table 0 || 169: 14462 7e8dd30000
id 7, table 0 || 170: 14462 7e8dd31000
id 7, table 0 || 171: 14462 7ecd9fa000
id 7, table 0 || 172: 14462 7e8dd32000
id 7, table 0 || 173: 14462 7e8dd33000
id 7, table 0 || 174: 14462 7e8e0dd000
id 7, table 0 || 175: 14462 7e8e0de000
id 7, table 0 || 176: 14462 7e6e568000
id 7, table 0 || 177: 14462 7e8e0df000
id 7, table 0 || 178: 14462 7ecd9fc000
id 7, table 0 || 179: 14462 7fbaa37000
id 7, table 0 || 180: 14462 7e52a3b000
id 7, table 0 || 181: 14462 7e52ae5000
id 7, table 0 || 182: 14462 7e93ead000
id 7, table 0 || 183: 14462 7f28b31000
id 7, table 0 || 184: 14462 7e6e255000
id 7, table 0 || 185: 14462 7e6e252000
id 7, table 0 || 186: 14462 7e8e0a3000
id 7, table 0 || 187: 14462 7e8e11b000
id 7, table 0 || 188: 14462 7e8e0e0000
id 7, table 0 || 189: 14462 7e8e09c000
id 7, table 0 || 190: 14462 7e6e0e3000
id 7, table 0 || 191: 14462 7e52a3c000
id 7, table 0 || 192: 14462 7e6e1cd000
id 7, table 0 || 193: 14462 7e6e1d3000
id 7, table 0 || 194: 14462 7e8e0f0000
id 7, table 0 || 195: 14462 7e6e260000
id 7, table 0 || 196: 14462 7e8de24000
id 7, table 0 || 197: 14462 7e8e101000
id 7, table 0 || 198: 14462 7e8e102000
id 7, table 0 || 199: 14462 7e8e11d000
id 7, table 0 || 200: 14462 7e6e28a000
id 7, table 0 || 201: 14462 7e6e2b0000
id 7, table 0 || 202: 14462 7e93ebe000
id 7, table 0 || 203: 14462 7e8dd28000
id 7, table 0 || 204: 14462 7e8e11c000
id 7, table 0 || 205: 14462 7e94262000
id 7, table 0 || 206: 14462 7e6e2b2000
id 7, table 0 || 207: 14462 7e8decd000
id 7, table 0 || 208: 14462 7e6926b000
