id 7, table 1 || 0: 601 7fa92e4000
id 7, table 1 || 1: 14462 7e93ecd000
id 7, table 1 || 2: 14462 719d6000
id 7, table 1 || 3: 14462 719c8000
id 7, table 1 || 4: 14462 7f28afd000
id 7, table 1 || 5: 14462 7fbe166000
id 7, table 1 || 6: 14462 7f28ac1000
id 7, table 1 || 7: 14462 7ea736e000
id 7, table 1 || 8: 14462 7e93f22000
id 7, table 1 || 9: 14462 71b3d000
id 7, table 1 || 10: 14462 71a0a000
id 7, table 1 || 11: 14462 71915000
id 7, table 1 || 12: 14462 9f8f1000
id 7, table 1 || 13: 14462 9f145000
id 7, table 1 || 14: 14462 71a08000
id 7, table 1 || 15: 14462 7ecdb28000
id 7, table 1 || 16: 14462 7ea7478000
id 7, table 1 || 17: 14462 9fac5000
id 7, table 1 || 18: 14462 9fa90000
id 7, table 1 || 19: 14462 9fa5f000
id 7, table 1 || 20: 14462 9fadc000
id 7, table 1 || 21: 14462 9faaf000
id 7, table 1 || 22: 14462 9faba000
id 7, table 1 || 23: 14462 9fa80000
id 7, table 1 || 24: 14462 9f8e5000
id 7, table 1 || 25: 1740 71b4b000
id 7, table 1 || 26: 14462 717da000
id 7, table 1 || 27: 1740 71b4c000
id 7, table 1 || 28: 1740 71b4d000
id 7, table 1 || 29: 14621 6f892000
id 7, table 1 || 30: 14462 717b1000
id 7, table 1 || 31: 14462 7174e000
id 7, table 1 || 32: 14462 71877000
id 7, table 1 || 33: 14462 9fa9b000
id 7, table 1 || 34: 14462 7ea1f15000
id 7, table 1 || 35: 14462 7ea1f12000
id 7, table 1 || 36: 14462 9f9aa000
id 7, table 1 || 37: 14462 7ec959d000
id 7, table 1 || 38: 14462 7ec959a000
id 7, table 1 || 39: 14462 9fa0b000
id 7, table 1 || 40: 14462 9f9d2000
id 7, table 1 || 41: 14462 9f9b5000
id 7, table 1 || 42: 14462 7196c000
id 7, table 1 || 43: 14462 718a6000
id 7, table 1 || 44: 14462 7eb8480000
id 7, table 1 || 45: 14462 7ea1f13000
id 7, table 1 || 46: 14462 9fa81000
id 7, table 1 || 47: 14462 7ea1f11000
id 7, table 1 || 48: 14462 7ea72cb000
id 7, table 1 || 49: 14462 7ea72cc000
id 7, table 1 || 50: 14462 7e90896000
id 7, table 1 || 51: 14462 7e9094e000
id 7, table 1 || 52: 14462 7f2d6d2000
id 7, table 1 || 53: 14462 7181f000
id 7, table 1 || 54: 14462 9f94e000
id 7, table 1 || 55: 14462 9fac3000
id 7, table 1 || 56: 14462 7186c000
id 7, table 1 || 57: 14462 7e93f0c000
id 7, table 1 || 58: 14462 9fa8d000
id 7, table 1 || 59: 14462 9fa48000
id 7, table 1 || 60: 14462 7f2d68c000
id 7, table 1 || 61: 14462 9fa09000
id 7, table 1 || 62: 14462 9f8e6000
id 7, table 1 || 63: 14462 9f9fa000
id 7, table 1 || 64: 14462 9f9c7000
id 7, table 1 || 65: 14462 9fa23000
id 7, table 1 || 66: 14462 9f9f9000
id 7, table 1 || 67: 14462 9f9b0000
id 7, table 1 || 68: 14462 7e8dfa5000
id 7, table 1 || 69: 14462 7e8dfa6000
id 7, table 1 || 70: 14462 9f960000
id 7, table 1 || 71: 14462 9fa36000
id 7, table 1 || 72: 14462 7e6e1ee000
id 7, table 1 || 73: 14462 7e6e1ef000
id 7, table 1 || 74: 14462 719b2000
id 7, table 1 || 75: 14462 9f92a000
id 7, table 1 || 76: 14462 9f909000
id 7, table 1 || 77: 1740 7eb7a87000
id 7, table 1 || 78: 14462 7f2f07a000
id 7, table 1 || 79: 14462 7eb82fd000
id 7, table 1 || 80: 14462 7e90952000
id 7, table 1 || 81: 14462 7eb8383000
id 7, table 1 || 82: 14462 9f967000
id 7, table 1 || 83: 14462 9f9ab000
id 7, table 1 || 84: 14462 9f099000
id 7, table 1 || 85: 14462 71b54000
id 7, table 1 || 86: 14462 717f4000
id 7, table 1 || 87: 14462 9fac6000
id 7, table 1 || 88: 14462 9fa91000
id 7, table 1 || 89: 14462 7ec4070000
id 7, table 1 || 90: 14462 7ec406d000
id 7, table 1 || 91: 14462 9f962000
id 7, table 1 || 92: 14462 9f95f000
id 7, table 1 || 93: 14462 9fa7b000
id 7, table 1 || 94: 14462 9f984000
id 7, table 1 || 95: 14462 9f96f000
id 7, table 1 || 96: 14462 9f922000
id 7, table 1 || 97: 14462 9fa00000
id 7, table 1 || 98: 14462 9faca000
id 7, table 1 || 99: 14462 9fa97000
id 7, table 1 || 100: 14462 9f9bf000
id 7, table 1 || 101: 14462 9f956000
id 7, table 1 || 102: 14462 9fa8c000
id 7, table 1 || 103: 14462 9f972000
id 7, table 1 || 104: 14462 9f92b000
id 7, table 1 || 105: 14462 9fbc8000
id 7, table 1 || 106: 14462 9f976000
id 7, table 1 || 107: 14462 9fa71000
id 7, table 1 || 108: 14462 9fa6a000
id 7, table 1 || 109: 14462 9fa03000
id 7, table 1 || 110: 14462 9f8f9000
id 7, table 1 || 111: 14462 9fa18000
id 7, table 1 || 112: 14462 9f04b000
id 7, table 1 || 113: 14462 9f125000
id 7, table 1 || 114: 14462 9f128000
id 7, table 1 || 115: 14462 9f122000
id 7, table 1 || 116: 14462 9f047000
id 7, table 1 || 117: 14462 9f147000
id 7, table 1 || 118: 14462 9efd4000
id 7, table 1 || 119: 14462 9f12c000
id 7, table 1 || 120: 14462 9f03d000
id 7, table 1 || 121: 14462 9f1b2000
id 7, table 1 || 122: 14462 9f1dc000
id 7, table 1 || 123: 14462 9effb000
id 7, table 1 || 124: 14462 9f0ba000
id 7, table 1 || 125: 14462 9f12e000
id 7, table 1 || 126: 14462 7fbf6fb000
id 7, table 1 || 127: 14462 71a17000
id 7, table 1 || 128: 14462 7fbe1f2000
id 7, table 1 || 129: 14462 9fa86000
id 7, table 1 || 130: 14462 9fa75000
id 7, table 1 || 131: 14462 9fa24000
id 7, table 1 || 132: 14462 7ec2f67000
id 7, table 1 || 133: 14462 7ec2f64000
id 7, table 1 || 134: 14462 7ecda80000
id 7, table 1 || 135: 14462 7ecda90000
id 7, table 1 || 136: 14462 7ecc8b8000
id 7, table 1 || 137: 14462 7f28bcd000
id 7, table 1 || 138: 14462 7ecda23000
id 7, table 1 || 139: 14462 7ec2f65000
id 7, table 1 || 140: 14462 7ecda81000
id 7, table 1 || 141: 14462 7e93f01000
id 7, table 1 || 142: 14462 7ec2f63000
id 7, table 1 || 143: 14462 9f9f6000
id 7, table 1 || 144: 14462 9fa73000
id 7, table 1 || 145: 14462 9fa01000
id 7, table 1 || 146: 14462 7ea7534000
id 7, table 1 || 147: 14462 9f9b8000
id 7, table 1 || 148: 14462 9f9b9000
id 7, table 1 || 149: 14462 9fa14000
id 7, table 1 || 150: 14462 9f9df000
id 7, table 1 || 151: 14462 7e8dfa0000
id 7, table 1 || 152: 14462 7e8dfa1000
id 7, table 1 || 153: 14462 9f8ed000
id 7, table 1 || 154: 14462 7ecda10000
id 7, table 1 || 155: 14462 9f8ff000
id 7, table 1 || 156: 14462 9fa72000
id 7, table 1 || 157: 14462 7ec5179000
id 7, table 1 || 158: 14462 9fadf000
id 7, table 1 || 159: 14462 9fa7d000
id 7, table 1 || 160: 14462 7ec5176000
id 7, table 1 || 161: 14462 9fab2000
id 7, table 1 || 162: 14462 9fa6f000
id 7, table 1 || 163: 14462 7ec5177000
id 7, table 1 || 164: 14462 7ec5175000
id 7, table 1 || 165: 14462 7f2d6c1000
id 7, table 1 || 166: 14462 9f8e3000
id 7, table 1 || 167: 14462 7e90aa5000
id 7, table 1 || 168: 14462 7ec0d55000
id 7, table 1 || 169: 14462 7ec0d52000
id 7, table 1 || 170: 14462 9f9f0000
id 7, table 1 || 171: 14462 9f9f1000
id 7, table 1 || 172: 14462 9fa59000
id 7, table 1 || 173: 14462 9fadb000
id 7, table 1 || 174: 14462 9faad000
id 7, table 1 || 175: 14462 7ec0d53000
id 7, table 1 || 176: 14462 7ecda71000
id 7, table 1 || 177: 14462 7ec0d51000
id 7, table 1 || 178: 14462 7f2d6f5000
id 7, table 1 || 179: 14462 9f8e0000
id 7, table 1 || 180: 14462 7e8dfa2000
id 7, table 1 || 181: 14462 7ecdb04000
id 7, table 1 || 182: 14462 7ecdb07000
id 7, table 1 || 183: 14462 7ea759a000
id 7, table 1 || 184: 14462 7f2d68d000
id 7, table 1 || 185: 14462 7e529f9000
id 7, table 1 || 186: 14462 7ecdb05000
id 7, table 1 || 187: 14462 9f282000
id 7, table 1 || 188: 14462 7ec2e5e000
id 7, table 1 || 189: 14462 7ec2e5b000
id 7, table 1 || 190: 14462 9fade000
id 7, table 1 || 191: 14462 9fab1000
id 7, table 1 || 192: 14462 7ecda91000
id 7, table 1 || 193: 14462 7ecdb0c000
id 7, table 1 || 194: 14462 7ec2e5c000
id 7, table 1 || 195: 14462 7ec2e5a000
id 7, table 1 || 196: 14462 9fa99000
id 7, table 1 || 197: 14462 9fa29000
id 7, table 1 || 198: 601 7fb75b9000
id 7, table 1 || 199: 601 7fb76c3000
id 7, table 1 || 200: 601 7fb76e9000
id 7, table 1 || 201: 601 7fb76e0000
id 7, table 1 || 202: 601 7fb75d8000
id 7, table 1 || 203: 601 7fb7624000
id 7, table 1 || 204: 601 7fb75e8000
id 7, table 1 || 205: 601 7fb7623000
id 7, table 1 || 206: 601 7fb797a000
id 7, table 1 || 207: 601 7fb7569000
id 7, table 1 || 208: 14462 9fa4e000
id 7, table 1 || 209: 14462 7eb40e7000
id 7, table 1 || 210: 14462 7ecdb08000
id 7, table 1 || 211: 14462 7ecdb09000
id 7, table 1 || 212: 14462 9f98c000
id 7, table 1 || 213: 14462 9f97e000
id 7, table 1 || 214: 14462 9f9cb000
id 7, table 1 || 215: 14462 9fa02000
id 7, table 1 || 216: 14462 9fa31000
id 7, table 1 || 217: 14462 7fbe23d000
id 7, table 1 || 218: 14462 719c2000
id 7, table 1 || 219: 14462 9f08a000
id 7, table 1 || 220: 14462 9f070000
id 7, table 1 || 221: 14462 9f0fd000
id 7, table 1 || 222: 14462 9f05a000
id 7, table 1 || 223: 14462 9f054000
id 7, table 1 || 224: 14462 9f109000
id 7, table 1 || 225: 14462 9f179000
id 7, table 1 || 226: 14462 9f18c000
id 7, table 1 || 227: 14462 9f95e000
id 7, table 1 || 228: 14462 9f041000
id 7, table 1 || 229: 14462 9f1d1000
id 7, table 1 || 230: 14462 9f129000
id 7, table 1 || 231: 14462 9eff7000
id 7, table 1 || 232: 14462 9f012000
id 7, table 1 || 233: 14462 9efae000
id 7, table 1 || 234: 14462 9f0bf000
id 7, table 1 || 235: 14462 9f064000
id 7, table 1 || 236: 14462 9f1a3000
id 7, table 1 || 237: 14462 9f06a000
id 7, table 1 || 238: 14462 9efbb000
id 7, table 1 || 239: 14462 9f024000
id 7, table 1 || 240: 14462 9f176000
id 7, table 1 || 241: 14462 9f1b3000
id 7, table 1 || 242: 14462 9f1dd000
id 7, table 1 || 243: 14462 9f018000
id 7, table 1 || 244: 14462 9effc000
id 7, table 1 || 245: 14462 9f1cb000
id 7, table 1 || 246: 14462 9f02c000
id 7, table 1 || 247: 14462 9efc0000
id 7, table 1 || 248: 14462 9f050000
id 7, table 1 || 249: 14462 9f04e000
id 7, table 1 || 250: 14462 9f008000
id 7, table 1 || 251: 14462 9f01d000
id 7, table 1 || 252: 14462 9f087000
id 7, table 1 || 253: 14462 9f14b000
id 7, table 1 || 254: 14462 9f1c8000
id 7, table 1 || 255: 14462 719d5000
id 7, table 1 || 256: 14462 7ecdae5000
id 7, table 1 || 257: 14462 7ecdae6000
id 7, table 1 || 258: 14462 7e90a1d000
id 7, table 1 || 259: 14462 7e90a1e000
id 7, table 1 || 260: 14462 7e69afe000
id 7, table 1 || 261: 14462 7e69b00000
id 7, table 1 || 262: 14462 9fa5b000
id 7, table 1 || 263: 14462 9faae000
id 7, table 1 || 264: 14462 7f28b90000
id 7, table 1 || 265: 14462 7ecdaba000
id 7, table 1 || 266: 14462 7f28b8e000
id 7, table 1 || 267: 14462 9faaa000
id 7, table 1 || 268: 14462 9fa65000
id 7, table 1 || 269: 14462 7f28b94000
id 7, table 1 || 270: 14462 7f28a5a000
id 7, table 1 || 271: 14462 7fbb10b000
id 7, table 1 || 272: 14462 7f28a0f000
id 7, table 1 || 273: 14462 7ea74c7000
id 7, table 1 || 274: 14462 71938000
id 7, table 1 || 275: 14462 719c4000
id 7, table 1 || 276: 14462 7184f000
id 7, table 1 || 277: 14462 7180d000
id 7, table 1 || 278: 14462 7f28b8c000
id 7, table 1 || 279: 14462 7ecdaaa000
id 7, table 1 || 280: 14462 7f28b96000
id 7, table 1 || 281: 14462 7f28b9a000
id 7, table 1 || 282: 14462 717e9000
id 7, table 1 || 283: 14462 7ea745d000
id 7, table 1 || 284: 14462 7fbb108000
