"Binder:9261_2"    7134c000
".candycrushsaga"    7f28d71000
".candycrushsaga"    7fbe166000
".candycrushsaga"    71170000
".candycrushsaga"    7f28a17000
".candycrushsaga"    716f1000
".candycrushsaga"    7fbc505000
".candycrushsaga"    7ed2ca8000
".candycrushsaga"    7f28bfe000
".candycrushsaga"    7f29c6f000
".candycrushsaga"    7f20bdd000
".candycrushsaga"    7eb5c19000
".candycrushsaga"    7fbc354000
".candycrushsaga"    7fbc357000
".candycrushsaga"    71307000
".candycrushsaga"    7f20bc4000
".candycrushsaga"    7f20bc6000
".candycrushsaga"    7ed2caa000
".candycrushsaga"    7f3984e000
".candycrushsaga"    7ed2ca9000
".candycrushsaga"    7fbc356000
".candycrushsaga"    70ed0000
".candycrushsaga"    7f20bd1000
"pool-12-thread-"    70f24000
"pool-12-thread-"    7fbc4f6000
"pool-12-thread-"    7f233fd000
"pool-12-thread-"    7f233fe000
"pool-12-thread-"    7f28d4c000
"pool-12-thread-"    7130f000
".candycrushsaga"    7f20bc0000
".candycrushsaga"    7f20bde000
"pool-12-thread-"    7fbc504000
"pool-12-thread-"    7fbc549000
"pool-12-thread-"    7fbc503000
"pool-12-thread-"    7fbc54d000
"queued-work-loo"    7eaa50b000
"queued-work-loo"    7eb2c2f000
".candycrushsaga"    7f20a1b000
".candycrushsaga"    7f20a03000
".candycrushsaga"    7f20bcf000
".candycrushsaga"    7f20bd4000
".candycrushsaga"    7f20bdf000
".candycrushsaga"    7ec091b000
".candycrushsaga"    7ec090c000
".candycrushsaga"    7fbc345000
"GoogleApiHandle"    7f20bdb000
"GoogleApiHandle"    7f20bc1000
"GoogleApiHandle"    7f1f539000
"AsyncTask #4"    9ef78000
"pool-6-thread-1"    9ef7a000
"AsyncTask #4"    7f28fea000
"GLThread 407"    7ed0c8f000
"GLThread 407"    7ec0861000
"GLThread 407"    7e9ed05000
"GLThread 407"    7ed1a5c000
"AudioTrack"    7f39863000
"GLThread 407"    7e9ee01000
"GLThread 407"    7eb54f7000
"GLThread 407"    7f2d813000
"GLThread 407"    7f2d614000
"GLThread 407"    7f2d88c000
"GLThread 407"    7eb54f5000
"GLThread 407"    7eb54f2000
"GLThread 407"    7fb9eb5000
"GLThread 407"    7f2d886000
"GLThread 407"    7f2d836000
"AudioTrack"    7f2d89f000
"AudioTrack"    7f2d89d000
"AudioTrack"    7f2d86d000
"GLThread 407"    7f2d893000
"GLThread 407"    7f2d86b000
"GLThread 407"    7f2d856000
"GLThread 407"    7f2d857000
"GLThread 407"    7ed0aa4000
"GLThread 407"    7ed1ae1000
"AudioTrack"    7e4b4de000
"AudioTrack"    7e4b4df000
"GLThread 407"    7f2d896000
"GLThread 407"    7e9eea4000
"GLThread 407"    7f2d6c5000
"GLThread 407"    7f2d88e000
"GLThread 407"    7f2d88f000
"GLThread 407"    7eb5dd6000
"AudioTrack"    7e9eebb000
"AudioTrack"    7e9eebc000
"GLThread 407"    7eb550c000
"AudioTrack"    7e4b87a000
"AudioTrack"    7e4b87b000
"AudioTrack"    7f28fb0000
"GLThread 407"    7e9e43b000
"GLThread 407"    7ea1b57000
"GLThread 407"    7eb550d000
"GLThread 407"    7f2d87a000
"GLThread 407"    7ea1b59000
"AudioTrack"    7f2d861000
"GLThread 407"    7eb54fa000
"GLThread 407"    7ea1b16000
"AudioTrack"    7f2d888000
"AudioTrack"    7f2d897000
"AudioTrack"    7f2d880000
"AudioTrack"    7f2d898000
"GLThread 407"    7e9e77f000
"GLThread 407"    7f2d86e000
"GLThread 407"    7f2d87b000
"GLThread 407"    7e9e76d000
"AudioTrack"    7f2d895000
"AudioTrack"    7f2d83c000
"GLThread 407"    7e9e134000
"GLThread 407"    7e9e5bf000
"GLThread 407"    7e9e135000
"GLThread 407"    7e9ebc5000
"GLThread 407"    7ea15b9000
"AudioTrack"    7e9eb29000
"AudioTrack"    7fbe1d8000
"GLThread 407"    7e9ebe1000
"GLThread 407"    7e9ec0b000
"GLThread 407"    7e9e5c2000
"GLThread 407"    7e9e9a7000
"GLThread 407"    7e9e798000
"GLThread 407"    7e9e8f7000
"GLThread 407"    7e9f49e000
"GLThread 407"    7e9e137000
"GLThread 407"    7fbbb72000
".candycrushsaga"    712c8000
".candycrushsaga"    70f5b000
".candycrushsaga"    7f28afc000
"GLThread 407"    7ea19b1000
"GLThread 407"    7e9e7ee000
"GLThread 407"    7eb203e000
"GLThread 407"    7ea1add000
"GLThread 407"    7ea18f7000
"GLThread 407"    7ea1b6a000
"GLThread 407"    7ea1b6d000
"GLThread 407"    7ea18dc000
"GLThread 407"    7ea1c7f000
"GLThread 407"    7ea1b6e000
"GLThread 407"    7f2d68e000
"GLThread 407"    7ec589d000
"GLThread 407"    7ec5899000
"GLThread 407"    7ea18f0000
"GLThread 407"    7eb210b000
"GLThread 407"    7ec5821000
"GLThread 407"    7ea16ee000
"GLThread 407"    7eb22ca000
"GLThread 407"    7eb2df8000
"GLThread 407"    7ea1595000
"GLThread 407"    7ea16e4000
"GLThread 407"    7e9e04e000
"GLThread 407"    7e9e3bb000
"GLThread 407"    7e9e3c9000
"GLThread 407"    7e9e3ca000
"GLThread 407"    7ea1976000
"GLThread 407"    7e9e7aa000
"GLThread 407"    7e9e727000
"GLThread 407"    7e9e726000
"GLThread 407"    7e9e63b000
"GLThread 407"    7e9e60d000
"GLThread 407"    7e9e0cf000
"GLThread 407"    7e9e626000
"GLThread 407"    7ea1c02000
"GLThread 407"    7e9e6cc000
"GLThread 407"    7e9e84d000
"GLThread 407"    7ea1cc8000
"GLThread 407"    7e9e91a000
"GLThread 407"    7e9edd8000
"GLThread 407"    7e9e145000
"GLThread 407"    7eb5dfc000
"GLThread 407"    7ea165b000
"GLThread 407"    7eb2edc000
"GLThread 407"    7e9e5c7000
"GLThread 407"    7ec5870000
"GLThread 407"    7eb5dea000
"GLThread 407"    7e9e6c1000
"GLThread 407"    7ea18c6000
"GLThread 407"    7eb54f9000
"GLThread 407"    7ec58c0000
"GLThread 407"    7ec58b6000
"GLThread 407"    7e9ec7d000
"GLThread 407"    7e9ec7f000
"GLThread 407"    7f2d89a000
"GLThread 407"    7ea1aee000
"GLThread 407"    7ea1af3000
"GLThread 407"    7e9e7cb000
"GLThread 407"    7e9e620000
"GLThread 407"    7ea19ec000
"GLThread 407"    7ea19dc000
"GLThread 407"    7ea1a49000
"GLThread 407"    7ea1a65000
"GLThread 407"    7ea1a68000
"GLThread 407"    7ea1884000
"GLThread 407"    7ea1a88000
"GLThread 407"    7ea1a71000
"GLThread 407"    7ea1ab0000
"GLThread 407"    7ea19d1000
"GLThread 407"    7ea1b08000
"GLThread 407"    7ea1afd000
"GLThread 407"    7ea1b09000
"GLThread 407"    7ea1b1b000
"GLThread 407"    7ed0c8d000
"GLThread 407"    7e9e125000
"GLThread 407"    7e9e819000
"GLThread 407"    7e9e81f000
"GLThread 407"    7ed0cee000
"GLThread 407"    7ea1a0f000
"GLThread 407"    7ea1c81000
"GLThread 407"    7e9e811000
"GLThread 407"    7ea1ca8000
"Thread-5"    70ef8000
"GLThread 407"    7eb2f2d000
"GLThread 407"    7ed0d0e000
"GLThread 407"    7ed0d12000
"GLThread 407"    7e9e659000
"GLThread 407"    7eb237b000
"GLThread 407"    7eb29f9000
"GLThread 407"    7ed0cd9000
"GLThread 407"    7eb29f4000
"GLThread 407"    7eb2b2f000
"GLThread 407"    7eb2b31000
"GLThread 407"    7eb21a4000
"GLThread 407"    7eb29d6000
"GLThread 407"    7ed0c98000
"Thread-5"    7f28b9e000
"Thread-5"    7f28b9f000
"Thread-5"    7ed1a3b000
"Thread-5"    7e4b378000
"GLThread 407"    7eb2b05000
"GLThread 407"    7eb2afd000
"GLThread 407"    7eb5d87000
"GLThread 407"    7eb5dd4000
"GLThread 407"    7ed1115000
"pool-10-thread-"    7fbc547000
"pool-10-thread-"    7f28a21000
"GLThread 407"    7ec58bc000
"GLThread 407"    7ec58b5000
"GLThread 407"    7f28e6a000
"GLThread 407"    7f28e71000
"GLThread 407"    7e9ef76000
"GLThread 407"    7e9e4e6000
"GLThread 407"    7e9f119000
"GLThread 407"    7e9ee27000
"GLThread 407"    7e9f13a000
"GLThread 407"    7e9f13b000
"hwuiTask0"    7ec5bd7000
"hwuiTask0"    7ec5bd6000
"hwuiTask0"    7ec5bd4000
"hwuiTask0"    7ec0789000
"hwuiTask0"    7ec5bd5000
"hwuiTask0"    7f28f8c000
"hwuiTask0"    7f28f8d000
"hwuiTask0"    7ec078b000
"hwuiTask0"    7f289d8000
"hwuiTask0"    7f28e70000
"hwuiTask0"    7f28bcc000
"hwuiTask0"    7f28e25000
"GLThread 407"    7e9ea24000
"GLThread 407"    7ec58b7000
"GLThread 407"    7e9f126000
"GLThread 407"    7ec5908000
"GLThread 407"    7e9e780000
"GLThread 407"    7e9f0d7000
"GLThread 407"    7e9eb7d000
"GLThread 407"    7e9e6bf000
"GLThread 407"    7e9e698000
"RenderThread"    7f28b2d000
"RenderThread"    7ec7cd1000
".candycrushsaga"    7f1f534000
".candycrushsaga"    7fbe1eb000
".candycrushsaga"    7fbb36a000
".candycrushsaga"    7fbb36b000
".candycrushsaga"    7ed0011000
".candycrushsaga"    7ec091f000
"GLThread 407"    7e9ee26000
"GLThread 407"    7e9e0b2000
"GLThread 407"    7eb2d48000
"GLThread 407"    7eb2d49000
"GLThread 407"    7eb2d4d000
".candycrushsaga"    7fbb371000
"GLThread 407"    7fbc50a000
