[13805.138366] healthd: battery l=100 v=4392 t=32.2 h=2 st=5 c=-149 fc=2889000 cc=7 chg=u
[13805.265443] sm8150_bms: MSC_PCS chg_state=1f4113003010015 [0x15:3:1:4400:500] chg=u
[13805.271933] google_charger: usbchg=USB typec=C usbv=4883 usbc=488 usbMv=5000 usbMc=500
[13805.272034] sm8150_bms: MSC_PCS chg_state=1f4113003010015 [0x15:3:1:4400:500] chg=u
[13805.272050] google_battery: MSC_DIN chg_state=1f4113003010015 f=0x15 chg_s=Charging chg_t=Fast vchg=4400 icl=500
[13805.275736] healthd: battery l=100 v=4392 t=32.2 h=2 st=5 c=-149 fc=2889000 cc=7 chg=u
[13805.283889] google_battery: MSC_LAST vbatt=4392031 ibatt=-149687 fv_uv=4400000
[13805.283900] google_battery: MSC_LOGIC cv_cnt=0 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[13805.283904] google_battery: MSC_VOTE fv_uv=4400000 cc_max=1400000 update_interval=30000
[13805.283939] google_charger: MSC_CHG fv_uv=4400000, cc_max=1400000, rerun in 30000 ms (0)
[13805.289128] before: swapin tgid 16093 pid 16609 name "Binder:16093_6" vma 7eaec8e000
[13805.289208] before: swapin tgid 16093 pid 16609 name "Binder:16093_6" vma 70270000
[13805.290901] before: swapin tgid 16093 pid 16702 name "Binder:16093_7" vma 7e6b8c8000
[13805.290950] before: swapin tgid 16093 pid 16702 name "Binder:16093_7" vma 7e6f4fd000
[13805.290979] before: swapin tgid 16093 pid 16702 name "Binder:16093_7" vma 7e7ef89000
[13805.291011] before: swapin tgid 16093 pid 16702 name "Binder:16093_7" vma 15d51000
[13805.291037] before: swapin tgid 16093 pid 16702 name "Binder:16093_7" vma 13e8c000
[13805.291221] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 6fc34000
[13805.291296] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 7033b000
[13805.291351] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 7fbf700000
[13805.291383] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 7f2dcf0000
[13805.291439] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 13e91000
