12c00000-13fc0000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
13fc0000-163c0000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
163c0000-16740000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
16740000-19080000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
19080000-52c00000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
6f82c000-6fab3000 rw-p 00000000 fd:00 1369                               /system/framework/arm64/boot.art
6fab3000-6fba2000 rw-p 00000000 fd:00 1348                               /system/framework/arm64/boot-core-libart.art
6fba2000-6fbd8000 rw-p 00000000 fd:00 1360                               /system/framework/arm64/boot-okhttp.art
6fbd8000-6fc19000 rw-p 00000000 fd:00 1345                               /system/framework/arm64/boot-bouncycastle.art
6fc19000-6fc29000 rw-p 00000000 fd:00 1342                               /system/framework/arm64/boot-apache-xml.art
6fc29000-704e9000 rw-p 00000000 fd:00 1354                               /system/framework/arm64/boot-framework.art
704e9000-7051c000 rw-p 00000000 fd:00 1351                               /system/framework/arm64/boot-ext.art
7051c000-70613000 rw-p 00000000 fd:00 1363                               /system/framework/arm64/boot-telephony-common.art
70613000-70621000 rw-p 00000000 fd:00 1366                               /system/framework/arm64/boot-voip-common.art
70621000-70636000 rw-p 00000000 fd:00 1357                               /system/framework/arm64/boot-ims-common.art
70636000-70639000 rw-p 00000000 fd:00 1339                               /system/framework/arm64/boot-android.test.base.art
70639000-706f2000 r--p 00000000 fd:00 1370                               /system/framework/arm64/boot.oat
706f2000-70988000 r-xp 000b9000 fd:00 1370                               /system/framework/arm64/boot.oat
70988000-70989000 rw-p 00000000 00:00 0                                  [anon:.bss]
70989000-7098b000 r--s 00000000 fd:00 1383                               /system/framework/boot.vdex
7098b000-7098c000 r--p 0034f000 fd:00 1370                               /system/framework/arm64/boot.oat
7098c000-7098d000 rw-p 00350000 fd:00 1370                               /system/framework/arm64/boot.oat
7098d000-709d6000 r--p 00000000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
709d6000-70adb000 r-xp 00049000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
70adb000-70adc000 rw-p 00000000 00:00 0                                  [anon:.bss]
70adc000-70add000 r--s 00000000 fd:00 1376                               /system/framework/boot-core-libart.vdex
70add000-70ade000 r--p 0014e000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
70ade000-70adf000 rw-p 0014f000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
70adf000-70aee000 r--p 00000000 fd:00 1361                               /system/framework/arm64/boot-okhttp.oat
70aee000-70b1b000 r-xp 0000f000 fd:00 1361                               /system/framework/arm64/boot-okhttp.oat
70b1b000-70b1c000 rw-p 00000000 00:00 0                                  [anon:.bss]
70b1c000-70b1d000 r--s 00000000 fd:00 1380                               /system/framework/boot-okhttp.vdex
70b1d000-70b1e000 r--p 0003c000 fd:00 1361                               /system/framework/arm64/boot-okhttp.oat
70b1e000-70b1f000 rw-p 0003d000 fd:00 1361                               /system/framework/arm64/boot-okhttp.oat
70b1f000-70b2c000 r--p 00000000 fd:00 1346                               /system/framework/arm64/boot-bouncycastle.oat
70b2c000-70b43000 r-xp 0000d000 fd:00 1346                               /system/framework/arm64/boot-bouncycastle.oat
70b43000-70b44000 rw-p 00000000 00:00 0                                  [anon:.bss]
70b44000-70b45000 r--s 00000000 fd:00 1375                               /system/framework/boot-bouncycastle.vdex
70b45000-70b46000 r--p 00024000 fd:00 1346                               /system/framework/arm64/boot-bouncycastle.oat
70b46000-70b47000 rw-p 00025000 fd:00 1346                               /system/framework/arm64/boot-bouncycastle.oat
70b47000-70b4c000 r--p 00000000 fd:00 1343                               /system/framework/arm64/boot-apache-xml.oat
70b4c000-70b4d000 r--s 00000000 fd:00 1374                               /system/framework/boot-apache-xml.vdex
70b4d000-70b4e000 r--p 00005000 fd:00 1343                               /system/framework/arm64/boot-apache-xml.oat
70b4e000-70b4f000 rw-p 00006000 fd:00 1343                               /system/framework/arm64/boot-apache-xml.oat
70b4f000-70dd7000 r--p 00000000 fd:00 1355                               /system/framework/arm64/boot-framework.oat
70dd7000-716e4000 r-xp 00288000 fd:00 1355                               /system/framework/arm64/boot-framework.oat
716e4000-716e7000 rw-p 00000000 00:00 0                                  [anon:.bss]
716e7000-716f0000 r--s 00000000 fd:00 1378                               /system/framework/boot-framework.vdex
716f0000-716f1000 r--p 00b95000 fd:00 1355                               /system/framework/arm64/boot-framework.oat
716f1000-716f2000 rw-p 00b96000 fd:00 1355                               /system/framework/arm64/boot-framework.oat
716f2000-716fb000 r--p 00000000 fd:00 1352                               /system/framework/arm64/boot-ext.oat
716fb000-71712000 r-xp 00009000 fd:00 1352                               /system/framework/arm64/boot-ext.oat
71712000-71713000 rw-p 00000000 00:00 0                                  [anon:.bss]
71713000-71714000 r--s 00000000 fd:00 1377                               /system/framework/boot-ext.vdex
71714000-71715000 r--p 00020000 fd:00 1352                               /system/framework/arm64/boot-ext.oat
71715000-71716000 rw-p 00021000 fd:00 1352                               /system/framework/arm64/boot-ext.oat
71716000-71779000 r--p 00000000 fd:00 1364                               /system/framework/arm64/boot-telephony-common.oat
71779000-718d7000 r-xp 00063000 fd:00 1364                               /system/framework/arm64/boot-telephony-common.oat
718d7000-718d8000 rw-p 00000000 00:00 0                                  [anon:.bss]
718d8000-718d9000 r--s 00000000 fd:00 1381                               /system/framework/boot-telephony-common.vdex
718d9000-718da000 r--p 001c1000 fd:00 1364                               /system/framework/arm64/boot-telephony-common.oat
718da000-718db000 rw-p 001c2000 fd:00 1364                               /system/framework/arm64/boot-telephony-common.oat
718db000-718dd000 r--p 00000000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
718dd000-718de000 r-xp 00002000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
718de000-718df000 rw-p 00000000 00:00 0                                  [anon:.bss]
718df000-718e0000 r--s 00000000 fd:00 1382                               /system/framework/boot-voip-common.vdex
718e0000-718e1000 r--p 00003000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
718e1000-718e2000 rw-p 00004000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
