"LacrimaBroadcas"    7e6d090000
"Binder:16360_3"    7e581ed000
"Binder:16360_3"    7e7e47c000
"Binder:16360_3"    7131d000
"Binder:16360_3"    71061000
"Binder:16360_3"    7e7e3e5000
"Binder:16360_3"    7e7dbf1000
"Binder:16360_3"    7134b000
"Binder:16360_6"    7ebc01b000
"Binder:16360_6"    7ebc01c000
"Binder:16360_6"    7f28d00000
"Binder:16360_6"    7f28f78000
"Binder:16360_6"    7f28d79000
"Binder:16360_6"    7e7e3df000
"Binder:16360_6"    7f28d7a000
"Binder:16360_6"    7ebc01a000
"Binder:16360_6"    7e7d3a4000
"Binder:16360_6"    7e6c8f9000
"Binder:16360_6"    7e7d51e000
"Binder:16360_6"    70d60000
"Binder:16360_6"    7ebb622000
"Binder:16360_6"    7ebb672000
"stagram.android"    70ce1000
"stagram.android"    713e8000
"stagram.android"    713e1000
"stagram.android"    164a7000
"stagram.android"    713da000
"stagram.android"    7f28d8d000
"stagram.android"    7fbf700000
"stagram.android"    7fbe166000
"stagram.android"    7f28e53000
"stagram.android"    70cf9000
"stagram.android"    7e7e3d3000
"stagram.android"    7fba13e000
"stagram.android"    7fba13c000
"RenderThread"    7e5fb9a000
"Binder:16360_6"    7ebb8b2000
"Binder:16360_6"    1644e000
"Binder:16360_6"    12f6d000
"Binder:16360_6"    7146f000
"Binder:16360_6"    7e6ca59000
"Binder:16360_6"    70d7f000
"Binder:16360_6"    70db3000
"Binder:16360_6"    714a3000
"Binder:16360_6"    71239000
"Binder:16360_6"    7129c000
"stagram.android"    16424000
"stagram.android"    70ddc000
"stagram.android"    71483000
"stagram.android"    711c1000
"stagram.android"    7e6ccad000
"stagram.android"    7e6ccae000
"stagram.android"    7e9b518000
"stagram.android"    713e7000
"stagram.android"    70d70000
"stagram.android"    713e6000
"stagram.android"    70cff000
"stagram.android"    7125a000
"stagram.android"    12f70000
"stagram.android"    72b1d000
"stagram.android"    70cfe000
"stagram.android"    71205000
"stagram.android"    7125c000
"stagram.android"    14380000
"stagram.android"    70cf7000
"stagram.android"    70cf8000
"stagram.android"    70cd8000
"stagram.android"    71258000
"stagram.android"    70cd9000
"stagram.android"    70cec000
"stagram.android"    142ec000
"stagram.android"    9eae8000
"stagram.android"    9eae9000
"stagram.android"    142ed000
"stagram.android"    9eb41000
"stagram.android"    9eb42000
"stagram.android"    9ea22000
"stagram.android"    14318000
"stagram.android"    9ea8a000
"stagram.android"    9ea8b000
"stagram.android"    14319000
"stagram.android"    9e9c7000
"stagram.android"    9e9c8000
"stagram.android"    9eadd000
"stagram.android"    1431a000
"stagram.android"    14331000
"stagram.android"    12f6a000
"stagram.android"    143ae000
"stagram.android"    12f69000
"stagram.android"    9e9dc000
"stagram.android"    9e9dd000
"stagram.android"    14930000
"stagram.android"    12f7e000
"stagram.android"    9ea24000
"stagram.android"    9ea30000
"stagram.android"    9ea31000
"stagram.android"    12f7f000
"stagram.android"    14007000
"stagram.android"    14008000
"stagram.android"    9e9d8000
"stagram.android"    1400d000
"stagram.android"    9eae2000
"stagram.android"    9eae3000
"stagram.android"    9ea5f000
"stagram.android"    14009000
"stagram.android"    1400c000
"stagram.android"    1400b000
"stagram.android"    9ea38000
"stagram.android"    9ea39000
"stagram.android"    9eaa0000
"stagram.android"    9eaa1000
"stagram.android"    12f80000
"stagram.android"    70cf0000
"stagram.android"    9eaf2000
"stagram.android"    13fdd000
"stagram.android"    13fde000
"stagram.android"    14001000
"stagram.android"    13fdf000
"stagram.android"    9eb13000
"stagram.android"    9eb14000
"stagram.android"    14002000
"stagram.android"    13ffc000
"stagram.android"    13ffd000
"stagram.android"    9e9f4000
"stagram.android"    9e9f5000
"stagram.android"    13ffa000
"stagram.android"    13ffb000
"stagram.android"    13fe0000
"stagram.android"    13ff9000
"stagram.android"    13ff8000
"stagram.android"    9ea95000
"stagram.android"    9ea96000
"stagram.android"    14003000
"stagram.android"    9ea76000
"stagram.android"    9ea77000
"stagram.android"    9ea4d000
"stagram.android"    9ea4e000
"stagram.android"    13fc6000
"stagram.android"    9ea74000
"stagram.android"    13fc7000
"stagram.android"    9ea68000
"stagram.android"    9ea69000
"stagram.android"    9e9eb000
"stagram.android"    9e9ec000
"stagram.android"    13fdb000
"stagram.android"    9ea54000
"stagram.android"    9ea55000
"stagram.android"    70cf2000
"stagram.android"    13fc8000
"stagram.android"    9ea04000
"stagram.android"    9eb4a000
"stagram.android"    13fd7000
"stagram.android"    70d01000
"stagram.android"    13fc9000
"stagram.android"    13fcf000
"stagram.android"    13fce000
"stagram.android"    9ea6b000
"stagram.android"    9ea35000
"stagram.android"    9ea36000
"stagram.android"    9eb1d000
"stagram.android"    13fcc000
"stagram.android"    13fca000
"stagram.android"    9eb48000
"stagram.android"    13fd9000
"stagram.android"    13fd8000
"stagram.android"    13fda000
"stagram.android"    13fcb000
"stagram.android"    13fb9000
"stagram.android"    13fba000
"stagram.android"    13fc5000
"stagram.android"    13fbd000
"stagram.android"    70ce2000
"stagram.android"    13fb2000
"stagram.android"    9ea47000
"stagram.android"    13fb4000
"stagram.android"    9e9c0000
"stagram.android"    9e9c1000
"stagram.android"    12f81000
"stagram.android"    13faf000
"stagram.android"    13fb0000
"stagram.android"    13fb1000
"stagram.android"    9eb2b000
"stagram.android"    9eb2c000
"stagram.android"    13fac000
"stagram.android"    9e9f0000
"stagram.android"    13fa5000
"stagram.android"    13fa6000
"stagram.android"    13fab000
"stagram.android"    13fa8000
"stagram.android"    13fa9000
"stagram.android"    13fa7000
"stagram.android"    13fa4000
"stagram.android"    12f82000
"stagram.android"    12f83000
"stagram.android"    13e45000
"stagram.android"    13e46000
"stagram.android"    13f8f000
"stagram.android"    13f90000
"stagram.android"    13f96000
"stagram.android"    13e47000
"stagram.android"    13f8d000
"stagram.android"    13e4b000
"stagram.android"    13f8b000
"stagram.android"    13e48000
"stagram.android"    13f94000
"stagram.android"    13f93000
"stagram.android"    13f95000
"stagram.android"    13e49000
"stagram.android"    12f84000
"stagram.android"    13e43000
"stagram.android"    12f96000
"stagram.android"    13e3d000
"stagram.android"    13e1c000
"stagram.android"    13e3e000
"stagram.android"    13e1d000
"stagram.android"    13e3c000
"stagram.android"    13e3a000
"stagram.android"    13e38000
"stagram.android"    13e37000
"stagram.android"    13e1e000
"stagram.android"    13e35000
"stagram.android"    13e33000
"stagram.android"    13e3f000
"stagram.android"    13e36000
"stagram.android"    12f94000
"stagram.android"    9ea90000
"stagram.android"    9ea91000
"stagram.android"    12f93000
"stagram.android"    12f8f000
"stagram.android"    12f90000
"stagram.android"    12f92000
"stagram.android"    12f91000
"stagram.android"    13e44000
"stagram.android"    14729000
"stagram.android"    9ea40000
"stagram.android"    9ea41000
"stagram.android"    14931000
"stagram.android"    1472a000
"stagram.android"    9ea28000
"stagram.android"    9ea29000
"stagram.android"    14920000
"stagram.android"    14921000
"stagram.android"    9eb32000
"stagram.android"    9eb33000
"stagram.android"    14378000
"stagram.android"    14379000
"stagram.android"    9e9d2000
"stagram.android"    9e9d3000
"stagram.android"    143a7000
"stagram.android"    14386000
"stagram.android"    9ea99000
"stagram.android"    9ea9a000
"stagram.android"    1438f000
"stagram.android"    14387000
"stagram.android"    70ce4000
"stagram.android"    70ce5000
"stagram.android"    9eb11000
"stagram.android"    9eb12000
"stagram.android"    143aa000
"stagram.android"    14396000
"stagram.android"    14397000
"stagram.android"    143a8000
"stagram.android"    143ac000
"stagram.android"    1439a000
"stagram.android"    14399000
"stagram.android"    143a5000
"stagram.android"    1439b000
"stagram.android"    14332000
"stagram.android"    14333000
"stagram.android"    14373000
"stagram.android"    14374000
"stagram.android"    14375000
"stagram.android"    14376000
"stagram.android"    14372000
"stagram.android"    14334000
"stagram.android"    14336000
"stagram.android"    14337000
"stagram.android"    1433f000
"stagram.android"    14340000
"stagram.android"    9eb3f000
"stagram.android"    14335000
"stagram.android"    9eac2000
"stagram.android"    1431c000
"stagram.android"    9eab0000
"stagram.android"    1432b000
"stagram.android"    1432c000
"stagram.android"    1432a000
"stagram.android"    14330000
"stagram.android"    1432f000
"stagram.android"    9ea9e000
"stagram.android"    9ea9f000
"stagram.android"    1431d000
"stagram.android"    14324000
"stagram.android"    14323000
"stagram.android"    14327000
"stagram.android"    14325000
"stagram.android"    9eaef000
"stagram.android"    9eaf0000
"stagram.android"    9eac5000
"stagram.android"    9eac6000
"stagram.android"    9e9c5000
"stagram.android"    9e9c6000
"stagram.android"    1431e000
"stagram.android"    1431f000
"stagram.android"    14322000
"stagram.android"    1431b000
"stagram.android"    14381000
"stagram.android"    71257000
"stagram.android"    70ced000
"stagram.android"    9ea21000
"stagram.android"    9ea23000
"stagram.android"    9ea8c000
"stagram.android"    9e9c9000
"stagram.android"    9eade000
"stagram.android"    9ea25000
"stagram.android"    9ea32000
"stagram.android"    9e9d9000
"stagram.android"    9ea5e000
"stagram.android"    1400a000
"stagram.android"    70cef000
"stagram.android"    9eaf3000
"stagram.android"    9ea4f000
"stagram.android"    9ea73000
"stagram.android"    9ea05000
"stagram.android"    9eb4b000
"stagram.android"    9ea6c000
"stagram.android"    13fad000
"stagram.android"    71439000
"stagram.android"    70f2d000
"stagram.android"    71567000
"stagram.android"    71562000
"stagram.android"    7156c000
"stagram.android"    9ea42000
"stagram.android"    9e9d4000
"stagram.android"    9ea9b000
"stagram.android"    9eb40000
"stagram.android"    9eac1000
"RenderThread"    7e5fb9b000
"RenderThread"    7e7e5a9000
"RenderThread"    7fbb121000
"RenderThread"    7ebb690000
"RenderThread"    7e5fb9e000
"RenderThread"    7f2d69b000
"RenderThread"    7e7d788000
"RenderThread"    7fba14d000
"RenderThread"    7e6ce3c000
"RenderThread"    7e7d7ba000
"RenderThread"    7e7d9af000
"RenderThread"    7fba156000
"RenderThread"    7e7d9c9000
"RenderThread"    7fba151000
"RenderThread"    7e7d9fb000
"RenderThread"    7e6ce2d000
"RenderThread"    7e7d9f2000
"RenderThread"    7f28d22000
"RenderThread"    7f2d635000
"RenderThread"    7e7e603000
"RenderThread"    7eb5cee000
"RenderThread"    7e682c5000
"RenderThread"    7fba161000
"RenderThread"    7fba152000
"RenderThread"    7e7d9d9000
"RenderThread"    7fbb978000
"RenderThread"    7f1f87e000
"RenderThread"    7f1f87a000
"RenderThread"    7e7d7ec000
"RenderThread"    7e7d7fa000
"RenderThread"    7eb5d63000
"RenderThread"    7e7d827000
"RenderThread"    7eb5c7b000
"RenderThread"    7e7d82b000
"RenderThread"    7e7d7f6000
"RenderThread"    7e7d7f7000
"RenderThread"    7e7d9b5000
"RenderThread"    7f1f879000
"RenderThread"    7e57c39000
"RenderThread"    7e6071c000
"RenderThread"    7ead387000
"RenderThread"    7e60343000
"RenderThread"    7e7d8de000
"RenderThread"    7e57c38000
"RenderThread"    7f2d6c3000
"RenderThread"    7e7d76c000
"RenderThread"    7f398b7000
"RenderThread"    7e5fedb000
"RenderThread"    7e7d776000
"RenderThread"    7e68188000
"RenderThread"    7e7d7a4000
"RenderThread"    7e7d78a000
"RenderThread"    7eb5bc0000
"RenderThread"    7e7d78b000
"RenderThread"    7e7d7a1000
"RenderThread"    7e7d775000
"RenderThread"    7fba15c000
"RenderThread"    7e7d829000
"RenderThread"    7e57c37000
"RenderThread"    7e7d7f1000
"RenderThread"    7eb5b43000
"RenderThread"    7e7d89f000
"RenderThread"    7e5fedd000
"RenderThread"    7e6d07b000
"RenderThread"    7e605cc000
"RenderThread"    7eb5cf1000
"RenderThread"    7e6cc82000
"RenderThread"    7e7d161000
"RenderThread"    7e602e7000
"RenderThread"    7e7d857000
"RenderThread"    7e602e5000
"RenderThread"    7e7d8e3000
"RenderThread"    7e7d774000
"RenderThread"    7f2d60c000
"RenderThread"    7e6cefa000
"RenderThread"    7f2d774000
"RenderThread"    7eb5b32000
"RenderThread"    7e6cda2000
"RenderThread"    7e68140000
"RenderThread"    7f2d817000
"RenderThread"    7eb5b9c000
"RenderThread"    7f2d704000
"RenderThread"    7e6cf0a000
"RenderThread"    7e7d7b2000
"RenderThread"    7e7d703000
"RenderThread"    7e682b5000
"RenderThread"    7e6ce4b000
"RenderThread"    7f2d874000
"RenderThread"    7f2d825000
"RenderThread"    7e7d2ac000
"RenderThread"    7e68038000
"RenderThread"    7e6c904000
"RenderThread"    7e6827e000
"RenderThread"    7f2d819000
"RenderThread"    7e7d636000
"RenderThread"    7ead0ee000
"RenderThread"    7e7d68a000
"RenderThread"    7e682e1000
"RenderThread"    7e7d7a0000
"RenderThread"    7f39893000
"RenderThread"    7f39856000
"RenderThread"    7e7d7bd000
"RenderThread"    7ead16d000
"RenderThread"    7e6ce5e000
"RenderThread"    7eb5d08000
"RenderThread"    7e9b63e000
"RenderThread"    7eb5c48000
"RenderThread"    7eb5bd8000
"RenderThread"    7f28d13000
"RenderThread"    7f208d3000
"RenderThread"    7f208d4000
"RenderThread"    7f208d2000
"RenderThread"    7ead383000
"RenderThread"    7e7e7a1000
"RenderThread"    7e7d68b000
"RenderThread"    7e6cef8000
"RenderThread"    7eb5d0c000
"RenderThread"    7e7d40a000
"RenderThread"    7e9b87f000
"RenderThread"    7f39863000
"RenderThread"    7f2d7d6000
"RenderThread"    7e7d82a000
"RenderThread"    7e67f20000
"RenderThread"    7e6061c000
"RenderThread"    7e6cce4000
"RenderThread"    7eb5b30000
"RenderThread"    7e7d8c3000
"RenderThread"    7f3983d000
"RenderThread"    7eb5b17000
"RenderThread"    7e9b8a2000
"RenderThread"    7e5fede000
"RenderThread"    7eb5b19000
"RenderThread"    7eb5b18000
"RenderThread"    7f2d68f000
"RenderThread"    7e6cb09000
"RenderThread"    7e7d789000
"RenderThread"    7e58231000
"RenderThread"    7e7dac1000
"RenderThread"    7e6c7d3000
"RenderThread"    7e6cd82000
"RenderThread"    7eb5cef000
"RenderThread"    7e5fe93000
"RenderThread"    7eb5d05000
"RenderThread"    7e7d828000
"RenderThread"    7eb5c2d000
"RenderThread"    7e7d7f9000
"RenderThread"    7e7d9cc000
"RenderThread"    7f28aca000
"RenderThread"    7fbe2fd000
"RenderThread"    7e6d07d000
"RenderThread"    7e5fedf000
"RenderThread"    7e6cf4d000
"RenderThread"    7e67fdf000
"RenderThread"    7f398a3000
"RenderThread"    7e5fee1000
"RenderThread"    7e7d7ad000
"RenderThread"    7eb5cf2000
"RenderThread"    7e67fe0000
"RenderThread"    7eb5c6f000
"RenderThread"    7eb5c78000
"RenderThread"    7e7d772000
"RenderThread"    7e5fde4000
"RenderThread"    7eb5b83000
"RenderThread"    7eb5b3d000
"RenderThread"    7e6cecb000
"RenderThread"    7e7d8d5000
"RenderThread"    7e6cf4b000
"RenderThread"    7e67fe1000
"RenderThread"    7fba150000
"RenderThread"    7e7d803000
"RenderThread"    7e7d147000
"RenderThread"    7e5ffaa000
"RenderThread"    7ead389000
"RenderThread"    7e7d9c8000
"RenderThread"    7e7d770000
"RenderThread"    7f1f876000
"RenderThread"    7e7d773000
"RenderThread"    7e7dafd000
"RenderThread"    7e6cb2e000
"RenderThread"    7e6c7ab000
"RenderThread"    7eb5cf0000
"RenderThread"    7e6ce4a000
"stagram.android"    7fbd5a0000
"stagram.android"    7fba13d000
"RenderThread"    7fbe1c7000
"stagram.android"    71274000
"stagram.android"    71452000
"stagram.android"    142eb000
"stagram.android"    7136b000
"stagram.android"    714e3000
"stagram.android"    7e7d3cb000
"stagram.android"    7e7d2cc000
"stagram.android"    70e19000
"stagram.android"    70d39000
"stagram.android"    70914000
"stagram.android"    70937000
"stagram.android"    729c0000
"stagram.android"    72ab6000
"stagram.android"    70d80000
"stagram.android"    7127b000
"stagram.android"    72b32000
"stagram.android"    713fd000
"stagram.android"    70dcf000
"stagram.android"    7147d000
"stagram.android"    711a5000
"stagram.android"    7140b000
"stagram.android"    72b23000
"stagram.android"    70d8b000
"stagram.android"    70d04000
"stagram.android"    7136d000
"stagram.android"    71422000
"stagram.android"    71293000
"stagram.android"    713ac000
"stagram.android"    71305000
"stagram.android"    9eacc000
"stagram.android"    7141c000
"stagram.android"    71327000
"stagram.android"    9ea2f000
"stagram.android"    7116e000
"stagram.android"    71250000
"stagram.android"    7141b000
"RenderThread"    7f2d850000
"stagram.android"    7141a000
"stagram.android"    7f3987d000
"stagram.android"    7e7d433000
"stagram.android"    7e7d434000
"stagram.android"    14382000
"stagram.android"    7e9b67f000
"stagram.android"    7e9b527000
"stagram.android"    7e9b6f0000
"stagram.android"    9ebe4000
"stagram.android"    9f1fd000
"stagram.android"    71549000
"stagram.android"    9f120000
"stagram.android"    9eb39000
"stagram.android"    9e9db000
