[ 1853.884562] google_charger: usbchg=USB typec=C usbv=4959 usbc=237 usbMv=5000 usbMc=500
[ 1853.884709] sm8150_bms: MSC_PCS chg_state=1f410f504030009 [0x9:4:3:4341:500] chg=u
[ 1853.884736] google_battery: MSC_DIN chg_state=1f410f504030009 f=0x9 chg_s=Not Charging chg_t=Taper vchg=4341 icl=500
[ 1853.889602] google_battery: MSC_LAST vbatt=4346718 ibatt=-136562 fv_uv=4400000
[ 1853.889628] google_battery: MSC_LOGIC cv_cnt=2 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[ 1853.889638] google_battery: MSC_VOTE fv_uv=4400000 cc_max=0 update_interval=-1
[ 1853.889787] google_charger: MSC_CHG fv_uv=4400000, cc_max=0, rerun in 2000 ms (0)
[ 1855.893297] google_charger: usbchg=USB typec=C usbv=4961 usbc=217 usbMv=5000 usbMc=500
[ 1855.893431] sm8150_bms: MSC_PCS chg_state=1f410f504030009 [0x9:4:3:4341:500] chg=u
[ 1855.893457] google_battery: MSC_DIN chg_state=1f410f504030009 f=0x9 chg_s=Not Charging chg_t=Taper vchg=4341 icl=500
[ 1855.898002] google_battery: MSC_LAST vbatt=4346718 ibatt=-136562 fv_uv=4400000
[ 1855.898026] google_battery: MSC_LOGIC cv_cnt=2 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[ 1855.898036] google_battery: MSC_VOTE fv_uv=4400000 cc_max=0 update_interval=-1
[ 1855.898093] google_charger: MSC_CHG fv_uv=4400000, cc_max=0, rerun in 2000 ms (0)
[ 1857.902229] google_charger: usbchg=USB typec=C usbv=4957 usbc=242 usbMv=5000 usbMc=500
[ 1857.902374] sm8150_bms: MSC_PCS chg_state=1f410ef04030009 [0x9:4:3:4335:500] chg=u
[ 1857.902401] google_battery: MSC_DIN chg_state=1f410ef04030009 f=0x9 chg_s=Not Charging chg_t=Taper vchg=4335 icl=500
[ 1857.907114] google_battery: MSC_LAST vbatt=4346718 ibatt=-136562 fv_uv=4400000
[ 1857.907140] google_battery: MSC_LOGIC cv_cnt=2 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[ 1857.907150] google_battery: MSC_VOTE fv_uv=4400000 cc_max=0 update_interval=-1
[ 1857.907214] google_charger: MSC_CHG fv_uv=4400000, cc_max=0, rerun in 2000 ms (0)
[ 1859.910865] google_charger: usbchg=USB typec=C usbv=4965 usbc=232 usbMv=5000 usbMc=500
[ 1859.911007] sm8150_bms: MSC_PCS chg_state=1f410f104030009 [0x9:4:3:4337:500] chg=u
[ 1859.911034] google_battery: MSC_DIN chg_state=1f410f104030009 f=0x9 chg_s=Not Charging chg_t=Taper vchg=4337 icl=500
[ 1859.915439] google_battery: MSC_LAST vbatt=4332812 ibatt=-937 fv_uv=4400000
[ 1859.915463] google_battery: MSC_LOGIC cv_cnt=2 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[ 1859.915474] google_battery: MSC_VOTE fv_uv=4400000 cc_max=0 update_interval=-1
[ 1859.915536] google_charger: MSC_CHG fv_uv=4400000, cc_max=0, rerun in 2000 ms (0)
[ 1861.919351] google_charger: usbchg=USB typec=C usbv=4962 usbc=285 usbMv=5000 usbMc=500
[ 1861.919488] sm8150_bms: MSC_PCS chg_state=1f410ef04030009 [0x9:4:3:4335:500] chg=u
[ 1861.919516] google_battery: MSC_DIN chg_state=1f410ef04030009 f=0x9 chg_s=Not Charging chg_t=Taper vchg=4335 icl=500
[ 1861.923817] google_battery: MSC_LAST vbatt=4332812 ibatt=-937 fv_uv=4400000
[ 1861.923842] google_battery: MSC_LOGIC cv_cnt=2 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[ 1861.923852] google_battery: MSC_VOTE fv_uv=4400000 cc_max=0 update_interval=-1
[ 1861.923914] google_charger: MSC_CHG fv_uv=4400000, cc_max=0, rerun in 2000 ms (0)
[ 1863.100438] before: swapin tgid 16360 pid 16360 name "main" vma 7fbe1fb000
[ 1863.100444] before: swapin tgid 16360 pid 16360 name "main" vma 7fbe342000
[ 1863.100446] before: swapin tgid 16360 pid 16360 name "main" vma 7fbe1d4000
[ 1863.100465] before: swapin tgid 16360 pid 16360 name "main" vma 7fbe346000
[ 1863.100518] before: swapin tgid 16360 pid 16360 name "main" vma 7fbd01b000
[ 1863.100527] before: swapin tgid 16360 pid 16360 name "main" vma 7fbd018000
[ 1863.100570] before: swapin tgid 16360 pid 16360 name "main" vma 7f28b24000
[ 1863.100572] before: swapin tgid 16360 pid 16360 name "main" vma 7f28ac0000
[ 1863.100575] before: swapin tgid 16360 pid 16360 name "main" vma 7f28b39000
[ 1863.100576] before: swapin tgid 16360 pid 16360 name "main" vma 7fbe1ca000
[ 1863.100579] before: swapin tgid 16360 pid 16360 name "main" vma 7f28a22000
[ 1863.100584] before: swapin tgid 16360 pid 16360 name "main" vma 7f28ac1000
[ 1863.100591] before: swapin tgid 16360 pid 16360 name "main" vma 7fffffa000
[ 1863.101465] before: swapin tgid 16360 pid 16360 name "main" vma 7fbf5e4000
[ 1863.101727] before: swapin tgid 16360 pid 16360 name "stagram.androi" vma 7fbda3c000
[ 1863.101824] before: swapin tgid 16360 pid 16360 name "stagram.androi" vma 7fbe260000
[ 1863.102011] before: swapin tgid 16360 pid 16360 name "stagram.androi" vma 7fbe176000
[ 1863.102017] before: swapin tgid 16360 pid 16360 name "stagram.androi" vma 7fffff9000
[ 1863.102045] before: swapin tgid 16360 pid 16360 name "stagram.androi" vma 7fbe180000
[ 1863.102078] before: swapin tgid 16360 pid 16360 name "stagram.androi" vma 7fbe349000
[ 1863.102087] before: swapin tgid 16360 pid 16360 name "stagram.androi" vma 7fbe35b000
[ 1863.102097] before: swapin tgid 16360 pid 16360 name "stagram.androi" vma 7fbe25b000
[ 1863.102124] before: swapin tgid 16360 pid 16360 name "stagram.androi" vma 7f289b6000
[ 1863.102133] before: swapin tgid 16360 pid 16360 name "stagram.androi" vma 7f289b7000
[ 1863.102141] before: swapin tgid 16360 pid 16360 name "stagram.androi" vma 7f289bd000
[ 1863.102158] before: swapin tgid 16360 pid 16360 name "stagram.androi" vma 7f289be000
[ 1863.102191] before: swapin tgid 16360 pid 16360 name "stagram.androi" vma 7f28a02000
[ 1863.102203] before: swapin tgid 16360 pid 16360 name "stagram.androi" vma 7fbe25f000
[ 1863.102458] before: swapin tgid 16360 pid 16360 name "stagram.androi" vma 7fbe210000
[ 1863.102588] before: swapin tgid 16360 pid 16360 name "stagram.androi" vma 7fbe1af000
[ 1863.103218] before: swapin tgid 16360 pid 16360 name "stagram.androi" vma 7f28b5c000
[ 1863.103224] before: swapin tgid 16360 pid 16360 name "stagram.androi" vma 7f28abf000
[ 1863.103230] before: swapin tgid 16360 pid 16360 name "stagram.androi" vma 7f28b51000
[ 1863.103237] before: swapin tgid 16360 pid 16360 name "stagram.androi" vma 7f28b4e000
[ 1863.103241] before: swapin tgid 16360 pid 16360 name "stagram.androi" vma 7fbe19c000
[ 1863.103248] before: swapin tgid 16360 pid 16360 name "stagram.androi" vma 7f2d623000
[ 1863.103253] before: swapin tgid 16360 pid 16360 name "stagram.androi" vma 7f2d624000
[ 1863.103526] before: swapin tgid 16360 pid 16360 name "stagram.androi" vma 7fbe22e000
[ 1863.103752] before: swapin tgid 16360 pid 16360 name "stagram.androi" vma 72acc000
[ 1863.103879] before: swapin tgid 16360 pid 16360 name "stagram.androi" vma 70cde000
[ 1863.104431] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 72b12000
[ 1863.104505] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 708ec000
[ 1863.104528] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 70b4b000
[ 1863.104537] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 72aba000
[ 1863.104546] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 70913000
[ 1863.104552] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 72abb000
