12c00000-14500000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
14500000-15400000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
15400000-161c0000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
161c0000-18d80000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
18d80000-52c00000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
70637000-708be000 rw-p 00000000 fd:00 1369                               /system/framework/arm64/boot.art
708be000-709ad000 rw-p 00000000 fd:00 1348                               /system/framework/arm64/boot-core-libart.art
709ad000-709e3000 rw-p 00000000 fd:00 1360                               /system/framework/arm64/boot-okhttp.art
709e3000-70a24000 rw-p 00000000 fd:00 1345                               /system/framework/arm64/boot-bouncycastle.art
70a24000-70a34000 rw-p 00000000 fd:00 1342                               /system/framework/arm64/boot-apache-xml.art
70a34000-712f4000 rw-p 00000000 fd:00 1354                               /system/framework/arm64/boot-framework.art
712f4000-71327000 rw-p 00000000 fd:00 1351                               /system/framework/arm64/boot-ext.art
71327000-7141e000 rw-p 00000000 fd:00 1363                               /system/framework/arm64/boot-telephony-common.art
7141e000-7142c000 rw-p 00000000 fd:00 1366                               /system/framework/arm64/boot-voip-common.art
7142c000-71441000 rw-p 00000000 fd:00 1357                               /system/framework/arm64/boot-ims-common.art
71441000-71444000 rw-p 00000000 fd:00 1339                               /system/framework/arm64/boot-android.test.base.art
71444000-714fd000 r--p 00000000 fd:00 1370                               /system/framework/arm64/boot.oat
714fd000-71793000 r-xp 000b9000 fd:00 1370                               /system/framework/arm64/boot.oat
71793000-71794000 rw-p 00000000 00:00 0                                  [anon:.bss]
71794000-71796000 r--s 00000000 fd:00 1383                               /system/framework/boot.vdex
71796000-71797000 r--p 0034f000 fd:00 1370                               /system/framework/arm64/boot.oat
71797000-71798000 rw-p 00350000 fd:00 1370                               /system/framework/arm64/boot.oat
71798000-717e1000 r--p 00000000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
717e1000-718e6000 r-xp 00049000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
718e6000-718e7000 rw-p 00000000 00:00 0                                  [anon:.bss]
718e7000-718e8000 r--s 00000000 fd:00 1376                               /system/framework/boot-core-libart.vdex
718e8000-718e9000 r--p 0014e000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
718e9000-718ea000 rw-p 0014f000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
718ea000-718f9000 r--p 00000000 fd:00 1361                               /system/framework/arm64/boot-okhttp.oat
718f9000-71926000 r-xp 0000f000 fd:00 1361                               /system/framework/arm64/boot-okhttp.oat
71926000-71927000 rw-p 00000000 00:00 0                                  [anon:.bss]
71927000-71928000 r--s 00000000 fd:00 1380                               /system/framework/boot-okhttp.vdex
71928000-71929000 r--p 0003c000 fd:00 1361                               /system/framework/arm64/boot-okhttp.oat
71929000-7192a000 rw-p 0003d000 fd:00 1361                               /system/framework/arm64/boot-okhttp.oat
7192a000-71937000 r--p 00000000 fd:00 1346                               /system/framework/arm64/boot-bouncycastle.oat
71937000-7194e000 r-xp 0000d000 fd:00 1346                               /system/framework/arm64/boot-bouncycastle.oat
7194e000-7194f000 rw-p 00000000 00:00 0                                  [anon:.bss]
7194f000-71950000 r--s 00000000 fd:00 1375                               /system/framework/boot-bouncycastle.vdex
71950000-71951000 r--p 00024000 fd:00 1346                               /system/framework/arm64/boot-bouncycastle.oat
71951000-71952000 rw-p 00025000 fd:00 1346                               /system/framework/arm64/boot-bouncycastle.oat
71952000-71957000 r--p 00000000 fd:00 1343                               /system/framework/arm64/boot-apache-xml.oat
71957000-71958000 r--s 00000000 fd:00 1374                               /system/framework/boot-apache-xml.vdex
71958000-71959000 r--p 00005000 fd:00 1343                               /system/framework/arm64/boot-apache-xml.oat
71959000-7195a000 rw-p 00006000 fd:00 1343                               /system/framework/arm64/boot-apache-xml.oat
7195a000-71be2000 r--p 00000000 fd:00 1355                               /system/framework/arm64/boot-framework.oat
71be2000-724ef000 r-xp 00288000 fd:00 1355                               /system/framework/arm64/boot-framework.oat
724ef000-724f2000 rw-p 00000000 00:00 0                                  [anon:.bss]
724f2000-724fb000 r--s 00000000 fd:00 1378                               /system/framework/boot-framework.vdex
724fb000-724fc000 r--p 00b95000 fd:00 1355                               /system/framework/arm64/boot-framework.oat
724fc000-724fd000 rw-p 00b96000 fd:00 1355                               /system/framework/arm64/boot-framework.oat
724fd000-72506000 r--p 00000000 fd:00 1352                               /system/framework/arm64/boot-ext.oat
72506000-7251d000 r-xp 00009000 fd:00 1352                               /system/framework/arm64/boot-ext.oat
7251d000-7251e000 rw-p 00000000 00:00 0                                  [anon:.bss]
7251e000-7251f000 r--s 00000000 fd:00 1377                               /system/framework/boot-ext.vdex
7251f000-72520000 r--p 00020000 fd:00 1352                               /system/framework/arm64/boot-ext.oat
72520000-72521000 rw-p 00021000 fd:00 1352                               /system/framework/arm64/boot-ext.oat
72521000-72584000 r--p 00000000 fd:00 1364                               /system/framework/arm64/boot-telephony-common.oat
72584000-726e2000 r-xp 00063000 fd:00 1364                               /system/framework/arm64/boot-telephony-common.oat
726e2000-726e3000 rw-p 00000000 00:00 0                                  [anon:.bss]
726e3000-726e4000 r--s 00000000 fd:00 1381                               /system/framework/boot-telephony-common.vdex
726e4000-726e5000 r--p 001c1000 fd:00 1364                               /system/framework/arm64/boot-telephony-common.oat
726e5000-726e6000 rw-p 001c2000 fd:00 1364                               /system/framework/arm64/boot-telephony-common.oat
726e6000-726e8000 r--p 00000000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
726e8000-726e9000 r-xp 00002000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
726e9000-726ea000 rw-p 00000000 00:00 0                                  [anon:.bss]
726ea000-726eb000 r--s 00000000 fd:00 1382                               /system/framework/boot-voip-common.vdex
726eb000-726ec000 r--p 00003000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
726ec000-726ed000 rw-p 00004000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
726ed000-726f2000 r--p 00000000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
726f2000-726fd000 r-xp 00005000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
726fd000-726fe000 rw-p 00000000 00:00 0                                  [anon:.bss]
726fe000-726ff000 r--s 00000000 fd:00 1379                               /system/framework/boot-ims-common.vdex
726ff000-72700000 r--p 00010000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
72700000-72701000 rw-p 00011000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
72701000-72703000 r--p 00000000 fd:00 1340                               /system/framework/arm64/boot-android.test.base.oat
72703000-72704000 r--s 00000000 fd:00 1373                               /system/framework/boot-android.test.base.vdex
72704000-72705000 r--p 00002000 fd:00 1340                               /system/framework/arm64/boot-android.test.base.oat
72705000-72706000 rw-p 00003000 fd:00 1340                               /system/framework/arm64/boot-android.test.base.oat
72706000-72875000 rw-p 00000000 00:00 0                                  [anon:dalvik-zygote space]
72875000-72876000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
72876000-728cd000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
728cd000-75f07000 ---p 00000000 00:00 0                                  [anon:dalvik-non moving space]
75f07000-76706000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
76706000-96706000 rw-p 00000000 00:00 0                                  [anon:dalvik-free list large object space]
96706000-98706000 rw-p 00000000 00:00 0                                  [anon:dalvik-zygote-data-code-cache]
98706000-9a706000 r--p 00000000 00:00 0                                  [anon:dalvik-zygote-jit-code-cache]
9a706000-9c706000 rw-s 00000000 00:01 339895                             /memfd:/jit-cache (deleted)
9c706000-9e706000 r-xs 02000000 00:01 339895                             /memfd:/jit-cache (deleted)
9e706000-9f4c0000 rw-p 00000000 00:00 0                                  [anon:dalvik-/data/app/com.instagram.android-J1AUTiM8xAqG02LHuGn26g==/oat/arm64/base.art]
ebad6000-ebad7000 ---p 00000000 00:00 0                                  [anon:dalvik-Sentinel fault page]
7f78b0000-7f7d40000 rw-s 00084000 00:12 18482                            /dev/kgsl-3d0
7f89d0000-7f89f0000 rw-s 0019b000 00:12 18482                            /dev/kgsl-3d0
7f9b60000-7f9ff0000 rw-s 000de000 00:12 18482                            /dev/kgsl-3d0
7f9ff0000-7fa480000 rw-s 0012a000 00:12 18482                            /dev/kgsl-3d0
7faa49000-7faa4a000 rw-s 001af000 00:12 18482                            /dev/kgsl-3d0
7fab80000-7faba0000 rw-s 00172000 00:12 18482                            /dev/kgsl-3d0
7faced000-7facee000 rw-s 0016b000 00:12 18482                            /dev/kgsl-3d0
7facee000-7facef000 rw-s 0016a000 00:12 18482                            /dev/kgsl-3d0
7facef000-7facf0000 rw-s 00169000 00:12 18482                            /dev/kgsl-3d0
7fad00000-7fad40000 rw-s 0015a000 00:12 18482                            /dev/kgsl-3d0
7fad41000-7fad42000 rw-s 00168000 00:12 18482                            /dev/kgsl-3d0
7fad42000-7fad43000 rw-s 00167000 00:12 18482                            /dev/kgsl-3d0
7fad43000-7fad44000 rw-s 00166000 00:12 18482                            /dev/kgsl-3d0
7fad44000-7fad45000 rw-s 00165000 00:12 18482                            /dev/kgsl-3d0
7fad45000-7fad46000 rw-s 00164000 00:12 18482                            /dev/kgsl-3d0
7fad46000-7fad47000 rw-s 00163000 00:12 18482                            /dev/kgsl-3d0
7fad47000-7fad48000 rw-s 00162000 00:12 18482                            /dev/kgsl-3d0
7fad48000-7fad49000 rw-s 00161000 00:12 18482                            /dev/kgsl-3d0
7fad49000-7fad4a000 rw-s 00160000 00:12 18482                            /dev/kgsl-3d0
7fad4a000-7fad4b000 rw-s 0015f000 00:12 18482                            /dev/kgsl-3d0
7fad4b000-7fad4c000 rw-s 0015e000 00:12 18482                            /dev/kgsl-3d0
7fad4c000-7fad4d000 rw-s 00152000 00:12 18482                            /dev/kgsl-3d0
7fad4d000-7fad4e000 rw-s 00151000 00:12 18482                            /dev/kgsl-3d0
7fad4e000-7fad4f000 rw-s 00150000 00:12 18482                            /dev/kgsl-3d0
7fad4f000-7fad50000 rw-s 0014f000 00:12 18482                            /dev/kgsl-3d0
7fb3f0000-7fb400000 rw-s 00147000 00:12 18482                            /dev/kgsl-3d0
7fb401000-7fb402000 rw-s 0015d000 00:12 18482                            /dev/kgsl-3d0
7fb402000-7fb403000 rw-s 0015c000 00:12 18482                            /dev/kgsl-3d0
7fb403000-7fb404000 rw-s 0015b000 00:12 18482                            /dev/kgsl-3d0
7fb404000-7fb405000 rw-s 00159000 00:12 18482                            /dev/kgsl-3d0
7fbd7f000-7fbd80000 rw-s 0014e000 00:12 18482                            /dev/kgsl-3d0
7fbe8d000-7fbe8e000 rw-s 00148000 00:12 18482                            /dev/kgsl-3d0
7fbe92000-7fbe93000 rw-s 00143000 00:12 18482                            /dev/kgsl-3d0
7fbe93000-7fbe94000 rw-s 00142000 00:12 18482                            /dev/kgsl-3d0
7fbe94000-7fbe95000 rw-s 00141000 00:12 18482                            /dev/kgsl-3d0
7fbe95000-7fbe96000 rw-s 00140000 00:12 18482                            /dev/kgsl-3d0
7fbf9b000-7fbf9c000 rw-s 0013f000 00:12 18482                            /dev/kgsl-3d0
7fc099000-7fc09a000 rw-s 0013e000 00:12 18482                            /dev/kgsl-3d0
7fc09a000-7fc09b000 rw-s 00134000 00:12 18482                            /dev/kgsl-3d0
7fc09b000-7fc09c000 rw-s 00133000 00:12 18482                            /dev/kgsl-3d0
7fc09c000-7fc09d000 rw-s 00132000 00:12 18482                            /dev/kgsl-3d0
7fc09d000-7fc09e000 rw-s 00131000 00:12 18482                            /dev/kgsl-3d0
7fc09e000-7fc09f000 rw-s 00130000 00:12 18482                            /dev/kgsl-3d0
7fc09f000-7fc0a0000 rw-s 0012f000 00:12 18482                            /dev/kgsl-3d0
7fc2b5000-7fc2b6000 rw-s 00128000 00:12 18482                            /dev/kgsl-3d0
7fc2b6000-7fc2b7000 rw-s 00127000 00:12 18482                            /dev/kgsl-3d0
7fc2b7000-7fc2b8000 rw-s 00126000 00:12 18482                            /dev/kgsl-3d0
7fc2b8000-7fc2b9000 rw-s 00125000 00:12 18482                            /dev/kgsl-3d0
7fc2b9000-7fc2ba000 rw-s 00124000 00:12 18482                            /dev/kgsl-3d0
7fc2ba000-7fc2bb000 rw-s 00123000 00:12 18482                            /dev/kgsl-3d0
7fc2bb000-7fc2bc000 rw-s 00122000 00:12 18482                            /dev/kgsl-3d0
7fc2bc000-7fc2bd000 rw-s 00121000 00:12 18482                            /dev/kgsl-3d0
7fc2bd000-7fc2be000 rw-s 00120000 00:12 18482                            /dev/kgsl-3d0
7fc2be000-7fc2bf000 rw-s 0011f000 00:12 18482                            /dev/kgsl-3d0
7fc2bf000-7fc2c0000 rw-s 0011e000 00:12 18482                            /dev/kgsl-3d0
7fca5f000-7fca60000 rw-s 0011d000 00:12 18482                            /dev/kgsl-3d0
7fcab2000-7fcab3000 rw-s 00108000 00:12 18482                            /dev/kgsl-3d0
7fcab3000-7fcab4000 rw-s 00107000 00:12 18482                            /dev/kgsl-3d0
7fcab4000-7fcab5000 rw-s 00106000 00:12 18482                            /dev/kgsl-3d0
7fcab5000-7fcab6000 rw-s 00105000 00:12 18482                            /dev/kgsl-3d0
7fcab6000-7fcab7000 rw-s 00104000 00:12 18482                            /dev/kgsl-3d0
7fcab7000-7fcab8000 rw-s 000f9000 00:12 18482                            /dev/kgsl-3d0
7fcab8000-7fcab9000 rw-s 00102000 00:12 18482                            /dev/kgsl-3d0
7fcab9000-7fcaba000 rw-s 00101000 00:12 18482                            /dev/kgsl-3d0
7fcaba000-7fcabb000 rw-s 00100000 00:12 18482                            /dev/kgsl-3d0
7fcabb000-7fcabc000 rw-s 000ff000 00:12 18482                            /dev/kgsl-3d0
7fcabc000-7fcabd000 rw-s 000fe000 00:12 18482                            /dev/kgsl-3d0
7fcabd000-7fcabe000 rw-s 000ec000 00:12 18482                            /dev/kgsl-3d0
7fcc80000-7fce20000 rw-s 000b2000 00:12 18482                            /dev/kgsl-3d0
7fdec4000-7fdec5000 rw-s 000f8000 00:12 18482                            /dev/kgsl-3d0
7fdec5000-7fdec6000 rw-s 000f7000 00:12 18482                            /dev/kgsl-3d0
7fdec6000-7fdec7000 rw-s 000f6000 00:12 18482                            /dev/kgsl-3d0
7fdec7000-7fdec8000 rw-s 000f5000 00:12 18482                            /dev/kgsl-3d0
7fdec8000-7fdec9000 rw-s 000f4000 00:12 18482                            /dev/kgsl-3d0
7fdec9000-7fdeca000 rw-s 000f3000 00:12 18482                            /dev/kgsl-3d0
7fdecb000-7fdecd000 rw-s 000ee000 00:12 18482                            /dev/kgsl-3d0
7fdece000-7fded0000 rw-s 000df000 00:12 18482                            /dev/kgsl-3d0
7fe3a1000-7fe3a2000 rw-s 000e4000 00:12 18482                            /dev/kgsl-3d0
7fe3a2000-7fe3a3000 rw-s 000e3000 00:12 18482                            /dev/kgsl-3d0
7fe3a3000-7fe3a4000 rw-s 000e2000 00:12 18482                            /dev/kgsl-3d0
7fe3a4000-7fe3a5000 rw-s 000c6000 00:12 18482                            /dev/kgsl-3d0
7fe3ab000-7fe3ad000 rw-s 000dd000 00:12 18482                            /dev/kgsl-3d0
7fe3ad000-7fe3af000 rw-s 000da000 00:12 18482                            /dev/kgsl-3d0
7fe3f0000-7fe400000 rw-s 000d0000 00:12 18482                            /dev/kgsl-3d0
7fe400000-7fe810000 rw-s 000cf000 00:12 18482                            /dev/kgsl-3d0
7fe811000-7fe812000 rw-s 000d7000 00:12 18482                            /dev/kgsl-3d0
7fe812000-7fe813000 rw-s 000d6000 00:12 18482                            /dev/kgsl-3d0
7fe813000-7fe814000 rw-s 000d5000 00:12 18482                            /dev/kgsl-3d0
7fe814000-7fe815000 rw-s 000d4000 00:12 18482                            /dev/kgsl-3d0
7fe815000-7fe816000 rw-s 000d3000 00:12 18482                            /dev/kgsl-3d0
7fe816000-7fe817000 rw-s 000d2000 00:12 18482                            /dev/kgsl-3d0
7fe818000-7fe81a000 rw-s 000cd000 00:12 18482                            /dev/kgsl-3d0
7fe81a000-7fe81c000 rw-s 000cc000 00:12 18482                            /dev/kgsl-3d0
7fe81c000-7fe81e000 rw-s 000cb000 00:12 18482                            /dev/kgsl-3d0
7fe820000-7fe840000 rw-s 000b6000 00:12 18482                            /dev/kgsl-3d0
7fe840000-7fe850000 rw-s 000c2000 00:12 18482                            /dev/kgsl-3d0
7fe850000-7fe860000 rw-s 000c0000 00:12 18482                            /dev/kgsl-3d0
7fe880000-7fe8a0000 rw-s 000f2000 00:12 18482                            /dev/kgsl-3d0
7fe8a0000-7fe8c0000 rw-s 000b9000 00:12 18482                            /dev/kgsl-3d0
7ff4a5000-7ff4a7000 rw-s 000c5000 00:12 18482                            /dev/kgsl-3d0
7ff4a7000-7ff4a8000 rw-s 000c4000 00:12 18482                            /dev/kgsl-3d0
7ff4c0000-7ff4e0000 rw-s 00156000 00:12 18482                            /dev/kgsl-3d0
7ff589000-7ff58a000 rw-s 000c3000 00:12 18482                            /dev/kgsl-3d0
7ff58c000-7ff58e000 rw-s 000bc000 00:12 18482                            /dev/kgsl-3d0
7ff671000-7ff672000 rw-s 000c1000 00:12 18482                            /dev/kgsl-3d0
7ff678000-7ff67c000 rw-s 000a6000 00:12 18482                            /dev/kgsl-3d0
7ff690000-7ff6a0000 rw-s 000e1000 00:12 18482                            /dev/kgsl-3d0
7ff6e4000-7ff6e8000 rw-s 000a0000 00:12 18482                            /dev/kgsl-3d0
7ff6e8000-7ff6ec000 rw-s 0009d000 00:12 18482                            /dev/kgsl-3d0
7ff6ec000-7ff6f0000 rw-s 0009c000 00:12 18482                            /dev/kgsl-3d0
7ff74e000-7ff74f000 rw-s 000b0000 00:12 18482                            /dev/kgsl-3d0
7ff74f000-7ff750000 rw-s 000af000 00:12 18482                            /dev/kgsl-3d0
7ff790000-7ff7a0000 rw-s 0017d000 00:12 18482                            /dev/kgsl-3d0
7ff7a9000-7ff7aa000 rw-s 000ae000 00:12 18482                            /dev/kgsl-3d0
7ff7ac000-7ff7b0000 rw-s 00099000 00:12 18482                            /dev/kgsl-3d0
7ff807000-7ff808000 rw-s 000ad000 00:12 18482                            /dev/kgsl-3d0
7ff875000-7ff876000 rw-s 00095000 00:12 18482                            /dev/kgsl-3d0
7ff876000-7ff877000 rw-s 00094000 00:12 18482                            /dev/kgsl-3d0
7ff877000-7ff878000 rw-s 00093000 00:12 18482                            /dev/kgsl-3d0
7ff878000-7ff879000 rw-s 00092000 00:12 18482                            /dev/kgsl-3d0
7ff879000-7ff87a000 rw-s 00091000 00:12 18482                            /dev/kgsl-3d0
7ff87a000-7ff87b000 rw-s 00090000 00:12 18482                            /dev/kgsl-3d0
7ff87b000-7ff87c000 rw-s 0008f000 00:12 18482                            /dev/kgsl-3d0
7ff87c000-7ff87d000 rw-s 0008e000 00:12 18482                            /dev/kgsl-3d0
7ff87d000-7ff87e000 rw-s 0008d000 00:12 18482                            /dev/kgsl-3d0
7ff87e000-7ff87f000 rw-s 0008c000 00:12 18482                            /dev/kgsl-3d0
7ff87f000-7ff880000 rw-s 0008b000 00:12 18482                            /dev/kgsl-3d0
7ff888000-7ff88a000 rw-s 00195000 00:12 18482                            /dev/kgsl-3d0
7ff8a0000-7ff8a2000 rw-s 000e7000 00:12 18482                            /dev/kgsl-3d0
7ff8ae000-7ff8af000 rw-s 00117000 00:12 18482                            /dev/kgsl-3d0
7ff8af000-7ff8b0000 rw-s 00116000 00:12 18482                            /dev/kgsl-3d0
7ff8c0000-7ff8d0000 rw-s 00075000 00:12 18482                            /dev/kgsl-3d0
