[16851.370277] google_charger: usbchg=USB typec=C usbv=4962 usbc=203 usbMv=5000 usbMc=500
[16851.370501] sm8150_bms: MSC_PCS chg_state=1f4110d01040003 [0x3:1:4:4365:500] chg=u
[16851.370545] google_battery: MSC_DIN chg_state=1f4110d01040003 f=0x3 chg_s=Full chg_t=None vchg=4365 icl=500
[16851.375228] google_battery: MSC_DSG vbatt_idx:2->2 vbatt=4363750 ibatt=2812 fv_uv=4400000 cv_cnt=0 ov_cnt=0
[16851.375253] google_battery: MSC_LOGIC cv_cnt=0 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[16851.375265] google_battery: MSC_VOTE fv_uv=4400000 cc_max=0 update_interval=-1
[16861.089756] swapout tgid 9403 pid 9403 name ".candycrushsaga" vma 7e9eb77000
[16861.090547] before: swapin tgid 9403 pid 18573 name "Binder:9403_7" vma 7fbe177000
[16861.090681] before: swapin tgid 9403 pid 18573 name "Binder:9403_7" vma 7f28afd000
[16861.090716] before: swapin tgid 9403 pid 18573 name "Binder:9403_7" vma 7131d000
[16861.090759] before: swapin tgid 9403 pid 18573 name "Binder:9403_7" vma 7f28b2a000
[16861.090831] before: swapin tgid 9403 pid 18573 name "Binder:9403_7" vma 71176000
[16861.091299] before: swapin tgid 9403 pid 9511 name "Binder:9403_3" vma 7f28b29000
[16861.091361] before: swapin tgid 9403 pid 9511 name "Binder:9403_3" vma 71372000
[16861.091623] before: swapin tgid 9403 pid 18573 name "Binder:9403_7" vma 70dda000
[16861.091633] before: swapin tgid 9403 pid 18573 name "Binder:9403_7" vma 714ca000
[16861.091644] before: swapin tgid 9403 pid 18573 name "Binder:9403_7" vma 70ddb000
[16861.091650] before: swapin tgid 9403 pid 18573 name "Binder:9403_7" vma 714c9000
[16861.096073] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 711e7000
[16861.096168] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 713ea000
[16861.096222] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 70d08000
