9366 "SetSubtitleAnch"    7ed13d6000
9366 "GLThread 411"    7ea12f5000
9366 "GLThread 411"    7ea1110000
9366 "GLThread 411"    7eb52bd000
9366 "GLThread 411"    7eb52be000
9366 "GLThread 411"    7e5ab3f000
9366 "GLThread 411"    7ed05f7000
9366 "GLThread 411"    7e7dcab000
9366 "GLThread 411"    7e5ab22000
9366 "GLThread 411"    7e7dd9e000
9366 "GLThread 411"    7e5ab2e000
9366 "GLThread 411"    7eb20f4000
9366 "GLThread 411"    7eb2cd5000
9366 "GLThread 411"    7eb217e000
9366 "GLThread 411"    7e7dda7000
9366 "GLThread 411"    7e7dda8000
9366 "GLThread 411"    7eb52bf000
9366 "GLThread 411"    7e5ab2f000
9366 "GLThread 411"    7eb4ff3000
9366 "GLThread 411"    7e5af0e000
9366 "GLThread 411"    7eb4ff8000
9366 "GLThread 411"    7eb4d80000
9366 "GLThread 411"    7eb216a000
9366 "GLThread 411"    7ed03f2000
9366 "GLThread 411"    7e5ab34000
9366 "GLThread 411"    7eb4ffb000
9366 "GLThread 411"    7eb4ffa000
9366 "GLThread 411"    7eb4fff000
9366 "GLThread 411"    7eb4ff7000
9366 "GLThread 411"    7eb2144000
9366 "GLThread 411"    7f2d684000
9366 "GLThread 411"    7ed0473000
9366 "GLThread 411"    7e5ab2b000
9366 "GLThread 411"    7e5ac4a000
9366 "GLThread 411"    7eb4fa0000
9366 "GLThread 411"    7eb4fa1000
9366 "GLThread 411"    7eb2cd4000
9366 "GLThread 411"    7e7dd41000
9366 "GLThread 411"    7eb209c000
9366 "GLThread 411"    7ed0345000
9366 "GLThread 411"    7eb1fe2000
9366 "GLThread 411"    7f2d686000
9366 "GLThread 411"    7e5ab35000
9366 "GLThread 411"    7ed0405000
9366 "GLThread 411"    7e7dcd4000
9366 "pool-10-thread-"    70b66000
9366 "pool-10-thread-"    70d04000
9366 "GLThread 411"    9ec2b000
9366 ".candycrushsaga"    7f28ac8000
9366 ".candycrushsaga"    7f28ac7000
9366 "GLThread 411"    7eb206a000
9366 "GLThread 411"    7ed02e3000
9366 "GLThread 411"    7eb31c7000
9366 "AsyncTask #4"    713ad000
9366 "AsyncTask #4"    70e45000
9366 "AsyncTask #4"    13771000
9366 "AsyncTask #4"    70e24000
9366 "AsyncTask #4"    12e88000
9366 "AsyncTask #4"    71069000
9366 "AsyncTask #4"    7157c000
9366 "AsyncTask #4"    7ece2a7000
9366 "AsyncTask #4"    7ece2a8000
9366 "AsyncTask #4"    70e85000
9366 "AsyncTask #4"    7fbe211000
9366 "AsyncTask #4"    7f28a5d000
9366 "AsyncTask #4"    7f28a22000
9366 "AsyncTask #4"    72c66000
9366 "AsyncTask #4"    70e48000
9366 "AsyncTask #4"    9ecd1000
9366 "AsyncTask #4"    9eced000
9366 "AsyncTask #4"    9ece8000
9366 "AsyncTask #4"    7fbb071000
9366 "GLThread 411"    7ec6c76000
9366 "GLThread 411"    7eb319b000
9366 "GLThread 411"    7eb52b1000
9366 "GLThread 411"    7eb377d000
9366 "GLThread 411"    7eb385c000
9366 "GLThread 411"    7eb4df1000
9366 "GLThread 411"    7eb3836000
9366 "GLThread 411"    7eb356a000
9366 "AsyncTask #4"    7fbc364000
9366 "AsyncTask #4"    7fbc328000
9366 "AsyncTask #4"    7fbc33f000
9366 "AsyncTask #4"    7fbc32f000
9366 "AsyncTask #4"    7e9e2b5000
9366 "AsyncTask #4"    7ea0fd3000
9366 "AsyncTask #4"    70b29000
9366 "AsyncTask #4"    7fbc32d000
9366 "AsyncTask #4"    70eba000
9366 "AsyncTask #4"    7eb2051000
9366 "AsyncTask #4"    7f2d6de000
9366 "AsyncTask #4"    7eb207c000
9366 "AsyncTask #4"    7eb2052000
9366 "AsyncTask #4"    7fbc341000
9366 "AsyncTask #4"    7fbc342000
9366 "Jit thread pool"    7eb2192000
9366 "AsyncTask #4"    7ea10a0000
9366 "AsyncTask #4"    7eb327e000
9366 "AsyncTask #4"    7e9dfc5000
9366 "AsyncTask #4"    7f2331d000
9366 "AsyncTask #4"    7ea0e05000
9366 "AsyncTask #4"    7e9e2fb000
9366 "GLThread 411"    7ea1467000
9366 "pool-10-thread-"    7f2d6e5000
9366 "pool-10-thread-"    7eb2272000
9366 "pool-10-thread-"    7eb20e0000
9366 "pool-10-thread-"    7eb208d000
9366 "pool-10-thread-"    1356f000
9366 "pool-10-thread-"    7f2d687000
9366 "pool-10-thread-"    7eb21f0000
9366 "GLThread 411"    7e7ddac000
9366 "GLThread 411"    7e5ace7000
9366 "GLThread 411"    7e5af27000
9366 "GLThread 411"    7e7dcfd000
9366 "GLThread 411"    7ec6e54000
9366 "GLThread 411"    7ec6c6d000
9366 "GLThread 411"    7ec6c6c000
9366 "GLThread 411"    7ec6e50000
9366 "GLThread 411"    7ec6e4f000
9366 "GLThread 411"    7eb229d000
9366 "GLThread 411"    7ed044b000
9366 "GLThread 411"    7ec6c5e000
9366 "GLThread 411"    7ec6c5f000
9366 "GLThread 411"    7e5acde000
9366 "GLThread 411"    7eb2234000
9366 "GLThread 411"    7eb22bb000
9366 "GLThread 411"    7eb2249000
9366 "GLThread 411"    7f28b9c000
9366 "GLThread 411"    7f28f00000
9366 "GLThread 411"    7f28efe000
9366 "GLThread 411"    7f28efd000
9366 "GLThread 411"    7ec6e5d000
9366 "GLThread 411"    7ec6e2b000
9366 "GLThread 411"    7ed02d0000
9366 "GLThread 411"    7ed037d000
9366 "GLThread 411"    7ec6e56000
9366 "GLThread 411"    7ed0434000
9366 "GLThread 411"    7ed0402000
9366 "GLThread 411"    7e5ab25000
9366 "GLThread 411"    7eb20ab000
9366 "GLThread 411"    7eb20d0000
9366 "GLThread 411"    7e5ac47000
9366 "GLThread 411"    7ec6e2c000
9366 "GLThread 411"    7ed02d4000
9366 "GLThread 411"    7ec6c6b000
9366 "GLThread 411"    7ec6e2f000
9366 "GLThread 411"    7eb227b000
9366 "GLThread 411"    7ec6c60000
9366 "GLThread 411"    7ec6c66000
9366 "GLThread 411"    7ec6c64000
9366 "GLThread 411"    7ec6c68000
9366 "GLThread 411"    7ec6c63000
9366 "GLThread 411"    7ed0403000
9366 "GLThread 411"    7e5ab49000
9366 "GLThread 411"    7e5ad5f000
9366 "GLThread 411"    7ed02cf000
9366 "GLThread 411"    7ed0433000
9366 "GLThread 411"    7e5aae0000
9366 "GLThread 411"    7e5ad5d000
9366 "GLThread 411"    7e7ddee000
9366 "GLThread 411"    7e5af1b000
9366 "GLThread 411"    7e5af1c000
9366 "GLThread 411"    7e5ac5d000
9366 "GLThread 411"    7f2d737000
9366 "GLThread 411"    7eb1feb000
9366 "GLThread 411"    7f2d70b000
9366 "GLThread 411"    7e5ac42000
9366 "GLThread 411"    7e5ac4f000
9366 "GLThread 411"    7e5ac81000
9366 "GLThread 411"    7ed0581000
9366 "GLThread 411"    7eb1fef000
9366 "GLThread 411"    7e5acdb000
9366 "GLThread 411"    7eb2003000
9366 "GLThread 411"    7eb1ffa000
9366 "GLThread 411"    7e5ac4b000
9366 "GLThread 411"    7eb209f000
9366 "GLThread 411"    7e5ab45000
9366 "GLThread 411"    7eb2141000
9366 "GLThread 411"    7ed0389000
9366 "GLThread 411"    7ed02de000
9366 "GLThread 411"    7f2d838000
9366 "GLThread 411"    7e5ac73000
9366 "GLThread 411"    7eb206b000
9366 "GLThread 411"    7eb1ffc000
9366 "GLThread 411"    7e5ac85000
9366 "GLThread 411"    7eb1ffd000
9366 "GLThread 411"    7eb20de000
9366 "GLThread 411"    7ed0361000
9366 "GLThread 411"    7eb20dd000
9366 "GLThread 411"    7eb2072000
9366 "GLThread 411"    7eb2128000
9366 "GLThread 411"    7eb2189000
9366 "GLThread 411"    7eb21dc000
9366 "GLThread 411"    7f2d71d000
9366 "GLThread 411"    7e5ac7f000
9366 "GLThread 411"    7eb21ec000
9366 "GLThread 411"    7eb20e1000
9366 "GLThread 411"    7ed03eb000
9366 "GLThread 411"    7e7dd55000
9366 "GLThread 411"    7f2d71e000
9366 "GLThread 411"    7e5ab23000
9366 "GLThread 411"    7eb213b000
9366 "GLThread 411"    7eb2034000
9366 "GLThread 411"    7eb2175000
9366 "GLThread 411"    7e5ac80000
9366 "GLThread 411"    7ed13cf000
9366 "GLThread 411"    7e5aaf6000
9366 "GLThread 411"    7eb213d000
9366 "GLThread 411"    7eb2114000
9366 "GLThread 411"    7eb220b000
9366 "GLThread 411"    7eb224d000
9366 "GLThread 411"    7eb2265000
9366 "GLThread 411"    7e7dd5b000
9366 "GLThread 411"    7eb2115000
9366 "GLThread 411"    7ed02d5000
9366 "GLThread 411"    7ed02e2000
9366 "GLThread 411"    7eb2168000
9366 "GLThread 411"    7ed03a6000
9366 "GLThread 411"    7ed0401000
9366 "GLThread 411"    7ed040d000
9366 "GLThread 411"    7eb2042000
9366 "GLThread 411"    7eb225d000
9366 "GLThread 411"    7ed0412000
9366 "GLThread 411"    7eb2116000
9366 "GLThread 411"    7ed0391000
9366 "GLThread 411"    7ed13d5000
9366 "GLThread 411"    7eb21e6000
9366 "GLThread 411"    7ed03fa000
9366 "GLThread 411"    7eb21e7000
9366 "GLThread 411"    7eb21f7000
9366 "GLThread 411"    7ed0392000
9366 "GLThread 411"    7ed0463000
9366 "GLThread 411"    7eb2273000
9366 "GLThread 411"    7eb20e3000
9366 "GLThread 411"    7eb2117000
9366 "GLThread 411"    7eb21f1000
9366 "GLThread 411"    7eb2118000
9366 "GLThread 411"    7ed039d000
9366 "GLThread 411"    7ed02e0000
9366 "GLThread 411"    7ed02d6000
9366 "GLThread 411"    7ed0362000
9366 "GLThread 411"    7eb210f000
9366 "GLThread 411"    7eb228c000
9366 "GLThread 411"    7eb2110000
9366 "GLThread 411"    7e7de74000
9366 "GLThread 411"    7eb2280000
9366 "GLThread 411"    7e7dc8c000
9366 "GLThread 411"    7e5aaf8000
9366 "GLThread 411"    7e7dca4000
9366 "GLThread 411"    7eb22bd000
9366 "GLThread 411"    7eb22bf000
9366 "GLThread 411"    7e7de68000
9366 "GLThread 411"    7eb1fe3000
9366 "GLThread 411"    7eb22c1000
9366 "GLThread 411"    7eb21f8000
9366 "GLThread 411"    7e7dca6000
9366 "GLThread 411"    7eb2119000
9366 "GLThread 411"    7ed039e000
9366 "GLThread 411"    7e7dcac000
9366 "GLThread 411"    7eb21f2000
9366 "GLThread 411"    7ed0314000
9366 "GLThread 411"    7e7dca7000
9366 "GLThread 411"    7eb2111000
9366 "GLThread 411"    7e7dccc000
9366 "GLThread 411"    7ed0367000
9366 "GLThread 411"    7e7dcd3000
9366 "GLThread 411"    7e7dca8000
9366 "GLThread 411"    7ed0368000
9366 "GLThread 411"    7e7dcd8000
9366 "GLThread 411"    7e7dce1000
9366 "GLThread 411"    7eb21f3000
9366 "GLThread 411"    7ed03af000
9366 "GLThread 411"    7e7dcf6000
9366 "GLThread 411"    7eb218a000
9366 "GLThread 411"    7e7dcf8000
9366 "GLThread 411"    7ed0464000
9366 "GLThread 411"    7ed053b000
9366 "GLThread 411"    7ed0316000
9366 "GLThread 411"    7eb2112000
9366 "GLThread 411"    7ed0415000
9366 "GLThread 411"    7f2d68e000
9366 "GLThread 411"    7e5aa52000
9366 "GLThread 411"    7e5aa54000
9366 "GLThread 411"    7ed0416000
9366 "GLThread 411"    7eb211a000
9366 "GLThread 411"    7eb2113000
9366 "GLThread 411"    7e5aab4000
9366 "GLThread 411"    7e5aace000
9366 "GLThread 411"    7e5aab5000
9366 "GLThread 411"    7e5aacf000
9366 "GLThread 411"    7e5ab96000
9366 "GLThread 411"    7ed0318000
9366 "GLThread 411"    7e7de88000
9366 "GLThread 411"    7e5acbb000
9366 "GLThread 411"    7f2d68f000
9366 "GLThread 411"    7eb2274000
9366 "GLThread 411"    7e5acd5000
9366 "GLThread 411"    7eb21bc000
9366 "GLThread 411"    7e7dc76000
9366 "GLThread 411"    7eb2275000
9366 "GLThread 411"    7e5aaf9000
9366 "GLThread 411"    7e7de6f000
9366 "GLThread 411"    7e5acd9000
9366 "GLThread 411"    7ed0346000
9366 "GLThread 411"    7ec6c61000
9366 "GLThread 411"    7ed0465000
9366 "GLThread 411"    7e5acda000
9366 "GLThread 411"    7e5acdc000
9366 "GLThread 411"    7ed0360000
9366 "GLThread 411"    7eb2163000
9366 "GLThread 411"    7eb2193000
9366 "GLThread 411"    7eb21f4000
9366 "GLThread 411"    7e7dc77000
9366 "GLThread 411"    7e5ad04000
9366 "GLThread 411"    7e5aad3000
9366 "GLThread 411"    7ed1172000
9366 "GLThread 411"    7eb2164000
9366 "GLThread 411"    7ed1173000
9366 "GLThread 411"    7e7dc78000
9366 "GLThread 411"    7ed0347000
9366 "GLThread 411"    7e7dcd9000
9366 "GLThread 411"    7e5ad6e000
9366 "GLThread 411"    7eb2015000
9366 "GLThread 411"    7eb2233000
9366 "GLThread 411"    7e7dc85000
9366 "GLThread 411"    7eb21f5000
9366 "GLThread 411"    7eb2016000
9366 "GLThread 411"    7e5aad0000
9366 "GLThread 411"    7eb2194000
9366 "GLThread 411"    7e5aad1000
9366 "GLThread 411"    7e5ad72000
9366 "GLThread 411"    7eb2276000
9366 "GLThread 411"    7eb201f000
9366 "GLThread 411"    7ed1170000
9366 "GLThread 411"    7f2d685000
9366 "GLThread 411"    7ed0348000
9366 "GLThread 411"    7e5ad79000
9366 "GLThread 411"    7eb203c000
9366 "GLThread 411"    7e7dcda000
9366 "GLThread 411"    7e7dc86000
9366 "GLThread 411"    7e5aae9000
9366 "GLThread 411"    7ed03f4000
9366 "GLThread 411"    7e5ad7d000
9366 "GLThread 411"    7eb225e000
9366 "GLThread 411"    7e5af0f000
9366 "GLThread 411"    7e5ab04000
9366 "GLThread 411"    7e5af11000
9366 "GLThread 411"    7eb2294000
9366 "GLThread 411"    7f2d623000
9366 "GLThread 411"    7ed032d000
9366 "GLThread 411"    7eb229e000
9366 "GLThread 411"    7e7dca3000
9366 "GLThread 411"    7eb229f000
9366 "GLThread 411"    7eb22a0000
9366 "GLThread 411"    7eb2165000
9366 "GLThread 411"    7e5ab4a000
9366 "GLThread 411"    7e5af15000
9366 "GLThread 411"    7ed0349000
9366 "GLThread 411"    7e5ab05000
9366 "GLThread 411"    7e5af16000
9366 "GLThread 411"    7eb2277000
9366 "GLThread 411"    7eb22a1000
9366 "GLThread 411"    7eb22a2000
9366 "GLThread 411"    7e5af17000
9366 "GLThread 411"    7ed02d7000
9366 "GLThread 411"    7eb206f000
