[ 6374.442055] google_charger: usbchg=USB typec=C usbv=4969 usbc=186 usbMv=5000 usbMc=500
[ 6374.442358] sm8150_bms: MSC_PCS chg_state=1f4111301040003 [0x3:1:4:4371:500] chg=u
[ 6374.442387] google_battery: MSC_DIN chg_state=1f4111301040003 f=0x3 chg_s=Full chg_t=None vchg=4371 icl=500
[ 6374.446257] google_battery: MSC_DSG vbatt_idx:2->2 vbatt=4365468 ibatt=312 fv_uv=4400000 cv_cnt=0 ov_cnt=0
[ 6374.446277] google_battery: MSC_LOGIC cv_cnt=0 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[ 6374.446287] google_battery: MSC_VOTE fv_uv=4400000 cc_max=0 update_interval=-1
[ 6377.335146] swapout tgid 9444 pid 9444 name ".candycrushsaga" vma 70bff000
[ 6377.335691] swapout tgid 9444 pid 9444 name ".candycrushsaga" vma 70bfc000
[ 6377.335734] swapout tgid 9444 pid 9444 name ".candycrushsaga" vma 709be000
[ 6377.336152] swapout tgid 9444 pid 9444 name ".candycrushsaga" vma 7e720f3000
[ 6377.336163] swapout tgid 9444 pid 9444 name ".candycrushsaga" vma 7e720f3000
[ 6377.336193] swapout tgid 9444 pid 9444 name ".candycrushsaga" vma 7e9ce6e000
[ 6377.336211] swapout tgid 9444 pid 9444 name ".candycrushsaga" vma 7e9ce6e000
[ 6377.336282] swapout tgid 9444 pid 9444 name ".candycrushsaga" vma 7e720f1000
[ 6377.336290] swapout tgid 9444 pid 9444 name ".candycrushsaga" vma 7e720f1000
[ 6377.336356] swapout tgid 9444 pid 9444 name ".candycrushsaga" vma 7e720f0000
[ 6377.336362] swapout tgid 9444 pid 9444 name ".candycrushsaga" vma 7e720f0000
[ 6383.976790] before: swapin tgid 9444 pid 9461 name "Binder:9444_1" vma 70ad9000
[ 6383.976920] before: swapin tgid 9444 pid 9461 name "Binder:9444_1" vma 7ea4a88000
[ 6383.976988] before: swapin tgid 9444 pid 9461 name "Binder:9444_1" vma 70932000
[ 6383.977470] before: swapin tgid 9444 pid 9464 name "Binder:9444_3" vma 7f28a4e000
[ 6383.979760] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70bcb000
[ 6383.979881] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7eca3ed000
[ 6383.979885] before: swapin tgid 9444 pid 9464 name "Binder:9444_3" vma 7f2deef000
[ 6383.979908] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7ea6a0b000
[ 6383.979916] before: swapin tgid 9444 pid 9464 name "Binder:9444_3" vma 7f2def0000
[ 6383.979934] before: swapin tgid 9444 pid 9464 name "Binder:9444_3" vma 7f28b5d000
[ 6383.979935] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7eaf335000
[ 6383.979951] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f28a18000
[ 6383.979962] before: swapin tgid 9444 pid 9464 name "Binder:9444_3" vma 7fbe1c6000
[ 6383.980002] before: swapin tgid 9444 pid 9464 name "Binder:9444_3" vma 7f2deee000
[ 6383.980064] before: swapin tgid 9444 pid 9464 name "Binder:9444_3" vma 7fbe306000
[ 6383.980082] before: swapin tgid 9444 pid 9464 name "Binder:9444_3" vma 7fbe30f000
[ 6383.980362] before: swapin tgid 9444 pid 9484 name "RenderThread" vma 7f2d742000
[ 6383.980507] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 709a3000
[ 6383.980535] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70ba6000
[ 6383.990058] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f28a70000
[ 6383.990087] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f28a71000
[ 6383.990139] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70bca000
[ 6383.990160] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70bc9000
[ 6383.990187] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 1352f000
[ 6383.990215] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70c35000
[ 6383.990225] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e190000
[ 6383.990271] before: swapin tgid 9444 pid 9484 name "RenderThread" vma 7f2d679000
[ 6383.990295] before: swapin tgid 9444 pid 9484 name "RenderThread" vma 7f28fdc000
[ 6383.990304] before: swapin tgid 9444 pid 9484 name "RenderThread" vma 7f2d745000
[ 6383.990311] before: swapin tgid 9444 pid 9484 name "RenderThread" vma 7f2d68a000
[ 6383.990319] before: swapin tgid 9444 pid 9484 name "RenderThread" vma 7f2d67c000
[ 6383.990331] before: swapin tgid 9444 pid 9484 name "RenderThread" vma 7ed0f72000
[ 6383.990340] before: swapin tgid 9444 pid 9484 name "RenderThread" vma 7ed0f7a000
[ 6383.990346] before: swapin tgid 9444 pid 9484 name "RenderThread" vma 7f2d74d000
[ 6383.990424] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70b4e000
[ 6383.990448] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70d48000
[ 6383.991530] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 702c7000
[ 6383.991555] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 701f5000
[ 6383.991565] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7010d000
[ 6383.991573] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70238000
[ 6383.991600] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 701f9000
[ 6383.991628] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70a5e000
[ 6383.991705] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70d4a000
[ 6383.991764] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e191000
[ 6383.991782] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f28e2d000
[ 6383.991834] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70a5d000
[ 6383.991855] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70d32000
[ 6383.991871] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70d2c000
[ 6383.991879] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70acc000
[ 6383.991910] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70bff000
[ 6383.997411] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e2ce000
[ 6384.002191] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7ed2b23000
[ 6384.002254] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e2cf000
