[11626.077602] swapout tgid 9444 pid 9444 name ".candycrushsaga" vma 7f289dc000
[11626.077629] swapout tgid 9444 pid 9444 name ".candycrushsaga" vma 7f289bc000
[11626.077666] swapout tgid 9444 pid 9444 name ".candycrushsaga" vma 7fbe241000
[11626.078925] before: swapin tgid 9444 pid 24500 name "Binder:9444_7" vma 7fbe176000
[11626.081520] before: swapin tgid 9444 pid 24500 name "Binder:9444_7" vma 70ad9000
[11626.081568] before: swapin tgid 9444 pid 24500 name "Binder:9444_7" vma 7eafb54000
[11626.081625] before: swapin tgid 9444 pid 24500 name "Binder:9444_7" vma 70932000
[11626.084076] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70bcb000
[11626.084136] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7eca3ed000
[11626.084166] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f28f25000
[11626.084244] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f28a18000
[11626.084570] before: swapin tgid 9444 pid 9484 name "RenderThread" vma 7f2d742000
[11626.084801] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 709a3000
[11626.084851] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70ba6000
[11626.088635] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70a5d000
[11626.088976] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70d32000
[11626.089140] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70d2c000
[11626.089170] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70acc000
[11626.089242] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70d2d000
[11626.089281] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70d2e000
[11626.089355] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70bff000
[11626.089528] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70d4a000
[11626.089572] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70c35000
[11626.089604] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7fbe231000
[11626.105011] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e2ce000
[11626.107424] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e209000
[11626.107879] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7ed2b23000
[11626.107896] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e2cf000
[11626.107911] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70235000
[11626.107933] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70420000
[11626.107946] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70bfd000
[11626.107960] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7eca3e2000
[11626.107986] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7fba932000
[11626.107998] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7fbf5e3000
[11626.108008] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7fba934000
[11626.108016] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f28a7d000
[11626.108025] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7fbe193000
[11626.108031] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f28fcb000
[11626.108040] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7ea53ae000
[11626.108104] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e1c4000
[11626.108129] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e27b000
[11626.108136] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e28e000
[11626.108144] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e28a000
[11626.108152] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e1c3000
[11626.108158] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e27c000
[11626.108164] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e1be000
[11626.108170] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e284000
[11626.108175] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e28f000
[11626.108180] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e28c000
[11626.108190] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70bfc000
[11626.108208] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f28afd000
[11626.108232] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7fbe1cb000
[11626.108367] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70bb6000
[11626.108379] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 709be000
[11626.110384] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7023b000
[11626.111840] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e2d5000
[11626.111870] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e2d3000
[11626.112984] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7ed2b24000
[11626.116041] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f20cab000
[11626.116058] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f20cae000
[11626.116910] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f28b28000
