12c00000-12e80000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
12e80000-13140000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
13140000-135c0000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
135c0000-13600000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
13600000-13680000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
13680000-136c0000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
136c0000-13700000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
13700000-14200000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
14200000-145c0000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
145c0000-14a80000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
14a80000-14b00000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
14b00000-14b80000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
14b80000-16080000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
16080000-160c0000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
160c0000-2ac00000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
700bc000-70343000 rw-p 00000000 fd:00 1369                               /system/framework/arm64/boot.art
70343000-70432000 rw-p 00000000 fd:00 1348                               /system/framework/arm64/boot-core-libart.art
70432000-70468000 rw-p 00000000 fd:00 1360                               /system/framework/arm64/boot-okhttp.art
70468000-704a9000 rw-p 00000000 fd:00 1345                               /system/framework/arm64/boot-bouncycastle.art
704a9000-704b9000 rw-p 00000000 fd:00 1342                               /system/framework/arm64/boot-apache-xml.art
704b9000-70d79000 rw-p 00000000 fd:00 1354                               /system/framework/arm64/boot-framework.art
70d79000-70dac000 rw-p 00000000 fd:00 1351                               /system/framework/arm64/boot-ext.art
70dac000-70ea3000 rw-p 00000000 fd:00 1363                               /system/framework/arm64/boot-telephony-common.art
70ea3000-70eb1000 rw-p 00000000 fd:00 1366                               /system/framework/arm64/boot-voip-common.art
70eb1000-70ec6000 rw-p 00000000 fd:00 1357                               /system/framework/arm64/boot-ims-common.art
70ec6000-70ec9000 rw-p 00000000 fd:00 1339                               /system/framework/arm64/boot-android.test.base.art
70ec9000-70f82000 r--p 00000000 fd:00 1370                               /system/framework/arm64/boot.oat
70f82000-71218000 r-xp 000b9000 fd:00 1370                               /system/framework/arm64/boot.oat
71218000-71219000 rw-p 00000000 00:00 0                                  [anon:.bss]
71219000-7121b000 r--s 00000000 fd:00 1383                               /system/framework/boot.vdex
7121b000-7121c000 r--p 0034f000 fd:00 1370                               /system/framework/arm64/boot.oat
7121c000-7121d000 rw-p 00350000 fd:00 1370                               /system/framework/arm64/boot.oat
7121d000-71266000 r--p 00000000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
71266000-7136b000 r-xp 00049000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
7136b000-7136c000 rw-p 00000000 00:00 0                                  [anon:.bss]
7136c000-7136d000 r--s 00000000 fd:00 1376                               /system/framework/boot-core-libart.vdex
7136d000-7136e000 r--p 0014e000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
7136e000-7136f000 rw-p 0014f000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
7136f000-7137e000 r--p 00000000 fd:00 1361                               /system/framework/arm64/boot-okhttp.oat
7137e000-713ab000 r-xp 0000f000 fd:00 1361                               /system/framework/arm64/boot-okhttp.oat
713ab000-713ac000 rw-p 00000000 00:00 0                                  [anon:.bss]
713ac000-713ad000 r--s 00000000 fd:00 1380                               /system/framework/boot-okhttp.vdex
713ad000-713ae000 r--p 0003c000 fd:00 1361                               /system/framework/arm64/boot-okhttp.oat
713ae000-713af000 rw-p 0003d000 fd:00 1361                               /system/framework/arm64/boot-okhttp.oat
713af000-713bc000 r--p 00000000 fd:00 1346                               /system/framework/arm64/boot-bouncycastle.oat
713bc000-713d3000 r-xp 0000d000 fd:00 1346                               /system/framework/arm64/boot-bouncycastle.oat
713d3000-713d4000 rw-p 00000000 00:00 0                                  [anon:.bss]
713d4000-713d5000 r--s 00000000 fd:00 1375                               /system/framework/boot-bouncycastle.vdex
713d5000-713d6000 r--p 00024000 fd:00 1346                               /system/framework/arm64/boot-bouncycastle.oat
713d6000-713d7000 rw-p 00025000 fd:00 1346                               /system/framework/arm64/boot-bouncycastle.oat
713d7000-713dc000 r--p 00000000 fd:00 1343                               /system/framework/arm64/boot-apache-xml.oat
713dc000-713dd000 r--s 00000000 fd:00 1374                               /system/framework/boot-apache-xml.vdex
713dd000-713de000 r--p 00005000 fd:00 1343                               /system/framework/arm64/boot-apache-xml.oat
713de000-713df000 rw-p 00006000 fd:00 1343                               /system/framework/arm64/boot-apache-xml.oat
713df000-71667000 r--p 00000000 fd:00 1355                               /system/framework/arm64/boot-framework.oat
71667000-71f74000 r-xp 00288000 fd:00 1355                               /system/framework/arm64/boot-framework.oat
71f74000-71f77000 rw-p 00000000 00:00 0                                  [anon:.bss]
71f77000-71f80000 r--s 00000000 fd:00 1378                               /system/framework/boot-framework.vdex
71f80000-71f81000 r--p 00b95000 fd:00 1355                               /system/framework/arm64/boot-framework.oat
71f81000-71f82000 rw-p 00b96000 fd:00 1355                               /system/framework/arm64/boot-framework.oat
71f82000-71f8b000 r--p 00000000 fd:00 1352                               /system/framework/arm64/boot-ext.oat
71f8b000-71fa2000 r-xp 00009000 fd:00 1352                               /system/framework/arm64/boot-ext.oat
71fa2000-71fa3000 rw-p 00000000 00:00 0                                  [anon:.bss]
71fa3000-71fa4000 r--s 00000000 fd:00 1377                               /system/framework/boot-ext.vdex
71fa4000-71fa5000 r--p 00020000 fd:00 1352                               /system/framework/arm64/boot-ext.oat
71fa5000-71fa6000 rw-p 00021000 fd:00 1352                               /system/framework/arm64/boot-ext.oat
71fa6000-72009000 r--p 00000000 fd:00 1364                               /system/framework/arm64/boot-telephony-common.oat
72009000-72167000 r-xp 00063000 fd:00 1364                               /system/framework/arm64/boot-telephony-common.oat
72167000-72168000 rw-p 00000000 00:00 0                                  [anon:.bss]
72168000-72169000 r--s 00000000 fd:00 1381                               /system/framework/boot-telephony-common.vdex
72169000-7216a000 r--p 001c1000 fd:00 1364                               /system/framework/arm64/boot-telephony-common.oat
7216a000-7216b000 rw-p 001c2000 fd:00 1364                               /system/framework/arm64/boot-telephony-common.oat
7216b000-7216d000 r--p 00000000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
7216d000-7216e000 r-xp 00002000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
7216e000-7216f000 rw-p 00000000 00:00 0                                  [anon:.bss]
7216f000-72170000 r--s 00000000 fd:00 1382                               /system/framework/boot-voip-common.vdex
72170000-72171000 r--p 00003000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
72171000-72172000 rw-p 00004000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
72172000-72177000 r--p 00000000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
72177000-72182000 r-xp 00005000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
72182000-72183000 rw-p 00000000 00:00 0                                  [anon:.bss]
72183000-72184000 r--s 00000000 fd:00 1379                               /system/framework/boot-ims-common.vdex
72184000-72185000 r--p 00010000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
72185000-72186000 rw-p 00011000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
