[ 6366.743947] google_charger: usbchg=USB typec=C usbv=4923 usbc=431 usbMv=5000 usbMc=500
[ 6366.744089] sm8150_bms: MSC_PCS chg_state=1f4113004010009 [0x9:4:1:4400:500] chg=u
[ 6366.744116] google_battery: MSC_DIN chg_state=1f4113004010009 f=0x9 chg_s=Charging chg_t=Taper vchg=4400 icl=500
[ 6366.748266] google_battery: MSC_LAST vbatt=4391562 ibatt=-125937 fv_uv=4400000
[ 6366.748290] google_battery: MSC_LOGIC cv_cnt=0 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[ 6366.748301] google_battery: MSC_VOTE fv_uv=4400000 cc_max=1400000 update_interval=30000
[ 6366.748364] google_charger: MSC_CHG fv_uv=4400000, cc_max=1400000, rerun in 30000 ms (0)
[ 6376.626069] before: swapin tgid 9563 pid 9581 name "Binder:9563_1" vma 7eb2e73000
[ 6376.626126] before: swapin tgid 9563 pid 9581 name "Binder:9563_1" vma 7ec02ab000
[ 6376.626252] before: swapin tgid 9563 pid 10054 name "Binder:9563_4" vma 7ed030c000
[ 6376.626292] before: swapin tgid 9563 pid 10054 name "Binder:9563_4" vma 7ed030d000
[ 6376.626312] before: swapin tgid 9563 pid 10054 name "Binder:9563_4" vma 7e8819a000
[ 6376.626340] before: swapin tgid 9563 pid 10054 name "Binder:9563_4" vma 7f2d5d8000
[ 6376.626378] before: swapin tgid 9563 pid 10054 name "Binder:9563_4" vma 7ed030b000
[ 6376.626423] before: swapin tgid 9563 pid 10054 name "Binder:9563_4" vma 7ed2921000
[ 6376.626444] before: swapin tgid 9563 pid 10054 name "Binder:9563_4" vma 7ed2936000
[ 6376.626466] before: swapin tgid 9563 pid 10054 name "Binder:9563_4" vma 7f2e267000
[ 6376.626499] before: swapin tgid 9563 pid 10054 name "Binder:9563_4" vma 71600000
[ 6376.626536] before: swapin tgid 9563 pid 10054 name "Binder:9563_4" vma 7ed2922000
[ 6376.626599] before: swapin tgid 9563 pid 10054 name "Binder:9563_4" vma 71459000
[ 6376.626664] before: swapin tgid 9563 pid 10054 name "Binder:9563_4" vma 7e880b7000
[ 6376.626976] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 714ca000
[ 6376.627034] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 716cd000
[ 6376.627238] before: swapin tgid 9563 pid 9583 name "Binder:9563_3" vma 7f289c5000
[ 6376.627280] before: swapin tgid 9563 pid 9583 name "Binder:9563_3" vma 7f2dc1d000
[ 6376.627305] before: swapin tgid 9563 pid 9583 name "Binder:9563_3" vma 7f2dc1e000
[ 6376.627322] before: swapin tgid 9563 pid 9583 name "Binder:9563_3" vma 7f28a65000
[ 6376.627345] before: swapin tgid 9563 pid 9583 name "Binder:9563_3" vma 7ebced2000
[ 6376.627373] before: swapin tgid 9563 pid 9583 name "Binder:9563_3" vma 7eb3022000
[ 6376.627399] before: swapin tgid 9563 pid 9583 name "Binder:9563_3" vma 7ebcd1f000
[ 6376.627426] before: swapin tgid 9563 pid 9583 name "Binder:9563_3" vma 7f2dc1b000
[ 6376.627526] before: swapin tgid 9563 pid 9583 name "Binder:9563_3" vma 7f2dc1c000
[ 6376.627584] before: swapin tgid 9563 pid 9583 name "Binder:9563_3" vma 7f28868000
[ 6376.627603] before: swapin tgid 9563 pid 9583 name "Binder:9563_3" vma 7f28a25000
[ 6376.627626] before: swapin tgid 9563 pid 9583 name "Binder:9563_3" vma 7f28869000
[ 6376.627649] before: swapin tgid 9563 pid 9583 name "Binder:9563_3" vma 7fbe297000
[ 6376.633873] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 716f2000
