[19447.880422] google_charger: usbchg=USB typec=C usbv=4923 usbc=394 usbMv=5000 usbMc=500
[19447.880566] sm8150_bms: MSC_PCS chg_state=1f4113004010009 [0x9:4:1:4400:500] chg=u
[19447.880596] google_battery: MSC_DIN chg_state=1f4113004010009 f=0x9 chg_s=Charging chg_t=Taper vchg=4400 icl=500
[19447.885292] google_battery: MSC_LAST vbatt=4392500 ibatt=-161562 fv_uv=4400000
[19447.885316] google_battery: MSC_LOGIC cv_cnt=0 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[19447.885327] google_battery: MSC_VOTE fv_uv=4400000 cc_max=1400000 update_interval=30000
[19447.885387] google_charger: MSC_CHG fv_uv=4400000, cc_max=1400000, rerun in 30000 ms (0)
[19457.796282] before: swapin tgid 9563 pid 9582 name "Binder:9563_2" vma 7f28a33000
[19457.796354] before: swapin tgid 9563 pid 9582 name "Binder:9563_2" vma 7e9eacd000
[19457.797987] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 70feb000
[19457.798031] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 716f2000
[19457.798079] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7f28a06000
[19457.798110] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7f28a42000
[19457.798146] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7ec0337000
[19457.798179] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7fbe292000
[19457.798243] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 71003000
[19457.798422] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7fbe299000
[19457.798492] before: swapin tgid 9563 pid 9602 name "RenderThread" vma 7ec0338000
[19457.798712] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7fffffa000
[19457.798780] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7f28979000
[19457.798806] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7f2897a000
[19457.798887] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 716f1000
[19457.798930] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 716f0000
[19457.798987] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 13131000
[19457.799012] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 13132000
[19457.799037] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7175c000
[19457.799064] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9ecb7000
[19457.799108] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7ed28f9000
[19457.799166] before: swapin tgid 9563 pid 9602 name "RenderThread" vma 7f28a05000
