12c00000-14700000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
14700000-15780000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
15780000-161c0000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
161c0000-19200000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
19200000-52c00000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
6f154000-6f3db000 rw-p 00000000 fd:00 1369                               /system/framework/arm64/boot.art
6f3db000-6f4ca000 rw-p 00000000 fd:00 1348                               /system/framework/arm64/boot-core-libart.art
6f4ca000-6f500000 rw-p 00000000 fd:00 1360                               /system/framework/arm64/boot-okhttp.art
6f500000-6f541000 rw-p 00000000 fd:00 1345                               /system/framework/arm64/boot-bouncycastle.art
6f541000-6f551000 rw-p 00000000 fd:00 1342                               /system/framework/arm64/boot-apache-xml.art
6f551000-6fe11000 rw-p 00000000 fd:00 1354                               /system/framework/arm64/boot-framework.art
6fe11000-6fe44000 rw-p 00000000 fd:00 1351                               /system/framework/arm64/boot-ext.art
6fe44000-6ff3b000 rw-p 00000000 fd:00 1363                               /system/framework/arm64/boot-telephony-common.art
6ff3b000-6ff49000 rw-p 00000000 fd:00 1366                               /system/framework/arm64/boot-voip-common.art
6ff49000-6ff5e000 rw-p 00000000 fd:00 1357                               /system/framework/arm64/boot-ims-common.art
6ff5e000-6ff61000 rw-p 00000000 fd:00 1339                               /system/framework/arm64/boot-android.test.base.art
6ff61000-7001a000 r--p 00000000 fd:00 1370                               /system/framework/arm64/boot.oat
7001a000-702b0000 r-xp 000b9000 fd:00 1370                               /system/framework/arm64/boot.oat
702b0000-702b1000 rw-p 00000000 00:00 0                                  [anon:.bss]
702b1000-702b3000 r--s 00000000 fd:00 1383                               /system/framework/boot.vdex
702b3000-702b4000 r--p 0034f000 fd:00 1370                               /system/framework/arm64/boot.oat
702b4000-702b5000 rw-p 00350000 fd:00 1370                               /system/framework/arm64/boot.oat
702b5000-702fe000 r--p 00000000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
702fe000-70403000 r-xp 00049000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
70403000-70404000 rw-p 00000000 00:00 0                                  [anon:.bss]
70404000-70405000 r--s 00000000 fd:00 1376                               /system/framework/boot-core-libart.vdex
70405000-70406000 r--p 0014e000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
70406000-70407000 rw-p 0014f000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
70407000-70416000 r--p 00000000 fd:00 1361                               /system/framework/arm64/boot-okhttp.oat
