[14862.378422] foreground_evict = 0
[14862.378426] background_evict = 0
[14862.378428] foreground_refault = 0
[14862.378429] background_refault = 0
[14862.378430] foreground_fault = 0
[14862.378431] background_fault = 0
[14868.085299] sm8150_bms: MSC_PCS chg_state=1f4113003010015 [0x15:3:1:4400:500] chg=u
[14868.090236] google_charger: usbchg=USB typec=C usbv=4877 usbc=487 usbMv=5000 usbMc=500
[14868.090368] sm8150_bms: MSC_PCS chg_state=1f4113003010015 [0x15:3:1:4400:500] chg=u
[14868.090379] google_battery: MSC_DIN chg_state=1f4113003010015 f=0x15 chg_s=Charging chg_t=Fast vchg=4400 icl=500
[14868.093165] healthd: battery l=100 v=4385 t=33.6 h=2 st=5 c=-74 fc=2878000 cc=7 chg=u
[14868.096286] google_battery: MSC_LAST vbatt=4385312 ibatt=-74375 fv_uv=4400000
[14868.096296] google_battery: MSC_LOGIC cv_cnt=0 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[14868.096300] google_battery: MSC_VOTE fv_uv=4400000 cc_max=1400000 update_interval=30000
[14868.096331] google_charger: MSC_CHG fv_uv=4400000, cc_max=1400000, rerun in 30000 ms (0)
[14868.324879] after: swapin tgid 15838 pid 15838 name "stagram.android" vma 701cc000
[14868.325497] after: swapin tgid 15838 pid 15838 name "stagram.android" vma 7ed3a05000
[14868.325612] after: swapin tgid 15838 pid 15838 name "stagram.android" vma 7e5e6b5000
[14868.325654] after: swapin tgid 15838 pid 15838 name "stagram.android" vma 7021e000
[14868.336333] after: swapin tgid 15838 pid 15838 name "stagram.android" vma 9e241000
[14868.353335] after: swapin tgid 15838 pid 15838 name "stagram.android" vma 7e7047c000
[14868.355781] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e70973000
[14868.355828] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e5e89f000
[14868.355845] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e98129000
[14868.356243] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e803bc000
[14868.366137] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e98235000
[14868.366174] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e9824f000
[14868.366191] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e98153000
[14868.366206] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7fbe297000
[14868.366229] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e98178000
[14868.366244] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e76ffd000
[14868.366254] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7fbe2fb000
[14868.375585] after: swapin tgid 15838 pid 15838 name "stagram.android" vma 7e70690000
[14868.376256] after: swapin tgid 15838 pid 15838 name "stagram.android" vma 7e70691000
[14868.377151] after: swapin tgid 15838 pid 15838 name "stagram.android" vma 7ed39e7000
[14868.380369] after: swapin tgid 15838 pid 15877 name "SIMPLE_WORKER4" vma 7e9a1a1000
[14868.382383] after: swapin tgid 15838 pid 16019 name "Image Decoding" vma 7eae0b1000
[14868.382444] after: swapin tgid 15838 pid 16019 name "Image Decoding" vma 7eae0a7000
[14868.382462] after: swapin tgid 15838 pid 16019 name "Image Decoding" vma 7eae0b4000
[14868.387595] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e76cc1000
[14868.387641] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e5e75e000
[14868.387652] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e6acbf000
[14868.387662] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e5e75d000
[14868.387680] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7ed39c6000
[14868.398638] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7ed3993000
[14868.398690] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e7700a000
[14868.398707] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e9826e000
[14868.399037] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e704d0000
