[14718.912106] swapout tgid 15666 pid 15666 name "stagram.android" vma 7e7064a000
[14718.912213] swapout tgid 15666 pid 15666 name "stagram.android" vma 7e7aafe000
[14718.914077] swapout tgid 15666 pid 15666 name "stagram.android" vma 7e7ab02000
[14718.946457] before: swapin tgid 15666 pid 16059 name "Binder:15666_6" vma 70dd0000
[14718.946488] before: swapin tgid 15666 pid 16016 name "Binder:15666_5" vma 7ea4525000
[14718.946532] before: swapin tgid 15666 pid 16059 name "Binder:15666_6" vma 14eec000
[14718.946538] before: swapin tgid 15666 pid 16016 name "Binder:15666_5" vma 7ea39e0000
[14718.946563] before: swapin tgid 15666 pid 16016 name "Binder:15666_5" vma 7ea39e1000
[14718.946578] before: swapin tgid 15666 pid 16016 name "Binder:15666_5" vma 7ea4544000
[14718.946606] before: swapin tgid 15666 pid 16016 name "Binder:15666_5" vma 7f289f2000
[14718.946638] before: swapin tgid 15666 pid 16016 name "Binder:15666_5" vma 7f2dd7d000
[14718.946650] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 70794000
[14718.946660] before: swapin tgid 15666 pid 16016 name "Binder:15666_5" vma 7e6ffcb000
[14718.946681] before: swapin tgid 15666 pid 16016 name "Binder:15666_5" vma 7e700de000
[14718.946683] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 70e9b000
[14718.946708] before: swapin tgid 15666 pid 16016 name "Binder:15666_5" vma 7e6ffcc000
[14718.946720] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 7f2dce9000
[14718.946726] before: swapin tgid 15666 pid 16016 name "Binder:15666_5" vma 7ea39de000
[14718.946748] before: swapin tgid 15666 pid 16016 name "Binder:15666_5" vma 7f236ac000
[14718.946757] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 7fbf700000
[14718.946772] before: swapin tgid 15666 pid 16016 name "Binder:15666_5" vma 7ea39df000
[14718.946787] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 7f39835000
[14718.946796] before: swapin tgid 15666 pid 16016 name "Binder:15666_5" vma 16900000
[14718.946812] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 7f28ba3000
[14718.946816] before: swapin tgid 15666 pid 16016 name "Binder:15666_5" vma 7e6fbca000
[14718.946833] before: swapin tgid 15666 pid 16016 name "Binder:15666_5" vma 7e6fc56000
[14718.946839] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 7f2dd12000
[14718.946856] before: swapin tgid 15666 pid 16016 name "Binder:15666_5" vma 7eaebda000
[14718.946896] before: swapin tgid 15666 pid 16016 name "Binder:15666_5" vma 7e95d1c000
[14718.946900] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 707ac000
[14718.946929] before: swapin tgid 15666 pid 16016 name "Binder:15666_5" vma 7e77274000
[14718.946991] before: swapin tgid 15666 pid 16016 name "Binder:15666_5" vma 15a6a000
[14718.947017] before: swapin tgid 15666 pid 16016 name "Binder:15666_5" vma 15a66000
[14718.947069] before: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e803e6000
[14718.947073] before: swapin tgid 15666 pid 16016 name "Binder:15666_5" vma 136eb000
[14718.955812] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 15a45000
[14718.955905] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 70c74000
[14718.955944] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 7ea459b000
[14718.956046] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 70e9a000
[14718.956120] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 70e99000
[14718.956150] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 70d0d000
[14718.956219] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 707b1000
[14718.956248] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 70d0f000
[14718.956271] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 148ad000
[14718.956299] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 707aa000
[14718.956343] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 70d0b000
[14718.956376] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 7078c000
[14718.956402] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13702000
[14718.956448] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1480f000
[14718.956472] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14810000
[14718.956495] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14811000
[14718.956516] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 148a9000
[14718.956555] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 148aa000
[14718.956582] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 133e5000
[14718.956607] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 133e6000
[14718.956630] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14812000
[14718.956670] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14846000
[14718.956694] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 133ac000
[14718.956718] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 133ad000
[14718.956741] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14847000
[14718.956781] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 133da000
[14718.956809] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14848000
[14718.956831] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14849000
[14718.956854] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1484a000
[14718.956894] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14865000
[14718.956916] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 136e7000
[14718.956941] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 148e8000
[14718.956968] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 136e6000
[14718.957018] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 132ba000
[14718.957044] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 132bb000
[14718.957067] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14c77000
[14718.957090] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14c78000
[14718.957174] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 132bc000
[14718.957206] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 132bd000
[14718.957237] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13707000
[14718.957290] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 132db000
[14718.957313] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 132dc000
[14718.957346] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13708000
[14718.957366] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1331d000
[14718.957412] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14534000
[14718.957443] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 9e480000
[14718.957470] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 9e481000
[14718.957492] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13dfc000
[14718.957543] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1335a000
[14718.957568] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1335b000
[14718.957594] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13e06000
[14718.957617] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14426000
[14718.957658] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1332d000
[14718.957684] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1332e000
[14718.957706] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1443c000
[14718.957753] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13404000
[14718.957781] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13405000
[14718.957806] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14449000
[14718.957828] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1442a000
[14718.957933] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1334e000
[14718.958022] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1334f000
[14718.958046] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1443b000
[14718.958072] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13439000
[14718.958144] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1343a000
[14718.958168] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14429000
[14718.958191] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14430000
[14718.958497] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13324000
[14718.958523] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13325000
[14718.958544] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 132e7000
[14718.958603] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 132e8000
[14718.958627] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13372000
[14718.958652] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1444d000
[14718.958674] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14444000
[14718.958703] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14445000
[14718.958727] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14446000
[14718.958748] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13360000
[14718.958770] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13361000
[14718.958794] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13377000
[14718.958819] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13378000
[14718.958841] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13417000
[14718.958861] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13418000
[14718.958882] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14447000
[14718.958901] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14448000
[14718.958921] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1444a000
[14718.958940] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1343b000
[14718.958963] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1343c000
[14718.958986] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14428000
[14718.959006] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14427000
[14718.959028] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14442000
[14718.959049] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14527000
[14718.959068] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14533000
[14718.959451] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1452b000
[14718.959477] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14528000
[14718.959498] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13375000
[14718.959520] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13376000
[14718.959542] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13374000
[14718.959565] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13709000
[14718.959589] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1451b000
[14718.959611] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1451c000
[14718.959633] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1451d000
[14718.959654] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14520000
[14718.959674] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14521000
[14718.959698] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 133dc000
[14718.959721] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14516000
[14718.959750] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14517000
[14718.959773] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1451a000
[14718.959794] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14519000
[14718.959815] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14518000
[14718.959835] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14515000
[14718.959856] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13363000
[14718.959878] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1450e000
[14718.959899] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1450f000
[14718.959921] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14514000
[14718.959945] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13379000
[14718.959966] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1337a000
[14718.959986] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14512000
[14718.960009] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13454000
[14718.960030] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13455000
[14718.960054] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14510000
[14718.960076] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1450d000
[14718.960098] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 144e3000
[14718.960118] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 144e5000
[14718.960139] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 144e4000
[14718.960159] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13440000
[14718.960180] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13441000
[14718.960203] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14508000
[14718.960227] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 144fd000
[14718.960335] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14506000
[14718.960357] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14504000
[14718.960496] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14503000
[14718.960525] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14468000
[14718.960547] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14469000
[14718.960566] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14501000
[14718.960585] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14505000
[14718.960604] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 144fe000
[14718.960652] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14500000
[14718.960672] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 144ff000
[14718.960693] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14509000
[14718.960719] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14502000
[14718.960752] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1370b000
[14718.960774] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 144bc000
[14718.960801] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 144bd000
[14718.960848] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 144be000
[14718.960869] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 144c7000
[14718.960894] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 144c8000
[14718.960915] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 144d4000
[14718.960955] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 144d3000
[14718.960977] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 144d0000
[14718.960998] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 144d1000
[14718.961018] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 144c9000
[14718.961040] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 144df000
[14718.961063] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1370c000
[14718.961086] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 144e0000
[14718.961106] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 144e1000
[14718.961127] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14a4c000
[14718.961152] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14c79000
[14718.961175] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14c7a000
[14718.961696] swapout tgid 15666 pid 15666 name "stagram.android" vma 7eae522000
[14718.961745] swapout tgid 15666 pid 15666 name "stagram.android" vma 7e7ab09000
[14718.962501] swapout tgid 15666 pid 15666 name "stagram.android" vma 7e7ab04000
[14718.962540] swapout tgid 15666 pid 15666 name "stagram.android" vma 7e7ab03000
[14718.962619] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14a4e000
[14718.962650] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14a4f000
[14718.962673] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14c68000
[14718.962695] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14c69000
[14718.962718] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1484c000
[14718.962741] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1484d000
[14718.962763] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 148a2000
[14718.962783] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 148a3000
[14718.962805] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 148db000
[14718.962827] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 148dc000
[14718.962846] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 148dd000
[14718.962865] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 148b0000
[14718.962890] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 132b6000
[14718.962921] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 132b7000
[14718.962945] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 148b1000
[14718.962978] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 148b2000
[14718.963000] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 148ba000
[14718.963031] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 70797000
[14718.963056] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1330c000
[14718.963079] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1330d000
[14718.963184] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 148e0000
[14718.963209] swapout tgid 15666 pid 15666 name "stagram.android" vma 7e50ae0000
[14718.963211] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 148c6000
[14718.963233] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 148de000
[14718.963255] swapout tgid 15666 pid 15666 name "stagram.android" vma 7e4e36d000
[14718.963258] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 148e3000
[14718.963278] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 148ca000
[14718.963296] swapout tgid 15666 pid 15666 name "stagram.android" vma 7e7ab01000
[14718.963300] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 148c9000
[14718.963320] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 148d5000
[14718.963340] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 148cb000
[14718.963361] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14866000
[14718.963377] swapout tgid 15666 pid 15666 name "stagram.android" vma 7e7a83d000
[14718.963383] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14867000
[14718.963407] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1489d000
[14718.963429] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1489e000
[14718.963451] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1489f000
[14718.963475] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 148a0000
[14718.963534] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1489c000
[14718.963556] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14868000
[14718.963582] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1486a000
[14718.963603] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1486b000
[14718.963623] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14874000
[14718.963648] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 133c4000
[14718.963679] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 132be000
[14718.963703] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 132bf000
[14718.963730] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1484e000
[14718.963754] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1484f000
[14718.963778] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13390000
[14718.963848] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13391000
[14718.963874] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14860000
[14718.963896] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1485f000
[14718.963914] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1485e000
[14718.963946] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14864000
[14718.963978] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14863000
[14718.963996] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13392000
[14718.964019] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13393000
[14718.964040] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14857000
[14718.964060] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14856000
[14718.964079] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1485b000
[14718.964098] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13456000
[14718.964126] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13457000
[14718.964147] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14858000
[14718.964169] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14859000
[14718.964189] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14855000
[14718.964208] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13337000
[14718.964231] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 13338000
[14718.964252] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14851000
[14718.964270] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14850000
[14718.964289] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14852000
[14718.964308] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 14854000
[14718.964846] swapout tgid 15666 pid 15666 name "stagram.android" vma 7fba650000
[14718.965021] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1484b000
[14718.965078] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 133e7000
[14718.965106] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 133ae000
[14718.965131] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 133db000
[14718.966635] before: swapin tgid 15666 pid 15666 name "stagram.android" vma 1331e000
