[22518.970207] foreground_evict = 0
[22518.970210] background_evict = 0
[22518.970211] foreground_refault = 0
[22518.970213] background_refault = 0
[22518.970214] foreground_fault = 0
[22518.970215] background_fault = 0
[22524.176023] google_charger: usbchg=USB typec=C usbv=4884 usbc=488 usbMv=5000 usbMc=500
[22524.176126] sm8150_bms: MSC_PCS chg_state=1f4113004010009 [0x9:4:1:4400:500] chg=u
[22524.176142] google_battery: MSC_DIN chg_state=1f4113004010009 f=0x9 chg_s=Charging chg_t=Taper vchg=4400 icl=500
[22524.180239] google_battery: MSC_LAST vbatt=4392031 ibatt=-128750 fv_uv=4400000
[22524.180266] google_battery: MSC_LOGIC cv_cnt=0 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[22524.180281] google_battery: MSC_VOTE fv_uv=4400000 cc_max=1400000 update_interval=30000
[22524.180342] google_charger: MSC_CHG fv_uv=4400000, cc_max=1400000, rerun in 30000 ms (0)
[22524.365045] sm8150_bms: MSC_PCS chg_state=1f4112403010015 [0x15:3:1:4388:500] chg=u
[22524.373878] healthd: battery l=100 v=4380 t=31.1 h=2 st=5 c=7 fc=2878000 cc=7 chg=u
[22524.374126] google_charger: usbchg=USB typec=C usbv=4869 usbc=487 usbMv=5000 usbMc=500
[22524.374243] sm8150_bms: MSC_PCS chg_state=1f4112403010015 [0x15:3:1:4388:500] chg=u
[22524.374260] google_battery: MSC_DIN chg_state=1f4112403010015 f=0x15 chg_s=Charging chg_t=Fast vchg=4388 icl=500
[22524.377470] google_battery: MSC_DSG vbatt_idx:2->2 vbatt=4380937 ibatt=7187 fv_uv=4400000 cv_cnt=0 ov_cnt=0
[22524.377551] google_battery: MSC_LOGIC cv_cnt=0 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[22524.377556] google_battery: MSC_VOTE fv_uv=4400000 cc_max=1400000 update_interval=30000
[22524.377588] google_charger: MSC_CHG fv_uv=4400000, cc_max=1400000, rerun in 30000 ms (0)
[22525.095148] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 7e66d9d000
[22525.095204] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 70860000
[22525.095986] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 7f289ee000
[22525.096219] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 708b2000
[22525.098162] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 7e7146c000
[22525.115310] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 7e6fde0000
[22525.116497] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 9e821000
[22525.133748] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 7e66da6000
[22525.133873] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 7e66dfc000
[22525.133913] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 7e66dfd000
[22525.133960] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 7e66dfe000
[22525.133986] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 7e66e00000
[22525.134015] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 7e66e01000
[22525.134117] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 7e66e05000
[22525.134133] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 7e7374e000
[22525.134161] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 7e7374f000
[22525.134173] after: swapin tgid 15666 pid 15666 name "stagram.android" vma 7e73750000
[22525.137601] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e50b1b000
[22525.137632] after: swapin tgid 15666 pid 15840 name "hwuiTask0" vma 7e447d5000
[22525.137718] after: swapin tgid 15666 pid 15840 name "hwuiTask0" vma 7e701fd000
[22525.137768] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7062f000
[22525.137785] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7ad78000
[22525.137806] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e66a67000
