[ 9796.514413] foreground_evict = 0
[ 9796.514417] background_evict = 0
[ 9796.514418] foreground_refault = 0
[ 9796.514419] background_refault = 0
[ 9796.514420] foreground_fault = 0
[ 9796.514421] background_fault = 0
[ 9796.905138] swapout tgid 15666 pid 15666 name "stagram.android" vma 7ea44f9000
[ 9796.905256] swapout tgid 15666 pid 15666 name "stagram.android" vma 7e7004c000
[ 9796.905316] swapout tgid 15666 pid 15666 name "stagram.android" vma 7e7004d000
[ 9796.905366] swapout tgid 15666 pid 15666 name "stagram.android" vma 7e7004e000
[ 9796.905443] swapout tgid 15666 pid 15666 name "stagram.android" vma 7e7004f000
[ 9796.905504] swapout tgid 15666 pid 15666 name "stagram.android" vma 7e70050000
[ 9796.905556] swapout tgid 15666 pid 15666 name "stagram.android" vma 7e70051000
[ 9796.911225] after: swapin tgid 15666 pid 15679 name "HeapTaskDaemon" vma 13f8b000
[ 9796.911255] after: swapin tgid 15666 pid 15679 name "HeapTaskDaemon" vma 13f89000
[ 9796.928585] swapout tgid 15666 pid 15666 name "stagram.android" vma 70ab3000
[ 9796.938824] after: swapin tgid 15666 pid 15680 name "ReferenceQueueD" vma 7f28bd4000
[ 9796.938860] after: swapin tgid 15666 pid 15680 name "ReferenceQueueD" vma 7f28bd5000
[ 9796.938881] after: swapin tgid 15666 pid 15680 name "ReferenceQueueD" vma 7ea465f000
[ 9796.938893] after: swapin tgid 15666 pid 15680 name "ReferenceQueueD" vma 7ea4660000
[ 9796.938905] after: swapin tgid 15666 pid 15680 name "ReferenceQueueD" vma 7ea4661000
[ 9796.938920] after: swapin tgid 15666 pid 15680 name "ReferenceQueueD" vma 7ea46ec000
[ 9796.938936] after: swapin tgid 15666 pid 15680 name "ReferenceQueueD" vma 7ea46ed000
[ 9796.938976] after: swapin tgid 15666 pid 15680 name "ReferenceQueueD" vma 7e77007000
[ 9796.939048] after: swapin tgid 15666 pid 15680 name "ReferenceQueueD" vma 7e6ffac000
[ 9796.939062] after: swapin tgid 15666 pid 15680 name "ReferenceQueueD" vma 7e6ffad000
[ 9796.939072] after: swapin tgid 15666 pid 15680 name "ReferenceQueueD" vma 7e6ffae000
[ 9796.939086] after: swapin tgid 15666 pid 15680 name "ReferenceQueueD" vma 7e6ffb0000
